"Daily Weather Observations for Sale, Victoria for January 2025"
"Prepared at 16:01 UTC on Thursday  7 August 2025   IDCJDW3022.202501"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from East Sale {station 085072}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-01-1,11.0,27.4,0,,,,,,19.4,71,,,,,26.8,38,,,,
,2025-01-2,10.1,23.7,0,,,,,,17.2,53,,,,,21.4,43,,,,
,2025-01-3,8.0,24.6,0,,,,,,16.9,65,,,,,24.2,49,,,,
,2025-01-4,14.0,38.3,0,,,,,,21.2,74,,,,,37.6,17,,,,
,2025-01-5,16.9,39.4,0,,,,,,27.0,40,,,,,34.7,30,,,,
,2025-01-6,21.0,22.3,0,,,,,,22.2,70,,,,,17.0,93,,,,
,2025-01-7,10.2,20.3,8.2,,,,,,13.5,94,,,,,18.0,77,,,,
,2025-01-8,12.2,23.2,1.8,,,,,,19.9,51,,,,,22.7,48,,,,
,2025-01-9,10.8,28.3,0,,,,,,19.2,79,,,,,26.0,46,,,,
,2025-01-10,17.7,26.0,0,,,,,,19.7,83,,,,,24.6,72,,,,
,2025-01-11,15.8,30.3,0,,,,,,21.6,79,,,,,28.2,49,,,,
,2025-01-12,15.5,32.9,0.2,,,,,,22.0,83,,,,,21.3,85,,,,
,2025-01-13,16.1,27.5,47.6,,,,,,19.0,90,,,,,26.2,60,,,,
,2025-01-14,15.0,26.7,0,,,,,,21.2,74,,,,,25.6,61,,,,
,2025-01-15,17.3,28.0,0,,,,,,20.1,88,,,,,20.3,93,,,,
,2025-01-16,11.3,23.1,12.2,,,,,,14.5,73,,,,,21.9,46,,,,
,2025-01-17,11.6,24.3,0,,,,,,16.9,82,,,,,23.0,58,,,,
,2025-01-18,14.8,24.0,0,,,,,,20.0,67,,,,,22.8,54,,,,
,2025-01-19,11.2,24.6,0,,,,,,19.2,70,,,,,23.3,57,,,,
,2025-01-20,10.4,25.6,0,,,,,,16.8,96,,,,,24.3,57,,,,
,2025-01-21,12.9,28.9,0,,,,,,20.5,81,,,,,27.9,37,,,,
,2025-01-22,17.0,26.1,0,,,,,,19.3,65,,,,,23.4,48,,,,
,2025-01-23,12.8,23.4,0.6,,,,,,19.3,73,,,,,21.6,62,,,,
,2025-01-24,13.2,25.1,5.6,,,,,,17.1,82,,,,,23.0,41,,,,
,2025-01-25,11.6,25.5,0.2,,,,,,17.3,73,,,,,24.3,57,,,,
,2025-01-26,13.0,24.5,0,,,,,,19.0,74,,,,,23.8,56,,,,
,2025-01-27,14.3,39.0,0,,,,,,20.3,76,,,,,36.0,29,,,,
,2025-01-28,17.3,26.0,0.4,,,,,,19.5,73,,,,,24.4,43,,,,
,2025-01-29,10.3,22.1,0,,,,,,14.6,72,,,,,21.4,51,,,,
,2025-01-30,11.3,23.3,0,,,,,,15.7,72,,,,,21.7,47,,,,
,2025-01-31,9.9,24.3,0,,,,,,16.9,72,,,,,23.2,54,,,,
