"Daily Weather Observations for Sale, Victoria for July 2025"
"Prepared at 13:01 UTC on Thursday 21 August 2025   IDCJDW3022.202507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from East Sale {station 085072}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-07-1,6.9,12.9,0.8,,,,,,8.9,96,,,,,12.3,92,,,,
,2025-07-2,8.9,13.9,19.8,,,,,,12.4,92,,,,,13.3,86,,,,
,2025-07-3,10.1,13.6,8.0,,,,,,11.3,88,,,,,12.4,85,,,,
,2025-07-4,2.0,15.2,0.6,,,,,,5.2,98,,,,,14.1,76,,,,
,2025-07-5,0.7,15.0,0.2,,,,,,3.4,98,,,,,14.1,66,,,,
,2025-07-6,2.2,17.2,0.2,,,,,,5.3,98,,,,,16.3,56,,,,
,2025-07-7,1.0,16.4,0,,,,,,6.0,98,,,,,16.4,63,,,,
,2025-07-8,1.5,15.2,0.2,,,,,,5.7,98,,,,,13.7,66,,,,
,2025-07-9,4.2,14.3,0,,,,,,7.7,79,,,,,13.5,47,,,,
,2025-07-10,3.1,12.2,1.4,,,,,,8.0,90,,,,,10.1,82,,,,
,2025-07-11,6.6,16.2,1.2,,,,,,11.7,74,,,,,15.1,64,,,,
,2025-07-12,8.6,15.2,0.2,,,,,,9.0,88,,,,,14.9,57,,,,
,2025-07-13,3.1,16.7,0,,,,,,6.5,90,,,,,15.5,49,,,,
,2025-07-14,6.4,13.8,2.2,,,,,,9.0,84,,,,,12.5,62,,,,
,2025-07-15,5.6,13.4,0,,,,,,10.1,70,,,,,13.0,57,,,,
,2025-07-16,3.4,14.2,0,,,,,,10.9,72,,,,,13.1,70,,,,
,2025-07-17,4.2,16.3,0,,,,,,11.9,68,,,,,14.4,60,,,,
,2025-07-18,2.8,14.9,0.2,,,,,,6.7,91,,,,,14.6,56,,,,
,2025-07-19,-3.2,14.9,0,,,,,,1.8,98,,,,,14.6,43,,,,
,2025-07-20,1.7,15.0,0.2,,,,,,9.3,80,,,,,13.4,55,,,,
,2025-07-21,-0.3,16.0,0,,,,,,2.2,98,,,,,15.5,54,,,,
,2025-07-22,2.2,19.0,0.6,,,,,,11.9,81,,,,,18.5,51,,,,
,2025-07-23,5.2,13.5,0.4,,,,,,9.7,68,,,,,12.7,45,,,,
,2025-07-24,5.8,15.2,0,,,,,,8.5,82,,,,,15.0,52,,,,
,2025-07-25,-0.5,13.8,0,,,,,,2.4,96,,,,,11.3,68,,,,
,2025-07-26,2.4,16.7,0.4,,,,,,12.6,64,,,,,14.3,65,,,,
,2025-07-27,7.1,13.1,0,,,,,,9.0,92,,,,,12.2,76,,,,
,2025-07-28,7.3,15.2,1.4,,,,,,11.9,81,,,,,13.9,69,,,,
,2025-07-29,7.0,13.4,0.2,,,,,,9.4,86,,,,,11.5,77,,,,
,2025-07-30,2.9,13.1,0.4,,,,,,6.4,92,,,,,11.8,71,,,,
,2025-07-31,2.0,14.0,0.6,,,,,,7.2,96,,,,,12.0,73,,,,
