"Daily Weather Observations for Melbourne Airport, Victoria for October 2023"
"Prepared at 13:01 UTC on Wednesday 13 November 2024   IDCJDW3049.202310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-10-1,16.8,21.2,0,14.6,10.6,N,78,01:48,21.1,38,2,WSW,48,1007.0,20.1,35,4,WSW,28,1013.1
,2023-10-2,2.9,27.4,0,7.0,11.4,N,65,17:10,10.9,73,1,N,11,1017.3,25.7,28,2,NNE,31,1010.4
,2023-10-3,10.9,18.2,1.6,11.0,0.0,NW,72,02:42,18.0,85,7,N,20,1008.1,15.8,92,8,SW,11,1009.2
,2023-10-4,9.7,12.9,18.4,2.4,0.1,S,48,17:20,10.4,95,8,S,20,1011.4,10.9,93,7,SSW,28,1010.2
,2023-10-5,6.8,16.8,4.6,2.0,2.7,W,48,11:23,10.7,67,4,W,28,1017.8,15.4,57,7,W,28,1017.7
,2023-10-6,6.6,15.0,11.0,3.4,8.7,S,43,12:10,10.2,76,6,SW,17,1030.4,14.0,49,4,S,28,1031.3
,2023-10-7,4.3,14.4,0,3.8,1.6,S,37,12:06,10.2,70,7,SSE,11,1034.4,13.3,53,7,S,20,1032.8
,2023-10-8,3.4,17.7,0,2.2,1.6,SSE,33,14:41,11.2,72,1,NE,6,1032.6,17.4,47,1,SSE,11,1029.5
,2023-10-9,9.0,16.9,0,5.4,6.4,S,33,13:51,11.6,69,7,NE,7,1028.4,16.3,53,2,S,20,1026.1
,2023-10-10,10.0,17.6,0,3.8,7.5,SSW,39,13:34,11.4,73,7,SSW,11,1025.8,16.7,51,1,SSE,11,1023.7
,2023-10-11,5.9,26.1,0,4.6,11.5,NNE,67,21:32,15.6,64,0,N,26,1021.6,24.7,39,3,N,31,1019.1
,2023-10-12,13.5,16.5,1.6,9.8,2.3,N,80,04:07,13.5,91,8,SW,11,1013.7,15.6,52,6,WSW,31,1013.8
,2023-10-13,8.9,17.3,5.6,4.0,0.5,SW,48,14:59,12.3,75,7,W,28,1020.2,17.0,70,7,WSW,30,1019.1
,2023-10-14,10.2,19.4,0.4,1.4,3.5,WNW,54,08:23,13.5,65,7,WNW,26,1018.3,17.3,58,7,WSW,31,1017.2
,2023-10-15,9.3,17.5,0,4.6,1.5,W,44,11:55,12.3,70,7,NNW,13,1017.9,16.9,48,7,W,22,1014.8
,2023-10-16,8.6,15.6,4.0,3.4,9.7,SW,70,11:07,10.2,73,7,WSW,33,1016.3,14.0,49,6,SSW,37,1021.2
,2023-10-17,5.4,18.1,1.0,5.8,9.6,S,31,01:46,11.0,70,7,SW,11,1031.9,17.1,51,2,SE,9,1030.3
,2023-10-18,6.0,24.2,0,4.0,12.2,NNE,44,10:28,13.3,74,0,NNE,9,1029.7,23.4,37,1,N,17,1025.8
,2023-10-19,10.6,26.8,0,3.8,11.6,N,39,12:55,18.6,57,1,N,26,1022.7,25.9,35,2,ENE,11,1019.1
,2023-10-20,14.3,28.9,0,7.8,10.6,NNE,41,13:40,21.6,55,1,NNE,24,1017.3,28.1,31,5,NE,17,1014.3
,2023-10-21,19.5,23.5,0,11.4,2.6,NNE,57,07:38,20.7,49,7,N,35,1009.1,20.6,49,7,NNW,28,1007.1
,2023-10-22,10.4,17.0,0,5.6,0.7,W,67,13:17,12.5,74,7,NNW,28,1009.6,15.8,61,7,W,39,1010.9
,2023-10-23,9.3,18.8,0.2,4.0,3.2,W,39,01:44,11.9,69,7,W,20,1016.7,16.9,56,7,SSE,7,1015.6
,2023-10-24,10.7,25.5,0,3.8,7.8,NNE,85,09:38,15.6,63,7,N,52,1006.9,24.1,33,7,NNW,30,1006.9
,2023-10-25,5.1,15.0,0,9.8,8.8,WSW,57,10:38,10.8,56,2,W,30,1017.5,12.3,51,4,SW,41,1020.0
,2023-10-26,5.2,15.9,2.2,4.0,7.5,SSW,59,13:56,9.6,81,7,WSW,26,1029.5,11.3,79,7,SSW,41,1030.6
,2023-10-27,7.3,20.7,0.4,4.8,12.4,S,33,11:33,13.0,57,1,SE,17,1033.6,19.5,41,1,SSE,13,1030.0
,2023-10-28,6.5,23.5,0,7.4,7.1,N,80,07:46,14.1,55,6,N,59,1024.9,19.9,43,7,NNE,46,1020.2
,2023-10-29,6.1,24.6,0,7.4,11.2,S,52,15:29,14.7,57,3,N,11,1015.9,22.0,43,3,S,24,1010.2
,2023-10-30,9.8,24.9,0,6.4,8.0,NW,63,15:10,15.6,56,2,NNW,9,1007.9,23.6,31,5,NNW,30,1004.4
,2023-10-31,7.2,18.0,0.8,7.0,7.9,W,63,23:39,11.5,57,1,WSW,26,1017.3,17.2,36,7,WSW,28,1019.6
