"Daily Weather Observations for Melbourne Airport, Victoria for March 2024"
"Prepared at 13:01 UTC on Friday  8 November 2024   IDCJDW3049.202403"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-03-1,12.5,31.8,0,5.2,11.0,S,43,15:58,17.1,76,3,WSW,7,1015.0,30.6,26,3,WSW,24,1011.5
,2024-03-2,12.3,21.6,0,5.6,8.1,S,46,11:01,17.3,73,3,SSW,17,1017.2,19.9,47,7,S,30,1018.3
,2024-03-3,8.7,22.0,0,6.2,4.5,S,56,16:06,14.0,63,7,W,17,1018.9,20.2,48,7,SSW,20,1019.2
,2024-03-4,12.6,21.3,0,5.8,10.8,SSE,39,00:01,14.3,58,7,SE,17,1024.6,20.2,46,1,SSE,13,1023.0
,2024-03-5,8.8,32.9,0,6.2,11.3,N,56,08:43,17.6,58,1,N,17,1019.2,32.1,16,1,NNW,19,1016.2
,2024-03-6,14.1,30.4,0,10.0,8.1,S,37,13:54,17.8,50,5,SW,7,1016.9,25.2,51,4,S,28,1016.4
,2024-03-7,16.2,22.3,0,6.4,9.8,S,44,16:43,17.2,64,7,SSE,20,1025.0,21.0,52,3,S,20,1024.1
,2024-03-8,12.9,28.5,0,5.4,9.8,SSE,31,13:25,16.4,78,7,WSW,7,1023.5,26.8,48,1,SSE,20,1020.1
,2024-03-9,15.5,38.5,0,6.6,11.4,N,63,08:32,26.7,47,0,N,33,1019.2,37.4,25,3,N,39,1017.1
,2024-03-10,26.2,37.8,0,18.0,11.1,N,69,05:27,27.7,36,1,NNE,31,1023.1,37.0,20,2,N,28,1021.6
,2024-03-11,19.3,35.7,0,14.0,9.2,NNE,54,11:44,26.0,41,7,N,28,1022.5,34.4,19,6,NNW,33,1018.8
,2024-03-12,21.7,24.1,0,16.0,0.3,NNE,41,05:19,23.8,56,7,S,15,1017.3,19.2,85,8,S,15,1019.2
,2024-03-13,15.8,19.3,1.4,2.2,0.1,S,24,15:15,15.9,90,7,N,7,1018.5,18.5,76,7,S,13,1015.9
,2024-03-14,15.1,23.6,0.6,1.0,5.6,SSW,50,15:38,16.6,88,8,SW,7,1015.7,21.2,65,6,SSW,28,1016.0
,2024-03-15,12.2,27.2,0,4.0,10.0,S,31,17:49,16.6,85,3,S,7,1020.5,26.5,40,1,NNE,7,1018.3
,2024-03-16,11.7,29.9,0,6.0,10.9,NNE,54,09:32,19.4,59,0,NNE,19,1020.5,28.7,28,1,NE,19,1016.1
,2024-03-17,16.6,30.6,0,8.8,10.6,ESE,48,14:03,20.4,63,5,NNE,30,1015.0,29.4,28,4,E,13,1011.9
,2024-03-18,14.3,31.6,0,7.6,11.0,N,50,08:50,21.8,56,1,N,22,1014.2,29.7,29,4,ENE,19,1011.4
,2024-03-19,19.6,29.0,0,11.0,5.7,N,74,08:09,23.7,58,5,N,48,1008.9,26.3,60,7,N,33,1008.3
,2024-03-20,11.2,19.8,0,7.4,10.4,SW,57,12:20,13.4,62,1,WSW,20,1022.8,17.7,37,4,SSW,30,1025.5
,2024-03-21,7.3,21.2,0,6.4,10.8,S,33,16:54,11.8,63,1,WNW,7,1030.6,19.9,37,0,S,20,1026.9
,2024-03-22,8.2,23.8,0,5.0,10.9,S,39,12:21,12.9,75,1,N,11,1025.2,20.8,44,1,S,30,1022.7
,2024-03-23,11.2,19.9,0,6.0,6.8,S,41,14:21,14.7,78,6,SW,9,1026.2,18.2,57,6,S,28,1024.5
,2024-03-24,8.8,23.7,0,3.6,7.8,SW,41,15:56,13.5,60,7,W,15,1024.1,21.9,39,1,WSW,24,1021.2
,2024-03-25,8.5,24.9,0,4.6,10.9,WSW,31,09:21,13.0,76,1,NNW,13,1021.3,23.5,38,1,W,15,1018.4
,2024-03-26,10.1,22.7,0,5.0,8.5,S,33,16:22,13.5,78,7,W,13,1023.1,21.4,46,1,SSW,13,1021.3
,2024-03-27,10.2,21.7,0,3.4,3.4,S,39,15:29,13.5,86,4, ,Calm,1025.9,19.8,54,7,S,26,1025.4
,2024-03-28,13.1,20.6,0.4,5.0,7.3,SSW,31,12:28,15.3,64,7,SSE,17,1026.9,19.8,47,2,SSW,17,1025.5
,2024-03-29,11.0,30.8,0,4.0,10.6,NNE,39,13:18,14.1,80,0,NNE,15,1025.2,30.4,18,1,N,15,1022.0
,2024-03-30,10.6,25.3,0,6.2,9.9,S,30,13:20,13.6,88,7,NNE,15,1026.2,24.2,45,1,SSE,20,1024.8
,2024-03-31,12.4,23.7,0,4.0,7.7,SSW,26,14:37,15.8,83,7,SSW,9,1023.7,22.3,54,0,S,13,1020.0
