"Daily Weather Observations for Melbourne Airport, Victoria for November 2024"
"Prepared at 05:37 UTC on Wednesday 27 November 2024   IDCJDW3049.202411"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-11-1,10.0,16.9,0,4.0,7.6,S,46,11:18,12.2,53,7,SSW,22,1020.0,15.7,42,4,SSE,24,1020.9
,2024-11-2,4.2,26.2,0,5.2,7.8,NNE,69,22:30,13.4,63,1,NNE,13,1019.5,24.7,20,7,N,31,1013.4
,2024-11-3,13.1,23.6,0,14.4,11.5,NNE,74,01:53,19.1,63,3,SW,24,1008.5,21.0,42,1,SSE,20,1009.0
,2024-11-4,9.3,19.8,0,7.6,7.7,SW,37,11:44,14.1,61,6,WSW,19,1015.2,19.0,49,4,SSE,13,1015.4
,2024-11-5,6.5,26.8,0,4.8,10.7,N,41,16:31,14.8,59,1,ENE,4,1017.3,25.3,28,1,ESE,15,1012.1
,2024-11-6,14.7,34.5,0,8.4,7.2,N,74,08:41,24.9,28,7,NNE,50,1005.7,28.5,32,7,N,30,1002.6
,2024-11-7,11.3,23.2,0,10.2,6.1,S,37,14:33,14.0,70,7,SSW,11,1010.8,22.7,35,6,NW,13,1006.8
,2024-11-8,8.0,20.0,1.6,5.2,8.1,WSW,56,12:55,15.2,58,6,NNW,26,1011.1,18.7,45,2,SW,33,1013.2
,2024-11-9,5.4,20.9,0.2,5.2,5.9,NNW,35,14:13,14.2,52,2,N,13,1020.5,20.6,34,7,NW,13,1018.2
,2024-11-10,6.9,21.1,0.2,4.2,11.1,SSE,33,12:57,14.5,65,4,SSW,13,1024.0,20.7,40,3,SE,19,1022.3
,2024-11-11,7.8,25.4,0,6.4,9.4,S,41,15:24,16.0,69,1,SSW,9,1020.9,24.3,34,7,S,24,1017.4
,2024-11-12,11.3,30.4,0,6.8,5.7,NNE,41,14:16,16.8,75,4,NW,7,1016.5,28.0,30,7,NNE,24,1011.4
,2024-11-13,14.3,19.7,2.2,3.8,4.1,SSE,41,15:34,16.6,90,7,S,4,1012.3,17.7,71,5,SSE,22,1014.2
,2024-11-14,11.9,18.3,0.4,3.8,7.7,S,46,14:49,13.6,59,7,S,22,1020.4,17.1,46,1,S,24,1019.7
,2024-11-15,10.3,22.0,0,6.6,10.8,SSE,33,14:52,13.6,55,7,SE,20,1021.4,20.9,39,3,SSE,11,1018.2
,2024-11-16,8.2,34.4,0,7.8,10.0,N,70,08:20,21.3,50,6,NNE,39,1015.5,32.8,18,7,NNE,39,1010.7
,2024-11-17,19.7,27.5,0,15.6,5.6,WSW,67,10:12,26.7,47,7,N,39,1001.6,20.1,33,3,WSW,28,1007.2
,2024-11-18,9.7,21.3,0.4,7.4,9.3,WSW,56,00:01,13.0,68,7,W,28,1018.8,19.1,35,6,WSW,30,1019.6
,2024-11-19,11.2,18.6,0,5.6,9.8,S,39,12:20,14.1,57,7,S,15,1025.1,17.1,44,1,S,20,1024.2
,2024-11-20,11.6,20.4,0,4.0,7.6,S,41,15:57,13.6,60,7,SSE,19,1025.7,18.0,49,7,S,24,1023.6
,2024-11-21,9.0,30.8,0,5.6,11.3,SSW,39,12:33,14.5,79,1,NNE,6,1023.2,29.6,32,4,SSE,28,1018.5
,2024-11-22,12.9,36.3,0,8.0,9.4,N,44,08:21,27.4,39,4,NNE,31,1019.6,35.0,16,7,WNW,24,1016.5
,2024-11-23,22.3,37.3,0,13.8,3.8,WNW,57,13:14,29.2,31,7,NNE,24,1015.9,35.3,17,7,NW,24,1012.8
,2024-11-24,18.3,21.8,7.4,10.0,0.0,SSW,26,20:29,18.7,94,8, ,Calm,1017.4,21.1,83,8,SSE,9,1016.2
,2024-11-25,15.5,18.0,5.2,0.0,0.0,SSW,24,01:18,15.5,97,8,WSW,17,1015.4,17.3,94,8,SSW,11,1013.3
,2024-11-26,15.4,28.2,1.0,0.0,5.3,S,33,18:15,17.5,97,7,SW,9,1010.2,26.9,58,7,SE,13,1006.7
,2024-11-27,17.4,,22.4,9.0,,,,,21.4,83,7,N,20,1001.6,27.3,47,6,W,17,1000.4
