"Daily Weather Observations for Melbourne Airport, Victoria for April 2025"
"Prepared at 13:01 UTC on Monday 18 August 2025   IDCJDW3049.202504"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-04-1,11.2,24.5,0,7.8,9.8,SSE,41,15:33,14.7,80,1,SE,19,1019.8,22.5,37,4,SSE,13,1015.7
,2025-04-2,9.0,25.3,0,3.8,10.5,SSE,33,14:07,12.6,78,3,NNE,17,1012.3,23.3,41,3,SSE,20,1008.3
,2025-04-3,9.2,21.9,0,5.0,4.4,SW,41,16:16,14.3,78,6,WSW,13,1012.2,20.9,50,5,S,20,1012.4
,2025-04-4,10.0,17.7,4.4,3.3,2.4,SW,31,15:52,12.6,67,7,WSW,9,1018.6,16.5,52,7,SSW,15,1017.2
,2025-04-5,9.3,18.9,0.2,4.0,10.0,SW,43,03:48,10.9,66,1,WSW,22,1020.8,17.8,36,1,WNW,17,1019.6
,2025-04-6,4.7,22.9,0,4.6,5.7,WNW,69,14:22,12.3,61,5,NNE,20,1018.3,21.2,35,7,WNW,31,1014.1
,2025-04-7,10.5,18.4,0.6,4.0,3.4,SW,39,12:08,13.7,70,7,W,24,1022.0,16.4,59,7,WSW,17,1022.3
,2025-04-8,7.9,19.1,0,2.0,7.7,S,30,16:24,14.3,68,2,SW,13,1026.0,18.6,50,3,S,13,1023.6
,2025-04-9,6.4,23.4,0,2.4,8.7,WSW,35,13:32,14.2,77,2,NE,7,1023.2,21.6,46,7,SSE,20,1018.7
,2025-04-10,12.8,28.0,0,3.8,8.5,N,52,21:52,19.6,43,6,NNE,20,1020.1,26.9,29,1,NW,15,1016.8
,2025-04-11,13.9,21.9,0,8.0,6.0,N,41,00:30,18.7,71,4,SSW,7,1025.2,21.2,58,1,S,19,1025.3
,2025-04-12,10.1,31.0,0,2.8,10.3,SSE,33,15:16,16.9,72,1,NNE,9,1028.9,30.6,25,1,SSE,13,1025.6
,2025-04-13,16.7,32.4,0,8.8,8.9,N,56,08:12,24.9,34,2,N,41,1026.2,31.2,22,7,NW,28,1022.5
,2025-04-14,15.2,21.7,0,9.6,4.7,SSE,31,10:37,17.9,82,7,S,20,1027.4,21.4,59,6,S,20,1026.0
,2025-04-15,10.1,28.4,0,3.2,8.2,ENE,33,11:20,14.4,91,7,NNE,9,1026.7,27.3,34,2,NE,15,1021.7
,2025-04-16,14.4,28.8,0,8.0,5.5,NNE,61,08:10,19.1,46,6,NNE,46,1021.1,27.7,30,5,NE,17,1018.1
,2025-04-17,14.5,30.3,0,6.0,10.0,NNE,26,05:44,22.5,45,1,NNE,11,1017.1,29.7,27,3,ESE,9,1013.0
,2025-04-18,16.6,31.3,0.2,5.2,8.8,NNW,59,12:32,23.4,43,3,NNE,33,1011.5,30.3,24,3,N,33,1008.0
,2025-04-19,15.8,30.6,0,9.8,2.9,NNE,56,15:31,22.8,32,7,NNE,37,1008.5,28.3,21,7,N,28,1005.2
,2025-04-20,18.9,25.3,0,9.4,5.2,N,52,13:27,20.1,42,7,N,19,1007.5,23.0,41,5,NNE,35,1005.6
,2025-04-21,12.3,22.2,0,5.8,9.1,S,46,13:49,16.4,74,1,WSW,11,1015.2,19.6,64,7,S,31,1017.6
,2025-04-22,12.3,18.6,2.6,4.0,2.4,S,33,18:41,13.4,81,7,SSW,19,1026.9,18.1,64,7,SSW,17,1025.2
,2025-04-23,10.5,23.4,0,1.6,9.3,SSE,28,00:06,14.8,88,4,WSW,11,1026.1,22.6,47,3,SW,9,1021.8
,2025-04-24,13.2,27.0,0,3.2,8.6,NNE,72,09:43,20.2,62,4,NNE,37,1020.5,26.3,38,1,NNE,28,1015.9
,2025-04-25,14.8,24.9,0,9.6,2.7,NNE,63,09:28,21.6,49,7,NNE,37,1015.0,18.2,81,8,N,17,1014.1
,2025-04-26,14.4,17.7,7.8,1.8,0.0,NE,28,01:34,16.0,91,7,WNW,9,1016.4,16.5,88,8,SSW,17,1015.3
,2025-04-27,15.0,16.5,0.4,2.4,0.1,S,31,14:04,15.4,80,8,SSE,15,1018.4,16.3,70,7,S,22,1016.8
,2025-04-28,10.0,18.0,0,1.0,1.5,S,28,14:23,14.1,88,7,SW,9,1019.2,17.4,64,7,S,17,1017.3
,2025-04-29,12.1,16.8,16.4,2.0,0.1,S,39,11:01,14.6,78,6,S,20,1022.1,15.8,73,7,S,22,1021.6
,2025-04-30,8.0,18.6,4.4,2.2,9.6,SSE,41,12:21,13.3,70,1,SSE,26,1027.6,16.9,52,3,SE,31,1027.1
