"Daily Weather Observations for Mildura, Victoria for October 2023"
"Prepared at 13:01 UTC on Wednesday 13 November 2024   IDCJDW3051.202310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mildura Airport {station 076031}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-10-1,19.1,26.1,0,8.8,,WSW,48,08:07,21.0,34,,WSW,24,1012.0,25.0,25,,SW,15,1013.7
,2023-10-2,12.9,37.5,0,8.0,,N,54,21:02,17.6,41,5,E,13,1013.6,34.2,14,,NNW,20,1007.5
,2023-10-3,17.6,19.0,0.6,7.8,,W,54,00:31,19.0,60,8,S,13,1010.2,13.8,96,8,WSW,11,1011.6
,2023-10-4,9.5,19.5,33.4,4.8,,SW,48,11:40,9.8,91,8,SSW,17,1012.2,18.3,35,3,SW,26,1012.1
,2023-10-5,4.5,19.6,0.1,6.7,,WSW,35,10:36,9.3,78,,W,11,1024.4,17.4,49,8,W,17,1024.1
,2023-10-6,9.3,19.0,0,3.4,,SW,39,13:56,12.6,80,4,SSE,17,1031.2,17.4,37,,SSW,19,1030.2
,2023-10-7,5.3,20.2,0,4.0,,SE,33,10:49,9.9,74,,SSE,13,1033.3,18.4,31,,SE,13,1029.5
,2023-10-8,6.3,24.1,0,7.0,,SSE,44,02:51,11.7,69,,SE,15,1031.2,22.9,32,,SSE,9,1026.8
,2023-10-9,9.6,27.9,0,4.6,,SSW,28,15:50,16.3,58,2,SE,13,1026.2,26.2,24,,SE,7,1022.5
,2023-10-10,8.4,26.7,0,6.2,,ESE,26,08:05,13.7,65,,ESE,17,1024.7,25.1,26,,ESE,9,1022.0
,2023-10-11,11.1,31.0,0,6.8,,N,37,10:43,18.9,33,,N,17,1022.4,29.9,18,,N,19,1018.7
,2023-10-12,14.3,21.5,0,8.0,,W,59,11:57,15.1,61,7,WSW,17,1018.2,19.6,32,2,WSW,30,1019.0
,2023-10-13,7.3,23.0,0,8.0,,WSW,39,14:38,13.0,67,1,SW,15,1026.6,21.2,41,,SW,17,1023.6
,2023-10-14,9.1,24.1,0,7.0,,W,39,14:31,13.9,77,8,W,13,1023.8,23.3,34,,SW,19,1020.6
,2023-10-15,6.4,21.0,0,6.2,,WNW,33,13:30,13.1,80,8,SW,9,1022.1,19.2,49,4,WSW,17,1018.5
,2023-10-16,11.0,21.3,0,2.2,,SSW,52,08:19,13.6,66,8,SW,26,1021.9,20.1,26,,S,22,1022.8
,2023-10-17,4.7,22.4,0,8.1,,SSE,33,10:57,11.2,66,,SE,15,1031.3,20.6,23,,SSE,17,1028.1
,2023-10-18,6.5,27.8,0,8.0,,NE,26,10:30,16.6,47,,E,11,1027.6,26.2,17,,ENE,13,1023.8
,2023-10-19,10.0,30.8,0,4.4,,ESE,24,14:02,20.5,42,,ENE,9,1021.4,29.8,15,,ESE,9,1017.3
,2023-10-20,13.3,34.6,0,9.0,,N,31,14:58,23.6,35,,NNE,13,1016.1,34.1,10,,N,17,1012.1
,2023-10-21,14.1,23.6,0,8.6,,WSW,50,12:41,16.9,60,,WSW,19,1014.5,21.9,28,,WSW,24,1012.8
,2023-10-22,7.4,21.4,0,8.0,,W,39,09:22,12.4,67,6,WSW,20,1019.0,19.1,40,7,W,17,1017.2
,2023-10-23,3.9,24.0,0,,,SSW,26,23:10,12.0,60,,S,9,1020.2,22.0,22,,N,7,1015.5
,2023-10-24,11.7,25.7,0,14.2,,WSW,46,15:25,20.6,25,3,NW,15,1011.2,24.8,24,1,WSW,19,1012.1
,2023-10-25,6.3,18.0,0,8.6,,WSW,48,14:56,12.6,55,2,SW,19,1022.3,16.0,35,7,SW,30,1021.8
,2023-10-26,3.7,20.4,0,6.6,,SSW,50,12:34,9.7,58,,S,17,1032.4,19.6,26,,SSE,22,1029.3
,2023-10-27,5.0,24.6,0,6.4,,ESE,30,08:29,12.3,58,,SE,19,1032.8,22.6,24,,NNE,7,1027.9
,2023-10-28,9.0,28.9,0,5.8,,N,43,13:09,18.2,29,,NNE,15,1025.3,26.7,11,,N,22,1020.7
,2023-10-29,7.6,32.4,0,8.0,,NW,50,13:10,16.3,54,,SE,9,1016.6,30.8,8,1,NW,28,1010.9
,2023-10-30,13.2,27.3,0,10.8,,SW,46,19:12,16.2,49,8,NW,11,1012.3,25.0,23,,W,24,1009.9
,2023-10-31,8.8,,0,5.8,,,,,13.7,50,,S,19,1021.0,20.6,24,,SSW,15,1019.9
