"Daily Weather Observations for Mildura, Victoria for December 2023"
"Prepared at 13:01 UTC on Monday 11 November 2024   IDCJDW3051.202312"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mildura Airport {station 076031}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-12-1,13.5,28.8,0,6.0,,W,30,13:14,19.0,65,,SE,11,1009.5,26.7,32,3,WSW,13,1006.5
,2023-12-2,14.2,28.3,0,6.7,,WSW,41,16:22,18.5,72,8,SW,11,1011.0,27.4,28,3,SW,20,1009.8
,2023-12-3,12.2,29.6,0,8.0,,NW,24,14:18,18.4,61,,SE,11,1017.2,27.1,24,,SE,7,1014.4
,2023-12-4,14.1,38.2,0,6.8,,NNW,43,11:34,25.6,28,,NNE,17,1015.5,35.9,13,,NNW,13,1012.7
,2023-12-5,19.5,38.7,0,9.4,,WNW,43,12:42,29.3,27,3,NW,13,1013.5,38.5,13,7,WSW,26,1012.6
,2023-12-6,17.4,36.1,0,,,S,39,21:32,23.1,41,4,SE,9,1018.9,33.9,21,1,SE,11,1015.0
,2023-12-7,22.0,33.0,0,,,E,43,22:15,24.3,31,7,S,13,1016.8,30.4,30,3,ESE,9,1014.9
,2023-12-8,24.3,39.0,0,27.2,,NNW,54,10:26,28.2,34,7,ENE,20,1008.2,36.3,24,8,N,9,1005.8
,2023-12-9,23.3,33.1,,,,SSE,54,16:27,26.7,41,8,S,17,1010.4,28.1,38,8,SSW,26,1011.3
,2023-12-10,15.2,31.5,,,,SSE,46,10:21,16.8,66,6,S,24,1014.2,28.4,35,,SE,26,1010.5
,2023-12-11,16.8,40.8,0.6,30.4,,N,56,19:48,26.3,59,8,E,19,1009.1,38.7,16,,ENE,30,1007.0
,2023-12-12,20.9,40.9,0,10.4,,W,54,19:03,24.6,74,8,WNW,6,1011.2,38.5,19,,NNW,13,1007.4
,2023-12-13,19.8,34.8,,,,WNW,48,18:34,25.1,44,1,WSW,9,1009.7,33.8,22,,NW,20,1005.7
,2023-12-14,15.4,30.1,1.4,19.6,,SW,39,14:17,21.0,58,5,W,11,1010.9,26.4,34,2,WSW,20,1009.8
,2023-12-15,11.6,28.5,0,8.6,,W,35,13:27,15.8,74,,SW,7,1013.6,26.6,24,,W,19,1009.9
,2023-12-16,11.0,28.3,0,9.8,,SSW,39,13:58,17.3,49,,SSW,15,1013.3,25.8,26,,SSW,11,1011.0
,2023-12-17,11.2,31.9,0,8.4,,W,30,12:31,18.9,52,,SE,13,1015.6,28.8,20,,W,11,1012.4
,2023-12-18,18.7,36.6,0,10.9,,S,44,22:57,25.2,26,8,NNE,19,1010.1,36.5,10,5,NW,11,1007.3
,2023-12-19,17.4,27.5,0,9.2,,S,48,08:25,17.9,67,8,S,24,1013.0,25.6,30,3,S,28,1011.8
,2023-12-20,10.5,27.2,0,10.5,,SSE,48,23:15,15.4,46,,SSE,20,1019.6,25.5,14,,S,22,1015.8
,2023-12-21,11.8,31.1,0,10.8,,SSE,31,00:45,17.0,58,,S,17,1018.0,27.8,28,,E,13,1014.7
,2023-12-22,16.8,34.3,0,8.5,,SE,30,07:09,23.3,43,1,ESE,13,1014.5,32.4,19,8,N,9,1010.2
,2023-12-23,17.5,35.2,,,,E,48,17:43,23.7,48,,E,15,1009.1,33.3,21,1,SSW,19,1003.8
,2023-12-24,15.4,32.2,,,,WSW,54,19:09,22.1,54,,NNE,9,1004.6,30.1,23,5,NW,19,1001.6
,2023-12-25,14.3,17.9,,,,W,52,16:00,14.5,88,8,WSW,17,1002.8,15.0,99,8,WNW,24,1001.1
,2023-12-26,14.2,27.7,9.0,29.0,,SSE,46,12:00,17.8,83,8,SSW,15,1007.7,26.0,36,6,SSE,20,1007.2
,2023-12-27,15.9,29.9,1.0,5.0,,WSW,41,17:45,19.1,82,7,S,11,1013.2,27.9,37,5,SW,20,1011.4
,2023-12-28,16.3,32.7,0,6.8,,ESE,39,21:00,22.0,69,,SE,9,1014.4,31.1,28,,W,15,1012.5
,2023-12-29,18.3,30.1,1.0,9.0,,SSE,43,16:40,19.8,72,8,SE,17,1012.4,29.1,36,,SSE,13,1011.3
,2023-12-30,12.1,27.1,0,12.0,,S,41,17:04,16.0,56,1,S,20,1018.6,24.8,29,,S,17,1016.1
,2023-12-31,12.5,29.2,0,5.8,,SSE,33,07:13,16.6,51,,SE,19,1021.1,27.0,22,,SSE,15,1017.7
