"Daily Weather Observations for Mildura, Victoria for February 2024"
"Prepared at 13:01 UTC on Saturday  9 November 2024   IDCJDW3051.202402"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mildura Airport {station 076031}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-02-1,15.3,34.3,0,,,S,35,14:00,19.8,54,,SSE,19,1016.7,31.2,19,,S,19,1013.9
,2024-02-2,16.4,32.8,0,16.0,,SSE,37,14:54,19.6,61,,SSE,20,1016.2,29.8,25,,SSW,17,1012.5
,2024-02-3,13.8,38.2,0,9.2,,WNW,22,13:34,22.7,39,,SE,7,1012.3,35.5,12,,W,6,1008.5
,2024-02-4,19.2,41.6,0,14.6,,N,54,20:35,27.5,29,, ,Calm,1005.8,40.0,7,,NW,15,1001.0
,2024-02-5,21.2,31.3,0,20.2,,SSW,44,16:31,23.1,42,,SSW,15,1007.0,29.6,31,8,SSW,17,1006.3
,2024-02-6,14.0,28.4,0,11.8,,SSE,44,16:15,16.9,49,,S,22,1018.7,26.5,19,,S,22,1017.4
,2024-02-7,13.4,29.4,0,7.6,,SSW,46,12:06,17.5,48,,SE,22,1023.4,27.1,22,,SSW,20,1021.1
,2024-02-8,14.7,32.8,0,11.3,,SE,31,11:05,18.5,52,,SSE,17,1023.5,30.4,20,,SSE,13,1020.8
,2024-02-9,17.8,34.8,0,11.5,,S,35,18:08,20.9,55,,SSE,19,1022.7,32.7,19,,SSE,13,1020.2
,2024-02-10,16.2,33.4,0,11.2,,SE,31,08:17,18.6,57,,SE,20,1023.1,31.0,23,,S,11,1019.5
,2024-02-11,16.1,37.8,0,13.6,,NNW,24,11:29,24.9,38,,N,11,1017.6,36.2,15,,NNE,6,1015.0
,2024-02-12,22.0,40.2,0,8.0,,N,35,09:52,29.3,35,,NNE,15,1014.9,38.0,17,1,ENE,6,1011.9
,2024-02-13,26.1,40.8,0,10.5,,NW,59,15:00,30.4,44,,NNW,19,1010.7,38.5,19,3,NNW,26,1005.2
,2024-02-14,12.9,26.9,3.8,11.8,,S,41,23:37,16.2,62,,S,19,1018.1,24.8,21,,S,17,1016.7
,2024-02-15,10.4,29.3,0,11.6,,SSE,33,12:44,15.9,56,,SE,15,1021.3,27.3,19,,S,13,1019.0
,2024-02-16,12.4,33.2,0,12.0,,SE,26,13:21,17.4,53,,SE,15,1020.6,30.5,14,,SE,15,1018.1
,2024-02-17,13.3,36.2,0,12.6,,E,37,18:20,19.9,45,,SSE,11,1020.5,35.0,12,,S,7,1018.0
,2024-02-18,16.5,36.9,0,,,S,31,15:16,22.1,40,,SE,9,1019.5,34.0,13,3,S,15,1017.3
,2024-02-19,15.5,35.0,0,18.8,,S,33,13:10,20.2,49,,SE,15,1018.5,32.9,10,1,S,17,1016.1
,2024-02-20,15.4,36.3,0,8.0,,SSE,41,17:36,22.8,41,,SE,9,1013.9,35.2,13,7,ESE,7,1012.0
,2024-02-21,22.9,39.6,0,,,NE,52,18:49,27.2,36,7,E,15,1011.4,37.9,14,1,ENE,17,1008.5
,2024-02-22,24.2,42.5,0,19.8,,W,48,16:48,29.8,37,,N,22,1009.4,41.5,12,2,NW,17,1005.0
,2024-02-23,16.0,26.6,0,16.2,,WSW,44,14:10,17.9,59,7,SSW,19,1014.6,24.7,30,,SSW,22,1014.0
,2024-02-24,11.3,28.5,0,10.4,,SE,35,10:51,14.8,57,,SSE,17,1020.0,26.4,24,,SE,17,1017.1
,2024-02-25,10.7,34.8,0,,,W,26,13:43,22.0,34,, ,Calm,1015.8,32.8,9,,WNW,13,1013.4
,2024-02-26,18.7,32.5,0,17.8,,SSE,30,07:19,20.1,52,4,SSE,17,1016.9,30.1,18,8,SE,13,1015.2
,2024-02-27,19.9,37.8,0,,,NNW,24,15:35,22.7,37,8,E,13,1013.8,35.3,14,,W,7,1010.9
,2024-02-28,21.7,43.4,0,,,N,35,10:17,28.4,28,,NNE,17,1010.3,39.6,9,3,N,17,1008.1
,2024-02-29,19.4,34.6,0,,,S,35,00:09,20.6,63,1,SW,11,1015.6,31.6,26,7,SSE,9,1013.8
