"Daily Weather Observations for Mildura, Victoria for April 2024"
"Prepared at 16:01 UTC on Thursday  7 November 2024   IDCJDW3051.202404"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mildura Airport {station 076031}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-04-1,18.7,33.3,0,10.0,,N,46,13:46,21.5,74,8,N,15,1016.2,32.1,28,,NNW,28,1011.3
,2024-04-2,12.6,23.4,12.4,6.6,,,,,14.1,83,,W,11,1016.4,21.5,52,8,SW,17,1017.0
,2024-04-3,9.2,22.2,0,4.2,,,,,11.7,93,,WSW,7,1023.3,20.0,41,6,S,11,1022.1
,2024-04-4,9.1,23.0,0,3.8,,SE,31,13:40,11.0,91,,SSE,6,1024.9,21.3,41,4,SSE,13,1023.2
,2024-04-5,10.1,25.8,0,3.0,,SE,33,14:37,11.4,77,,S,13,1025.2,23.6,49,8,SE,20,1022.0
,2024-04-6,11.4,18.2,,,,SW,50,00:41,16.7,80,8,S,13,1018.4,17.1,94,8,S,17,1015.5
,2024-04-7,12.3,23.4,1.8,6.6,,WSW,28,14:30,15.9,82,8,SW,11,1015.9,22.2,40,,SW,13,1013.4
,2024-04-8,8.1,22.0,0,4.0,,SW,43,23:03,13.7,78,,SW,11,1015.8,21.6,38,1,W,9,1012.4
,2024-04-9,8.7,19.9,0,4.0,,SSW,41,01:06,13.0,63,,SSW,17,1021.7,19.2,32,,S,19,1020.0
,2024-04-10,5.4,20.3,0,3.6,,S,35,11:37,12.7,58,,SSW,13,1025.8,19.2,39,1,SSW,17,1022.6
,2024-04-11,9.8,21.0,0,4.0,,S,30,13:30,14.2,73,6,S,15,1025.3,20.2,41,,SSW,13,1022.9
,2024-04-12,6.1,21.8,0,5.4,,SW,28,14:19,13.2,69,,SSE,9,1025.0,20.9,35,,S,9,1021.2
,2024-04-13,6.2,22.6,0,3.8,,SSE,24,15:02,13.2,73,,SE,11,1025.3,22.0,37,,SSE,9,1022.2
,2024-04-14,5.5,24.6,0,,,WNW,26,12:42,15.1,63,,E,11,1025.0,23.5,27,,SSE,7,1022.0
,2024-04-15,7.8,26.5,0,7.4,,N,22,16:00,18.2,47,, ,Calm,1025.1,25.4,23,,SSW,4,1021.9
,2024-04-16,9.1,26.4,0,5.2,,S,50,19:53,15.2,58,3,S,7,1025.8,24.3,30,3,WSW,13,1022.4
,2024-04-17,8.9,23.2,0,8.0,,WSW,31,13:47,13.5,79,,S,15,1026.9,22.7,32,2,W,15,1023.3
,2024-04-18,8.5,,0,6.6,,,,,12.8,74,,S,15,1025.9,19.6,38,,SSW,17,1022.6
,2024-04-19,12.5,19.9,0.4,4.8,,SSE,41,17:04,14.1,80,6,S,20,1022.7,19.2,42,8,S,17,1022.0
,2024-04-20,8.2,23.1,0,3.8,,SSE,30,13:40,13.1,70,,SSE,17,1029.5,22.6,32,,S,19,1027.1
,2024-04-21,5.7,23.9,0,2.8,,SSW,24,13:59,11.5,69,,SE,11,1031.1,23.5,25,,SSW,13,1027.5
,2024-04-22,2.7,26.8,0,4.0,,,,,15.0,48,, ,Calm,1028.1,26.8,20,,NE,4,1023.7
,2024-04-23,8.5,29.2,0,5.4,,SW,46,21:20,17.7,41,,N,7,1022.1,28.7,18,,NW,13,1016.5
,2024-04-24,5.9,19.5,0,,,S,39,11:40,11.9,67,,SSW,13,1026.2,19.1,27,,SSW,19,1024.5
,2024-04-25,4.9,20.7,0,4.0,,SSW,33,12:41,13.2,68,3,SSW,13,1028.5,19.5,37,4,S,19,1025.6
,2024-04-26,4.5,18.9,0,4.0,,,,,10.1,75,8,SSW,11,1029.0,18.2,35,,S,15,1025.6
,2024-04-27,2.2,20.0,0,,,E,24,14:56,11.0,66,,E,9,1027.5,19.1,32,,SE,7,1024.2
,2024-04-28,6.3,24.7,0,,,NNW,28,14:31,13.7,55,,SE,4,1024.5,23.9,22,,N,17,1019.9
,2024-04-29,7.8,25.3,0,12.0,,SSW,30,14:18,14.5,47,7, ,Calm,1024.0,23.6,30,6,S,13,1022.4
,2024-04-30,7.7,18.3,0,6.2,,S,41,12:42,10.9,60,,S,19,1030.5,18.3,31,,SSE,19,1027.4
