"Daily Weather Observations for Mildura, Victoria for October 2024"
"Prepared at 13:01 UTC on Thursday 14 November 2024   IDCJDW3051.202410"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mildura Airport {station 076031}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-10-1,6.5,22.9,0,,,SSE,43,10:38,15.1,66,,S,13,1027.6,22.0,33,,S,19,1024.6
,2024-10-2,6.3,24.9,0,,,E,30,11:28,17.0,50,,E,13,1028.4,24.3,26,,ESE,13,1024.3
,2024-10-3,11.2,31.1,0,,,NNE,69,14:26,22.5,33,,NE,28,1022.1,29.1,19,4,NNE,33,1016.1
,2024-10-4,20.0,25.8,0,,,N,54,02:56,22.6,37,3,W,17,1011.0,23.8,25,7,W,15,1009.1
,2024-10-5,10.5,25.2,0,,,WNW,54,15:33,16.0,58,6,WNW,15,1011.6,24.4,27,1,WNW,20,1008.1
,2024-10-6,13.1,26.5,0,,,WSW,37,09:11,16.7,61,7,WNW,17,1016.1,24.9,33,1,WNW,20,1015.6
,2024-10-7,10.9,28.7,0,,,W,44,15:54,18.3,57,,NNW,6,1019.7,27.4,26,,WSW,19,1017.8
,2024-10-8,6.9,20.0,0,,,ESE,37,10:16,11.6,49,,SE,20,1027.2,18.4,17,2,SSE,11,1024.8
,2024-10-9,3.2,,0,,,,,,10.5,52,,ESE,20,1025.5,21.6,14,,E,11,1021.2
,2024-10-10,8.8,28.9,,,,NW,37,10:01,18.9,19,,NNW,13,1019.9,27.5,13,,SW,15,1018.9
,2024-10-11,8.2,24.8,0,,,SSE,39,08:30,12.2,57,,S,17,1027.3,22.9,20,,S,17,1025.0
,2024-10-12,6.8,26.2,0,,,SE,31,15:05,12.4,60,,SE,15,1028.6,24.0,15,,SSE,15,1024.2
,2024-10-13,10.1,29.3,0,,,NE,22,08:02,17.0,37,8,NE,17,1020.2,28.0,12,8,N,9,1016.3
,2024-10-14,14.0,30.4,0,,,S,28,09:04,19.8,42,7,SSE,11,1016.8,28.9,16,8,NNW,9,1015.0
,2024-10-15,17.9,25.4,0.2,,,WSW,30,09:29,21.6,38,2,E,9,1015.3,20.9,70,7,SSE,6,1015.6
,2024-10-16,14.3,31.2,0.4,,,NNE,28,16:28,19.9,76,,NNE,17,1015.3,28.7,31,7,N,11,1012.5
,2024-10-17,19.9,30.5,2.6,,,NE,52,16:26,23.5,62,,NNE,31,1009.3,28.5,43,8,N,24,1007.1
,2024-10-18,19.1,23.3,28.4,,,WSW,59,15:42,21.1,85,8,WNW,24,1002.7,21.6,61,8,W,24,1007.0
,2024-10-19,10.5,25.2,0,,,SW,33,23:10,12.8,77,8,S,15,1018.9,23.2,33,,SSW,15,1018.5
,2024-10-20,10.5,27.4,0,,,SSW,30,15:53,14.7,69,,SSE,13,1023.6,25.9,32,,SSE,15,1020.9
,2024-10-21,11.8,30.4,0,,,E,24,12:31,17.1,65,,E,13,1020.1,28.4,22,,NE,7,1015.7
,2024-10-22,15.2,36.3,0,,,SW,39,15:53,23.5,35,,NW,7,1014.1,35.2,11,,W,15,1010.8
,2024-10-23,14.0,25.8,0.8,,,WSW,44,16:23,15.1,86,7,SW,6,1013.6,23.8,29,,WSW,20,1011.8
,2024-10-24,9.2,22.6,0,,,SW,46,16:42,14.2,56,,SSW,17,1019.4,20.4,23,,SSW,19,1017.4
,2024-10-25,6.7,22.6,0,,,SSW,37,12:05,13.7,61,,S,17,1023.5,20.7,30,1,SE,13,1020.4
,2024-10-26,9.3,25.5,0,,,NE,28,07:39,16.2,35,,ENE,17,1020.8,23.9,22,8,N,11,1017.2
,2024-10-27,12.5,32.4,0,,,SSW,43,20:39,22.7,24,,N,20,1017.0,31.8,9,,W,19,1014.5
,2024-10-28,10.8,26.9,0,,,SSE,39,10:07,15.7,58,,SSE,17,1024.1,24.6,25,,S,17,1022.4
,2024-10-29,9.8,28.4,0,,,SW,30,16:16,15.7,49,,SE,11,1026.9,26.7,18,,SSW,13,1023.9
,2024-10-30,10.2,31.5,0,,,SW,39,13:54,19.1,45,,ENE,9,1020.1,30.4,14,,WSW,20,1015.5
,2024-10-31,12.5,26.8,0,,,SSW,39,04:14,15.8,55,,S,15,1016.8,25.0,25,,WSW,17,1014.2
