"Daily Weather Observations for Mildura, Victoria for November 2024"
"Prepared at 05:37 UTC on Wednesday 27 November 2024   IDCJDW3051.202411"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mildura Airport {station 076031}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-11-1,10.3,24.3,0,,,SSE,37,13:04,14.3,54,,SSE,15,1019.8,22.5,19,,S,11,1018.7
,2024-11-2,9.9,30.8,0,,,N,41,16:41,17.7,36,,ENE,17,1018.7,28.9,9,,N,22,1013.4
,2024-11-3,17.5,29.2,0,,,N,37,00:27,21.0,58,7,SW,19,1010.4,27.7,25,,SW,17,1010.2
,2024-11-4,14.2,26.6,0,,,S,31,23:56,16.9,47,,S,15,1016.7,24.4,29,,SSW,13,1014.8
,2024-11-5,11.3,29.7,0,,,NNE,24,09:55,20.8,34,,ENE,11,1015.7,28.4,21,8,NE,6,1011.3
,2024-11-6,19.6,38.1,0,,,WSW,50,15:55,27.3,23,8,N,20,1006.5,36.0,17,,W,22,1004.4
,2024-11-7,13.4,26.2,0,,,WSW,39,12:17,16.8,62,1,NNW,6,1013.7,19.0,56,7,WNW,17,1011.7
,2024-11-8,8.6,24.6,0.2,,,SW,44,12:36,17.1,50,,W,17,1016.5,23.0,30,7,WSW,26,1015.8
,2024-11-9,7.2,22.6,0.2,,,S,20,23:52,15.4,45,2,ESE,11,1021.0,21.4,27,6,WNW,4,1018.6
,2024-11-10,11.2,29.9,0,,,SSW,26,03:10,18.1,41,,SE,15,1022.1,27.9,22,,W,11,1018.7
,2024-11-11,16.7,29.2,0,,,ENE,28,08:12,23.1,30,8,ENE,11,1017.8,24.0,46,8,ESE,9,1016.4
,2024-11-12,17.6,31.9,0.4,,,,,,21.9,44,8,NNE,9,1013.7,29.6,31,8,NNW,9,1010.0
,2024-11-13,14.9,26.2,,,,,41,11:01,15.4,,,,,1015.7,24.5,,,,,1014.2
,2024-11-14,10.4,26.3,0.2,,,,,,15.5,,,,,1020.1,24.4,24,,S,15,1017.8
,2024-11-15,10.7,29.8,,,,ESE,28,07:45,16.4,46,,ESE,19,1020.0,28.6,12,,NNW,11,1016.2
,2024-11-16,15.6,37.0,0,,,N,43,11:51,26.6,18,,NE,20,1013.8,35.6,6,,NNE,20,1008.0
,2024-11-17,20.5,25.9,0,,,WSW,54,08:36,21.3,55,8,WSW,20,1009.8,24.2,29,1,WSW,22,1011.3
,2024-11-18,9.9,26.7,0.6,,,S,35,22:32,16.6,53,,S,17,1022.0,24.5,25,,SSW,15,1020.0
,2024-11-19,11.3,27.7,0,,,SSW,31,13:33,16.1,52,,SE,19,1024.5,25.9,22,,SSE,17,1021.3
,2024-11-20,11.7,30.4,0,,,SSE,31,15:38,17.3,45,,SE,17,1023.4,27.9,15,,SE,11,1019.8
,2024-11-21,13.0,35.9,0,,,NNE,35,13:54,23.7,27,,ESE,13,1020.1,33.8,17,1,NNE,19,1016.9
,2024-11-22,21.5,37.5,0,,,,,,29.6,30,,N,19,1019.0,36.1,16,2,NE,20,1015.6
,2024-11-23,21.9,37.9,,,,W,67,14:42,28.9,27,,NNE,19,1016.0,36.0,19,7,NW,17,1011.9
,2024-11-24,20.4,23.2,0.8,,,SSW,19,09:07,20.9,99,8,S,7,1016.5,21.2,92,8,SSW,9,1015.5
,2024-11-25,19.0,24.3,42.0,,,ESE,19,09:37,19.4,100,8,ENE,7,1013.0,21.2,100,8,SSE,7,1010.4
,2024-11-26,19.3,32.4,6.4,,,N,70,20:45,23.6,79,,NE,11,1008.3,30.9,46,8,NW,13,1004.7
,2024-11-27,20.1,,13.6,,,,,,22.8,76,8,NW,11,1004.8,27.7,29,,WNW,22,1004.4
