"Daily Weather Observations for Mildura, Victoria for February 2025"
"Prepared at 13:01 UTC on Wednesday 20 August 2025   IDCJDW3051.202502"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mildura Airport {station 076031}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-02-1,16.8,41.3,0,10.2,,SE,30,07:34,22.3,45,,SE,20,1014.6,38.2,24,,E,6,1010.2
,2025-02-2,22.2,43.2,0,11.8,,NE,69,17:52,31.6,34,8, ,Calm,1011.5,41.3,15,3,N,7,1008.8
,2025-02-3,24.2,38.0,2.0,10.0,,NE,46,23:57,27.5,51,,ENE,19,1012.0,35.6,28,5,N,19,1009.1
,2025-02-4,23.1,41.5,0,9.8,,SE,44,18:34,27.7,53,,NNE,11,1009.1,40.5,15,1,WSW,17,1006.2
,2025-02-5,18.4,35.3,0.1,14.3,,SSE,39,23:14,20.0,61,,SSE,20,1011.1,32.2,29,,S,17,1009.4
,2025-02-6,18.8,40.5,0,8.4,,W,30,16:19,24.2,42,,SE,13,1009.7,39.2,18,,W,13,1007.4
,2025-02-7,23.9,38.3,0,11.6,,SSW,35,13:10,25.9,35,1,SW,13,1007.3,36.5,16,,SW,11,1006.5
,2025-02-8,17.1,32.6,0,17.2,,SSE,41,01:35,19.0,57,,SSE,20,1010.1,30.2,21,,SSW,20,1008.0
,2025-02-9,16.1,33.4,0,9.8,,SSE,35,00:11,19.3,64,,SSE,13,1010.2,30.4,24,,ESE,9,1007.1
,2025-02-10,17.2,34.9,0,8.0,,SSE,31,00:18,20.9,65,,SSE,19,1009.3,32.6,18,,ENE,13,1007.2
,2025-02-11,19.6,37.2,0,11.2,,SE,30,15:03,24.9,47,,ESE,15,1009.3,35.3,18,,E,9,1007.0
,2025-02-12,19.8,40.6,0,12.2,,ENE,26,13:54,27.6,34,,NE,9,1008.2,38.4,14,,ESE,6,1004.9
,2025-02-13,27.6,36.2,0,15.0,,NE,39,02:08,30.6,29,,NNW,11,1003.7,28.6,41,8,SW,20,1003.7
,2025-02-14,14.6,29.3,0,12.0,,WSW,48,18:43,18.6,66,,W,9,1010.1,28.2,30,8,SW,22,1007.8
,2025-02-15,10.9,25.3,0,10.0,,SSW,46,23:41,15.6,60,5,SW,13,1013.6,23.6,27,6,SSW,22,1012.0
,2025-02-16,8.0,24.3,0,9.8,,SSW,44,15:48,12.5,54,,S,13,1019.5,21.9,24,,SE,17,1018.3
,2025-02-17,9.7,27.9,0,8.0,,E,26,08:33,14.3,47,,E,9,1021.5,25.6,19,,SSE,7,1018.5
,2025-02-18,11.5,30.9,0,6.0,,SSW,37,16:27,17.9,39,,S,13,1017.8,29.6,14,,SSW,20,1015.2
,2025-02-19,12.3,27.8,0,,,S,43,16:10,14.8,53,,SSE,20,1019.6,25.2,25,,SSW,15,1017.3
,2025-02-20,12.7,28.8,0,20.0,,SSE,43,23:48,15.5,57,,SSE,20,1021.7,26.3,23,,S,13,1019.4
,2025-02-21,13.2,35.1,0,8.6,,ESE,24,08:28,19.1,46,,ESE,15,1019.5,33.4,17,,ENE,9,1016.0
,2025-02-22,17.4,41.4,0,8.0,,N,54,15:20,26.3,32,1,NNE,15,1014.0,39.4,9,,N,26,1010.1
,2025-02-23,26.2,33.3,0,16.0,,SW,41,15:52,26.3,39,,SW,17,1013.8,31.7,27,3,WSW,19,1013.6
,2025-02-24,12.7,31.4,0,10.0,,SE,31,08:53,17.5,64,,S,11,1021.8,29.3,24,,S,13,1019.8
,2025-02-25,14.2,35.2,0,9.4,,SE,30,12:57,19.7,51,,ESE,19,1021.9,33.7,16,,SSW,4,1018.3
,2025-02-26,15.5,39.4,0,10.0,,SW,37,16:48,24.5,27,, ,Calm,1017.8,38.6,7,,W,17,1015.4
,2025-02-27,19.1,36.6,0,10.0,,S,30,22:18,20.2,54,7,S,9,1017.6,34.0,15,,W,11,1014.4
,2025-02-28,20.2,35.8,0,9.6,,S,39,23:40,25.4,20,8,SSW,11,1016.6,32.2,23,,W,6,1014.1
