"Daily Weather Observations for Mildura, Victoria for April 2025"
"Prepared at 13:01 UTC on Monday 18 August 2025   IDCJDW3051.202504"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mildura Airport {station 076031}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-04-1,11.6,27.5,0,8.0,,SE,30,23:07,14.3,63,,SE,13,1016.5,26.4,29,,E,9,1012.3
,2025-04-2,11.8,29.1,0,4.6,,SW,35,12:41,17.0,55,,WSW,2,1011.1,27.9,19,1,WSW,17,1008.4
,2025-04-3,12.5,25.8,0,10.6,,SSW,37,13:33,14.9,77,,SW,17,1014.8,24.9,29,,SSW,20,1014.0
,2025-04-4,9.4,22.9,0,6.2,,WSW,33,14:40,11.1,79,,S,9,1020.0,21.6,37,3,SW,11,1018.4
,2025-04-5,8.5,22.9,0,4.0,,SSW,26,00:12,11.9,80,,SW,11,1023.5,21.3,36,,W,13,1021.3
,2025-04-6,9.2,26.1,0,5.2,,WNW,33,13:05,14.3,54,8,SW,4,1021.0,25.5,24,,WSW,15,1017.5
,2025-04-7,9.1,23.2,0,4.0,,WSW,39,13:30,15.9,73,,W,7,1024.8,22.1,34,1,SSW,17,1022.6
,2025-04-8,6.3,23.5,0,4.0,,SSW,22,13:54,14.9,55,,SE,9,1026.8,23.2,30,,SSW,9,1022.5
,2025-04-9,8.4,25.3,0,4.0,,NW,28,12:22,15.1,55,2, ,Calm,1023.5,23.8,28,7,W,7,1018.9
,2025-04-10,10.2,29.7,0,1.2,,N,20,10:52,19.4,42,,NNE,9,1020.5,29.2,21,,N,9,1017.3
,2025-04-11,13.1,32.4,0,3.8,,SSW,22,05:27,20.8,37,2,SSE,6,1023.8,32.2,15,1,WNW,2,1022.2
,2025-04-12,12.2,34.2,0,8.0,,NE,24,11:29,23.2,33,,E,6,1026.9,33.2,13,,E,6,1024.0
,2025-04-13,15.3,33.1,0,8.2,,NNE,28,11:41,24.2,34,,N,15,1026.8,32.4,17,, ,Calm,1022.7
,2025-04-14,14.1,33.1,0,6.4,,NNE,26,15:31,23.8,37,, ,Calm,1025.5,32.4,18,,E,11,1021.9
,2025-04-15,15.6,33.4,0,4.8,,,,,22.5,41,,ESE,11,1023.3,32.5,17,, ,Calm,1019.6
,2025-04-16,16.8,33.5,0,5.1,,WNW,20,13:12,22.3,39,6,NNE,6,1020.1,33.0,17,3,W,2,1016.1
,2025-04-17,15.6,33.4,0,4.8,,NE,22,12:41,22.9,41,,NE,17,1016.6,32.5,18,1,ENE,9,1012.2
,2025-04-18,13.8,33.5,0,6.6,,N,33,13:11,22.3,40,,NNE,13,1012.5,32.7,15,,NNW,13,1008.5
,2025-04-19,20.9,31.8,0,9.6,,N,35,12:06,24.3,26,8,N,20,1008.1,31.0,19,8,NW,20,1004.4
,2025-04-20,14.2,23.3,0,5.8,,SW,43,21:02,17.8,61,7,W,15,1011.5,21.8,31,4,W,19,1010.1
,2025-04-21,13.1,22.8,0,2.2,,WSW,50,09:35,15.3,74,7,WSW,24,1017.5,21.4,50,1,S,20,1017.6
,2025-04-22,10.7,22.5,0,0.8,,S,35,08:30,13.7,74,,S,17,1026.2,21.8,36,,S,19,1022.7
,2025-04-23,9.7,27.9,0,5.6,,ESE,22,09:06,15.4,73,,SE,13,1023.4,27.1,35,4,SSE,11,1018.4
,2025-04-24,15.4,30.0,0,7.7,,N,39,13:26,21.8,50,,NE,24,1018.6,29.3,29,,NNE,17,1014.0
,2025-04-25,20.1,23.6,1.2,6.6,,NNE,35,11:59,22.5,57,8,NE,20,1014.0,21.1,73,8, ,Calm,1011.4
,2025-04-26,15.2,22.1,7.4,0.1,,SSE,31,13:05,16.6,100,8,SSE,6,1015.5,21.3,64,4,SSE,17,1013.9
,2025-04-27,13.1,20.4,3.0,2.7,,S,35,02:28,13.5,96,8,SSW,17,1018.2,20.1,60,5,SSW,15,1016.6
,2025-04-28,9.0,20.6,0.1,4.1,,S,24,14:46,12.7,89,7,S,9,1020.2,19.3,52,7,SW,15,1017.9
,2025-04-29,9.3,21.5,0,0.1,,S,31,12:31,13.3,82,,S,13,1023.1,20.2,43,2,S,17,1021.0
,2025-04-30,8.2,21.9,0,3.6,,SSE,39,15:05,12.1,69,,S,19,1026.7,21.5,33,,SSE,19,1025.1
