"Daily Weather Observations for Nhill, Victoria for October 2023"
"Prepared at 13:01 UTC on Wednesday 13 November 2024   IDCJDW3059.202310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Nhill Aerodrome."
"Observations were drawn from Nhill Aerodrome {station 078015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-10-1,13.6,21.6,0,,,SW,61,06:47,14.3,63,,SW,39,1012.2,20.1,37,,SW,24,1013.9
,2023-10-2,7.1,32.0,0,,,NNW,44,16:30,11.2,73,,ENE,22,1015.0,29.3,23,,NNE,17,1006.3
,2023-10-3,11.2,17.7,7.6,,,NNW,76,23:53,14.0,100,,NW,11,1009.2,16.6,57,,WNW,22,1009.5
,2023-10-4,5.5,17.5,0,,,WSW,59,14:09,9.5,91,,SSW,13,1013.2,16.7,38,,SSW,31,1012.5
,2023-10-5,2.7,17.1,0.2,,,SW,59,15:27,8.2,81,,W,15,1021.8,14.8,82,,W,30,1020.9
,2023-10-6,5.0,16.7,1.0,,,SE,37,10:08,9.6,83,,S,13,1031.9,15.7,44,,S,15,1031.5
,2023-10-7,0.8,18.8,0,,,SSE,41,09:42,6.4,86,,SSE,11,1034.3,16.8,37,,SSE,13,1031.1
,2023-10-8,2.2,21.3,0,,,ESE,35,08:25,9.9,70,,ESE,24,1031.9,19.8,34,,SE,9,1028.5
,2023-10-9,2.8,22.8,0,,,SSW,37,13:23,10.9,76,,ESE,15,1028.0,21.6,26,,SW,15,1024.8
,2023-10-10,1.4,23.3,0,,,E,30,08:04,9.6,74,,E,20,1025.6,20.9,25,,SW,9,1023.0
,2023-10-11,7.2,31.7,0,,,NNW,48,12:37,15.3,44,,N,13,1021.4,30.5,16,,NNW,26,1016.2
,2023-10-12,11.0,17.5,0.8,,,W,69,09:18,11.1,87,,W,22,1016.2,16.7,53,,WSW,39,1017.7
,2023-10-13,7.0,19.2,1.6,,,WSW,46,09:28,12.7,73,,WSW,26,1023.9,17.6,59,,WSW,30,1022.5
,2023-10-14,11.2,18.0,0,,,W,57,10:42,13.5,72,,W,26,1021.4,16.8,54,,WSW,24,1020.2
,2023-10-15,9.4,17.9,0.2,,,SW,43,13:10,11.6,90,,NW,17,1019.4,16.7,64,,WSW,28,1016.8
,2023-10-16,8.8,17.9,2.0,,,SW,54,08:38,10.3,75,,SW,22,1020.9,16.6,37,,SSW,30,1023.8
,2023-10-17,2.5,21.9,0.2,,,ESE,37,08:34,10.9,69,,E,19,1032.1,19.8,24,,E,11,1029.2
,2023-10-18,7.7,25.7,0,,,NE,30,07:29,13.6,65,,ENE,19,1028.4,23.6,22,,NNW,9,1024.7
,2023-10-19,9.2,29.7,0,,,SW,30,11:56,17.7,52,,NNE,11,1021.7,28.4,17,,SSW,9,1017.9
,2023-10-20,12.3,33.8,0,,,NNW,43,15:39,19.5,51,,NNE,13,1015.8,32.6,11,,NNW,22,1011.2
,2023-10-21,13.3,19.3,0,,,W,65,15:09,14.7,67,,W,28,1012.0,17.7,36,,W,39,1011.1
,2023-10-22,8.7,18.8,0,,,SW,61,09:19,12.0,69,,WSW,35,1015.7,16.5,49,,SW,37,1016.1
,2023-10-23,1.3,23.4,0,,,SW,24,09:03,10.1,68,,S,9,1018.5,21.0,16,,NNW,11,1014.4
,2023-10-24,10.0,20.2,0,,,W,70,12:20,16.9,60,,W,39,1008.8,19.0,28,,W,41,1011.6
,2023-10-25,2.8,15.5,0,,,SW,63,12:54,10.2,63,,WSW,22,1020.3,13.8,36,,WSW,28,1021.7
,2023-10-26,1.5,18.7,1.6,,,S,44,08:56,9.4,81,,SSW,17,1032.3,16.7,38,,S,22,1031.0
,2023-10-27,1.9,22.9,0,,,E,37,07:57,10.3,62,,E,26,1033.7,21.3,19,,NE,11,1028.7
,2023-10-28,9.5,28.3,0,,,WNW,59,15:13,13.6,39,,NNE,15,1023.2,26.2,13,,NNW,30,1018.5
,2023-10-29,2.8,25.8,0,,,WNW,46,15:01,11.3,66,,SSE,13,1016.2,24.5,20,,WNW,19,1010.9
,2023-10-30,9.6,21.9,0,,,W,72,14:55,14.7,65,,WNW,26,1009.6,18.4,52,,W,43,1008.6
,2023-10-31,4.1,19.7,0,,,WSW,44,17:21,11.2,62,,SW,19,1019.7,19.0,31,,SW,19,1020.5
