"Daily Weather Observations for Nhill, Victoria for January 2024"
"Prepared at 13:01 UTC on Sunday 10 November 2024   IDCJDW3059.202401"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Nhill Aerodrome."
"Observations were drawn from Nhill Aerodrome {station 078015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-01-1,11.5,30.7,0,,,SSE,41,20:17,18.4,58,,ESE,19,1018.6,29.3,28,,WNW,7,1015.3
,2024-01-2,16.4,32.4,0,,,E,52,18:37,20.3,71,,SE,22,1013.2,31.1,42,,ESE,26,1009.3
,2024-01-3,17.9,29.9,2.0,,,SE,37,21:03,20.6,84,,E,15,1013.7,27.2,59,,NNW,11,1012.9
,2024-01-4,18.6,30.3,0,,,SSE,41,20:55,20.1,75,,SE,17,1018.5,28.5,43,,ESE,17,1017.4
,2024-01-5,14.3,33.6,0,,,ESE,35,08:17,22.2,62,,ESE,24,1019.1,31.3,30,,SSE,15,1015.9
,2024-01-6,20.1,35.6,0,,,WNW,70,14:35,24.4,61,,ENE,24,1015.3,34.0,32,,ENE,22,1010.8
,2024-01-7,20.6,26.6,10.2,,,ENE,31,23:07,22.9,82,,N,7,1009.1,25.4,76,,E,9,1006.9
,2024-01-8,17.4,23.3,18.4,,,SSW,43,14:53,17.7,90,,SW,26,1011.0,22.2,69,,S,28,1011.5
,2024-01-9,13.2,29.5,0,,,W,26,15:45,17.7,85,,S,13,1013.9,26.6,53,,S,9,1011.2
,2024-01-10,15.8,28.2,0,,,SW,37,13:27,17.1,89,,WSW,17,1013.9,26.6,39,,SW,26,1014.2
,2024-01-11,12.3,31.0,0,,,SSE,33,14:51,17.2,73,,SSE,13,1019.2,29.4,30,,S,13,1018.2
,2024-01-12,15.5,36.0,0,,,SSE,39,20:39,23.0,46,,ENE,13,1017.2,33.9,19,,WSW,17,1014.2
,2024-01-13,15.3,27.8,0,,,SSE,44,19:22,21.9,57,,SE,17,1016.7,25.0,47,,S,31,1016.8
,2024-01-14,10.5,29.8,0,,,SSE,48,15:51,16.2,59,,SE,26,1020.0,28.5,26,,SSE,20,1017.0
,2024-01-15,12.8,32.6,0,,,NE,46,14:12,21.9,65,,E,26,1017.0,31.5,38,,ENE,24,1013.6
,2024-01-16,19.9,32.7,0,,,NW,52,17:37,21.9,59,,ENE,22,1010.8,31.8,38,,NE,22,1005.6
,2024-01-17,14.6,22.4,20.2,,,SW,52,14:31,16.4,80,,SSW,30,1007.0,21.4,42,,SW,31,1006.6
,2024-01-18,10.9,22.9,0,,,SW,54,15:55,15.8,62,,WSW,28,1010.2,20.2,48,,WSW,31,1009.6
,2024-01-19,8.9,26.8,0,,,E,26,08:57,14.6,65,,SSE,15,1012.3,23.3,31,,ENE,7,1009.8
,2024-01-20,14.5,35.9,0,,,WNW,56,16:36,20.4,47,,N,11,1006.9,34.0,18,,NW,28,1002.4
,2024-01-21,13.2,26.7,0,,,SSW,48,14:20,17.0,68,,S,30,1009.4,25.3,36,,SW,31,1009.7
,2024-01-22,8.9,28.4,0,,,SE,37,15:40,15.2,66,,SE,17,1015.8,25.3,28,,S,13,1013.5
,2024-01-23,12.4,36.2,0,,,NNW,33,14:21,18.1,54,,ENE,15,1012.0,32.3,21,,N,15,1007.8
,2024-01-24,18.1,33.1,0.8,,,WSW,50,05:04,21.0,61,,SW,15,1007.3,31.4,32,,W,22,1007.4
,2024-01-25,16.4,18.9,0.4,,,SSW,30,00:07,17.2,79,,SSE,9,1009.1,16.7,88,,WSW,15,1008.4
,2024-01-26,14.4,24.4,17.0,,,WSW,50,10:41,16.9,78,,WSW,26,1009.5,22.0,38,,SW,30,1009.5
,2024-01-27,10.0,25.2,0,,,W,57,13:09,15.0,74,,WSW,17,1011.3,23.0,36,,WSW,28,1009.1
,2024-01-28,12.3,27.9,0,,,SW,26,23:01,14.7,90,,S,13,1013.4,25.0,42,,N,9,1011.1
,2024-01-29,14.6,32.1,0,,,SW,44,17:29,21.5,65,,ENE,7,1011.0,31.3,28,,SSW,20,1010.0
,2024-01-30,12.1,29.7,0,,,SW,46,15:03,17.0,77,,S,11,1015.1,28.4,28,,WSW,24,1013.1
,2024-01-31,9.8,27.6,0,,,S,44,09:37,16.2,66,,S,24,1018.4,25.6,34,,SSW,26,1016.8
