"Daily Weather Observations for Nhill, Victoria for February 2024"
"Prepared at 13:01 UTC on Saturday  9 November 2024   IDCJDW3059.202402"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Nhill Aerodrome."
"Observations were drawn from Nhill Aerodrome {station 078015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-02-1,11.5,29.9,0,,,WSW,52,16:30,16.2,74,,SSW,22,1018.1,28.7,30,,WSW,24,1014.7
,2024-02-2,15.1,29.5,0,,,SW,54,10:44,17.2,74,,SW,22,1016.1,27.6,30,,SSW,20,1013.3
,2024-02-3,10.7,36.0,0,,,W,33,14:34,18.7,57,,NNE,9,1012.0,34.0,13,,W,15,1008.0
,2024-02-4,14.5,40.1,0,,,NW,56,12:29,23.8,49,,ENE,19,1003.9,38.7,10,,NNW,35,999.0
,2024-02-5,17.1,24.9,0,,,S,54,06:18,18.0,65,,SSW,31,1007.4,22.0,36,,S,28,1009.0
,2024-02-6,8.3,25.5,0,,,SSW,46,14:56,15.2,57,,S,20,1019.4,24.1,28,,SSW,26,1019.0
,2024-02-7,9.1,27.3,0,,,SSW,54,14:25,15.0,72,,SSE,11,1024.5,25.0,30,,SSW,24,1022.5
,2024-02-8,9.4,30.1,0,,,SSE,43,21:10,16.2,65,,SE,17,1024.9,27.4,19,,SSW,20,1022.2
,2024-02-9,11.2,29.9,0,,,S,44,17:00,16.4,69,,SSE,15,1024.5,28.6,23,,SSW,15,1022.7
,2024-02-10,10.1,30.9,0,,,SSE,31,07:45,16.1,71,,SSE,24,1024.5,28.1,25,,ESE,11,1020.8
,2024-02-11,13.1,35.8,0,,,SW,28,20:33,22.1,58,,E,17,1018.4,33.7,14,,W,7,1015.5
,2024-02-12,15.6,38.0,0,,,WNW,43,12:36,24.2,39,,NE,11,1014.5,36.9,13,,NW,24,1011.8
,2024-02-13,20.5,37.1,0,,,W,78,14:56,27.7,31,,NNW,15,1007.7,32.5,25,,W,46,1005.6
,2024-02-14,9.4,23.9,0,,,SSW,43,11:20,14.7,53,,S,17,1018.4,21.3,29,,S,15,1017.9
,2024-02-15,7.0,26.6,0,,,W,43,11:44,12.6,60,,SSE,7,1022.3,24.9,25,,S,17,1020.1
,2024-02-16,9.0,31.1,0,,,SSE,31,23:20,15.0,66,,S,9,1021.7,28.7,22,,SSW,17,1019.0
,2024-02-17,11.3,33.5,0,,,SSW,35,13:55,19.2,58,,E,7,1021.3,31.6,14,,SSW,17,1019.1
,2024-02-18,11.0,32.6,0,,,SSW,35,14:01,16.0,72,,SSE,11,1021.0,29.9,19,,WSW,17,1018.6
,2024-02-19,10.2,33.2,0,,,S,35,14:56,16.6,71,,ESE,13,1019.2,31.4,14,,S,17,1017.1
,2024-02-20,16.4,30.3,0,,,S,37,12:19,19.9,57,,ESE,15,1015.0,29.1,19,,SSW,19,1014.4
,2024-02-21,19.7,36.3,0,,,ENE,39,08:46,23.3,49,,E,24,1012.7,34.7,20,,NNE,17,1009.7
,2024-02-22,23.0,39.0,0,,,WNW,61,13:23,28.6,37,,N,20,1006.9,37.9,16,,WNW,37,1003.6
,2024-02-23,11.5,22.5,0,,,SSW,52,13:35,16.2,58,,SW,31,1013.5,20.2,39,,SW,30,1015.0
,2024-02-24,9.4,28.3,0,,,SE,33,10:03,16.0,57,,SSE,20,1020.9,25.6,26,,SSW,19,1017.7
,2024-02-25,11.0,32.3,0,,,WSW,52,15:14,17.6,53,,NE,9,1015.5,31.1,13,,WSW,19,1013.2
,2024-02-26,13.3,28.6,0,,,S,35,23:30,17.0,74,,S,22,1018.1,26.4,28,,SSE,15,1016.6
,2024-02-27,9.7,34.0,0,,,E,31,06:52,15.8,58,,ENE,17,1014.6,30.1,23,,NW,15,1011.7
,2024-02-28,15.8,40.9,0,,,NNW,78,15:19,25.4,34,,NE,9,1009.1,38.7,10,,NW,50,1005.3
,2024-02-29,15.5,30.0,0,,,SW,33,07:26,17.7,72,,SW,24,1014.8,28.3,31,,SW,15,1014.5
