"Daily Weather Observations for Nhill, Victoria for March 2024"
"Prepared at 13:01 UTC on Friday  8 November 2024   IDCJDW3059.202403"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Nhill Aerodrome."
"Observations were drawn from Nhill Aerodrome {station 078015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-03-1,12.4,30.3,0,,,SSW,44,20:58,16.5,71,,SSE,13,1014.8,28.4,34,,WSW,20,1013.1
,2024-03-2,12.3,26.7,0,,,S,37,09:58,16.0,76,,S,19,1018.6,24.4,35,,S,19,1017.2
,2024-03-3,7.7,26.2,0,,,S,52,11:13,11.8,69,,S,15,1020.6,23.8,32,,S,26,1019.3
,2024-03-4,6.0,28.9,0,,,ESE,41,08:13,12.7,61,,ESE,24,1023.2,25.4,17,,ESE,15,1019.9
,2024-03-5,9.9,32.9,0,,,E,26,00:42,17.1,45,,NE,7,1018.9,31.6,9,,NW,11,1016.1
,2024-03-6,15.2,34.0,0,,,S,44,21:44,18.9,37,,S,9,1017.3,32.5,12,,SSW,20,1015.8
,2024-03-7,13.9,31.6,0,,,SSE,39,00:04,16.3,76,,SSE,17,1023.2,29.2,25,,ESE,11,1020.9
,2024-03-8,8.6,33.0,0,,,E,26,08:14,15.7,68,,E,15,1022.3,30.2,11,,SSE,11,1019.3
,2024-03-9,15.6,40.3,0,,,NW,44,14:52,24.5,17,,ENE,17,1017.9,38.0,16,,NNW,15,1015.2
,2024-03-10,22.7,38.4,0,,,NE,39,15:46,27.4,32,,NNE,13,1021.0,37.4,16,,NE,20,1019.9
,2024-03-11,22.6,37.6,0,,,NW,39,11:09,24.2,39,,NE,15,1020.3,36.4,15,,NNW,20,1017.1
,2024-03-12,21.4,35.5,0,,,S,37,14:54,24.7,36,,NNW,6,1016.0,31.9,29,,SSE,24,1014.5
,2024-03-13,18.0,29.4,0,,,SW,39,16:10,18.8,70,,SE,15,1016.1,27.9,40,,SSW,15,1014.3
,2024-03-14,14.7,24.6,0.4,,,,,,15.4,86,,SSE,9,1016.1,20.3,67,,SSE,13,1015.1
,2024-03-15,10.3,30.0,,,,ESE,41,13:38,13.2,79,,SSE,20,1018.8,27.8,38,,E,22,1015.8
,2024-03-16,13.2,31.4,0,,,ENE,46,14:07,19.9,57,,E,22,1017.3,29.8,34,,ENE,26,1013.5
,2024-03-17,15.9,24.6,9.4,,,ENE,37,08:11,16.1,95,,ENE,26,1012.6,20.3,89,,NNE,13,1010.9
,2024-03-18,16.0,30.9,6.6,,,NE,35,14:02,18.1,72,,ENE,20,1012.0,29.6,42,,NNE,13,1009.2
,2024-03-19,17.8,25.3,0,,,WSW,54,19:20,18.3,83,,W,22,1010.5,23.7,43,,W,28,1010.8
,2024-03-20,8.6,20.8,0,,,S,50,09:25,11.3,72,,SW,17,1025.1,20.0,30,,S,28,1026.2
,2024-03-21,4.4,22.6,0,,,SE,35,13:22,8.5,75,,SSE,13,1030.3,20.8,28,,S,13,1025.9
,2024-03-22,6.0,25.0,0,,,SSE,41,21:03,10.6,82,,SSE,6,1024.1,23.8,24,,SSW,11,1021.9
,2024-03-23,8.1,23.5,0,,,S,37,15:54,11.2,92,,S,15,1025.8,22.5,37,,S,15,1023.6
,2024-03-24,5.7,23.2,0,,,SW,43,09:36,9.2,85,,SSW,7,1025.9,22.0,36,,WSW,20,1022.7
,2024-03-25,9.0,25.1,0,,,SW,35,09:14,11.6,84,,SW,11,1022.0,23.3,38,,WSW,20,1019.4
,2024-03-26,9.3,23.6,0,,,SSW,35,15:46,13.6,79,,SSW,17,1023.2,21.7,44,,S,13,1021.8
,2024-03-27,7.8,24.8,0,,,SSE,37,13:31,10.7,94,,SSE,17,1026.5,22.6,33,,S,15,1024.8
,2024-03-28,7.5,24.0,0,,,SSE,31,23:04,10.6,96,,SSE,13,1026.9,22.3,36,,SSW,19,1024.2
,2024-03-29,7.6,27.5,0,,,E,28,07:54,13.4,73,,E,20,1024.8,25.6,24,,WSW,13,1022.7
,2024-03-30,11.2,32.7,0,,,SW,30,16:41,16.4,58,,SE,9,1024.9,31.4,16,,ENE,6,1022.5
,2024-03-31,13.3,33.9,0,,,NE,26,09:39,17.9,53,,ESE,15,1021.5,32.6,14,,N,11,1017.3
