"Daily Weather Observations for Nhill, Victoria for June 2024"
"Prepared at 13:01 UTC on Tuesday  5 November 2024   IDCJDW3059.202406"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Nhill Aerodrome."
"Observations were drawn from Nhill Aerodrome {station 078015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-06-1,2.0,15.1,0.4,,,S,26,12:41,5.1,98,,SSW,6,1026.9,14.7,49,,S,17,1025.9
,2024-06-2,2.3,13.9,0,,,SSE,39,11:19,5.1,92,,SSE,7,1028.8,13.4,46,,ESE,20,1024.6
,2024-06-3,-1.8,10.8,0,,,W,28,12:53,1.9,95,,SSE,9,1019.2,10.5,59,,WNW,9,1015.1
,2024-06-4,0.9,12.2,0,,,NE,19,19:37,4.0,93,, ,Calm,1017.9,11.7,57,,N,4,1016.9
,2024-06-5,4.0,15.9,0,,,SSE,35,15:48,5.9,86,, ,Calm,1023.5,15.8,40,,S,17,1023.1
,2024-06-6,2.5,17.7,0,,,S,26,15:06,4.5,98,,S,6,1026.7,17.2,52,,S,15,1024.6
,2024-06-7,0.8,16.5,0.2,,,,,,3.9,98,,S,7,1024.7,16.3,51,,S,15,1020.8
,2024-06-8,2.1,15.0,0.2,,,SSW,43,13:37,7.5,92,,SSW,13,1019.7,14.1,55,,SW,22,1017.6
,2024-06-9,7.5,16.0,0,,,SSW,28,17:42,12.1,90,,S,13,1020.7,15.5,44,,SW,17,1019.9
,2024-06-10,4.1,15.6,0.6,,,N,31,22:44,8.3,97,,NE,6,1023.2,15.3,64,,N,13,1019.4
,2024-06-11,8.2,17.8,0.8,,,WNW,59,13:55,12.9,73,,NNW,24,1012.4,16.6,53,,W,37,1011.1
,2024-06-12,8.6,14.9,0,,,S,48,14:28,10.4,78,,SW,24,1019.4,13.5,55,,SSE,24,1021.1
,2024-06-13,3.9,11.1,0,,,NNE,19,12:24,6.9,77,,NE,6,1023.8,10.8,60,,N,6,1021.3
,2024-06-14,6.9,8.3,10.0,,,E,39,16:16,7.0,95,,ENE,17,1019.1,8.2,95,,ENE,24,1016.1
,2024-06-15,6.7,14.2,11.0,,,ESE,30,00:34,8.1,83,,SE,13,1021.3,13.2,64,,SE,17,1020.7
,2024-06-16,0.8,14.2,0,,,S,33,12:25,2.5,97,,SSE,6,1025.1,14.0,55,,S,19,1023.0
,2024-06-17,0.3,13.2,0,,,SE,19,11:37,3.5,97,,SSE,7,1024.3,12.4,56,,WNW,2,1021.7
,2024-06-18,0.3,13.1,0.2,,,E,26,09:47,4.3,95,,ESE,13,1021.1,12.1,57,,N,7,1017.7
,2024-06-19,4.3,12.5,0.2,,,ENE,30,20:21,6.7,83,,ENE,19,1016.7,12.1,63,,NE,17,1013.2
,2024-06-20,6.6,9.1,9.4,,,E,31,09:15,6.6,97,,E,22,1014.4,8.7,89,,E,15,1014.5
,2024-06-21,2.9,13.7,0,,,S,28,14:43,4.9,99,,S,7,1024.3,11.6,58,,SSW,15,1024.9
,2024-06-22,0.0,13.1,0,,,ESE,20,11:37,2.4,97,,SE,7,1031.9,12.1,55,,SE,7,1029.4
,2024-06-23,2.3,13.4,0,,,ENE,22,09:38,4.4,90,,ENE,15,1026.7,12.9,53,,NNW,15,1022.5
,2024-06-24,4.4,14.7,0,,,N,39,12:18,5.8,85,,NNE,11,1015.7,14.1,48,,N,19,1011.3
,2024-06-25,5.7,15.8,0,,,WNW,46,18:47,7.2,80,,N,15,1012.8,15.3,49,,N,22,1010.6
,2024-06-26,5.2,14.1,7.0,,,NW,46,13:50,6.3,94,,NNW,15,1015.2,13.4,60,,NW,31,1014.4
,2024-06-27,6.3,13.8,3.2,,,NW,19,00:03,7.7,99,,NNW,6,1021.4,12.9,76,,SSW,6,1020.3
,2024-06-28,5.9,17.6,0.2,,,N,44,12:34,7.7,71,,NNE,13,1020.0,17.0,43,,NNW,20,1016.3
,2024-06-29,7.7,10.7,1.8,,,NW,33,08:00,9.4,98,,NW,19,1014.0,10.5,80,,SSW,17,1014.9
,2024-06-30,2.1,12.6,2.4,,,S,33,12:54,4.0,96,,S,7,1024.2,12.0,57,,SSW,24,1023.8
