"Daily Weather Observations for Nhill, Victoria for August 2024"
"Prepared at 13:01 UTC on Tuesday 12 August 2025   IDCJDW3059.202408"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Nhill Aerodrome."
"Observations were drawn from Nhill Aerodrome {station 078015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,1.0,14.5,0,,,NE,30,14:02,4.8,90,,ENE,17,1034.0,14.3,51,,NE,13,1029.8
,2024-08-2,4.0,16.7,0,,,N,33,14:16,6.5,73,,NE,15,1027.9,15.7,40,,N,17,1023.9
,2024-08-3,3.8,15.6,0,,,S,24,12:09,6.7,99,,SSE,7,1029.3,15.0,43,,S,9,1027.4
,2024-08-4,0.1,12.6,0,,,ENE,15,12:25,2.6,94,,SSE,2,1029.6,12.5,54,,ENE,7,1025.8
,2024-08-5,2.6,15.8,0,,,W,20,12:59,8.4,76,,NE,6,1024.5,14.8,54,,WSW,11,1022.2
,2024-08-6,3.1,16.0,0,,,WNW,46,13:31,5.9,95,,NNW,9,1025.2,15.4,52,,WNW,24,1022.9
,2024-08-7,3.3,17.0,0.2,,,NNW,24,11:01,7.6,95,,N,7,1026.1,15.8,48,,N,11,1023.0
,2024-08-8,6.4,15.7,0,,,N,39,13:26,7.8,80,,NNE,13,1021.5,14.7,52,,NNW,20,1019.2
,2024-08-9,7.8,16.2,0.4,,,S,22,14:50,9.2,95,, ,Calm,1026.9,15.8,52,,SW,11,1025.6
,2024-08-10,1.4,17.2,0.2,,,SSW,17,12:49,4.5,99,,S,6,1030.2,17.0,47,,WNW,9,1028.6
,2024-08-11,0.4,17.9,0,,,ENE,24,22:47,8.3,99,,ENE,6,1031.6,17.5,43,,NNE,7,1028.5
,2024-08-12,5.9,21.5,0,,,NNE,30,14:49,9.3,78,,NE,13,1029.0,21.4,39,,NNE,13,1024.9
,2024-08-13,8.5,22.9,0,,,N,35,12:43,11.5,73,,NNE,7,1024.5,22.8,29,,NNW,17,1019.6
,2024-08-14,8.9,24.9,0,,,NNW,48,13:52,12.4,56,,N,11,1018.8,23.5,31,,NW,24,1014.9
,2024-08-15,9.9,22.8,0.4,,,WNW,43,04:16,13.8,67,,NE,11,1016.0,19.2,56,,N,9,1012.5
,2024-08-16,10.6,17.5,2.8,,,WNW,54,03:58,11.3,86,,NNW,15,1008.5,16.2,61,,NW,35,1005.9
,2024-08-17,10.0,16.4,8.8,,,WSW,52,13:26,11.7,90,,W,24,1007.2,14.7,82,,S,24,1008.4
,2024-08-18,3.6,15.9,0.4,,,SSE,19,10:35,8.3,100,,SSW,11,1019.2,15.7,63,, ,Calm,1017.7
,2024-08-19,6.3,19.4,0.2,,,ENE,39,20:18,8.2,99,,ENE,11,1021.7,18.6,47,,NE,17,1017.3
,2024-08-20,8.2,19.3,1.4,,,NE,50,01:29,11.7,85,,NE,22,1011.2,18.6,54,,N,15,1006.7
,2024-08-21,11.4,18.0,0.8,,,WNW,46,14:23,12.7,92,,W,22,1015.2,16.5,54,,W,31,1014.4
,2024-08-22,8.1,18.0,0,,,WNW,39,15:23,11.6,99,,W,19,1019.4,17.2,58,,WNW,24,1018.6
,2024-08-23,7.0,19.2,0,,,NE,41,15:59,10.7,81,,NE,13,1019.0,17.1,71,,NE,19,1011.8
,2024-08-24,10.4,22.0,1.0,,,NW,37,14:46,13.1,100,,WNW,19,1012.9,21.4,43,,NW,24,1011.7
,2024-08-25,11.0,24.5,0,,,WSW,89,15:46,13.9,66,,NNE,9,1006.1,18.5,52,,W,48,1005.0
,2024-08-26,10.0,17.0,1.4,,,SW,46,09:23,12.8,100,,W,22,1018.3,15.9,66,,WNW,26,1017.7
,2024-08-27,8.1,22.6,0.8,,,NW,65,22:58,11.1,79,,N,20,1016.4,22.0,32,,NNW,41,1007.8
,2024-08-28,10.7,16.1,0.2,,,W,74,12:52,12.7,75,,WNW,30,1009.6,15.3,50,,W,50,1011.5
,2024-08-29,6.3,19.5,0.6,,,NNW,46,13:54,10.1,99,,NNW,17,1014.9,18.0,41,,NNW,31,1007.7
,2024-08-30,10.0,18.1,1.0,,,W,69,02:09,14.0,77,,WNW,30,1001.7,15.5,56,,WSW,41,1000.6
,2024-08-31,10.4,18.4,0,,,WNW,70,11:36,11.9,83,,WNW,33,1005.2,17.1,48,,WNW,44,1005.3
