"Daily Weather Observations for Nhill, Victoria for September 2024"
"Prepared at 16:01 UTC on Saturday 16 November 2024   IDCJDW3059.202409"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Nhill Aerodrome."
"Observations were drawn from Nhill Aerodrome {station 078015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-09-1,11.0,17.9,0.6,,,NW,74,22:56,12.0,94,,NW,31,1008.0,17.6,58,,NW,35,1005.6
,2024-09-2,6.9,14.6,2.0,,,W,89,00:59,9.9,68,,W,31,1016.8,13.7,46,,WSW,44,1022.2
,2024-09-3,3.6,18.7,0.2,,,NNW,24,14:48,8.9,99,,NW,9,1032.4,17.4,49,,NNW,11,1028.5
,2024-09-4,5.9,23.6,0,,,N,46,12:13,10.6,64,,N,9,1022.7,22.0,19,,NNW,22,1015.2
,2024-09-5,10.6,22.3,1.2,,,N,31,00:14,16.7,38,,NNW,11,1013.5,20.4,50,,NE,13,1011.6
,2024-09-6,11.9,17.0,0.4,,,W,48,13:11,16.4,64,,SW,22,1013.0,13.9,82,,WNW,20,1015.9
,2024-09-7,5.1,18.3,1.0,,,WSW,44,16:44,9.2,100,,NW,15,1025.8,17.1,44,,W,28,1023.4
,2024-09-8,5.3,18.3,0,,,W,69,17:02,10.8,92,,NW,22,1021.3,16.6,55,,W,43,1018.1
,2024-09-9,10.1,16.6,0.8,,,W,48,12:31,12.2,81,,WSW,22,1020.5,15.9,54,,WSW,24,1020.5
,2024-09-10,7.4,20.6,0,,,NW,31,13:22,11.9,72,,N,11,1024.9,19.7,44,,NW,17,1021.7
,2024-09-11,6.3,18.2,0.2,,,S,44,19:49,12.8,78,,SSW,11,1022.5,16.0,61,,SW,26,1022.3
,2024-09-12,2.2,16.7,0,,,S,48,10:56,10.4,70,,S,22,1032.6,16.4,47,,S,28,1030.7
,2024-09-13,2.2,17.1,0,,,W,35,13:35,10.1,76,,SW,17,1032.2,16.3,51,,SW,22,1029.4
,2024-09-14,6.5,15.2,0,,,S,57,10:24,10.6,69,,S,28,1031.1,12.2,42,,S,31,1030.7
,2024-09-15,-1.1,15.8,0,,,S,39,11:08,7.9,71,,SSE,20,1037.6,14.9,41,,S,20,1035.0
,2024-09-16,-0.4,15.7,0,,,SSW,39,12:36,8.6,67,,SSW,20,1035.8,14.5,49,,SSW,22,1032.7
,2024-09-17,2.2,16.8,0,,,WNW,35,14:06,8.0,67,,W,13,1030.3,16.0,39,,W,20,1024.9
,2024-09-18,2.7,20.5,0,,,W,59,12:46,11.1,49,,WNW,13,1016.8,19.5,21,,WNW,41,1012.5
,2024-09-19,7.0,16.7,0,,,W,65,14:24,12.5,72,,W,28,1012.0,15.0,50,,W,41,1011.6
,2024-09-20,6.4,16.6,0.4,,,WNW,69,13:59,10.9,99,,WNW,22,1012.0,16.2,60,,WNW,43,1008.5
,2024-09-21,8.9,18.3,2.0,,,WNW,56,15:48,12.1,81,,WNW,22,1012.4,17.7,44,,WNW,39,1011.3
,2024-09-22,8.9,20.0,0,,,WNW,52,13:15,12.5,82,,W,26,1016.7,18.5,50,,W,35,1015.8
,2024-09-23,5.9,19.2,0,,,WNW,44,10:32,12.8,83,,WNW,20,1019.6,18.2,52,,W,20,1018.3
,2024-09-24,5.1,23.6,0,,,SSW,20,15:11,14.5,63,,N,7,1015.4,23.3,31,,S,13,1010.4
,2024-09-25,12.3,18.6,0.2,,,SSW,44,16:20,13.1,96,,SSW,13,1012.7,12.1,81,,S,31,1013.9
,2024-09-26,1.3,16.9,1.6,,,SE,46,09:33,10.1,63,,S,22,1027.0,16.5,40,,S,24,1025.6
,2024-09-27,0.2,20.1,0.2,,,E,28,09:25,11.0,55,,E,15,1029.0,19.7,28,,NE,9,1025.0
,2024-09-28,7.2,23.7,0,,,N,46,11:31,14.8,45,,NNE,17,1023.6,22.6,23,,NNE,22,1017.2
,2024-09-29,11.9,19.2,6.2,,,W,50,12:24,13.3,95,,WNW,17,1018.4,18.4,36,,W,33,1017.9
,2024-09-30,5.4,20.5,0,,,WSW,39,13:06,13.0,86,,W,17,1024.9,19.2,44,,SW,22,1022.7
