"Daily Weather Observations for Nhill, Victoria for November 2024"
"Prepared at 05:37 UTC on Saturday 30 November 2024   IDCJDW3059.202411"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Nhill Aerodrome."
"Observations were drawn from Nhill Aerodrome {station 078015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-11-1,3.9,22.0,0,,,S,41,10:25,11.7,56,,SSE,22,1021.0,19.5,29,,ESE,11,1019.2
,2024-11-2,6.9,29.2,0,,,N,46,14:02,13.7,49,,NE,17,1018.5,26.4,14,,N,24,1011.7
,2024-11-3,13.4,24.5,0,,,WSW,65,12:04,15.8,58,,SW,35,1010.4,24.0,25,,W,28,1010.1
,2024-11-4,8.7,23.5,0,,,SSW,39,13:00,14.5,62,,W,13,1016.5,21.8,29,,WSW,22,1015.3
,2024-11-5,6.9,28.4,0,,,NW,59,15:54,16.4,53,,NE,15,1016.0,28.1,19,,NNW,19,1011.3
,2024-11-6,15.8,29.2,0.4,,,WSW,48,12:02,22.3,42,,NNW,13,1005.6,26.6,39,,SW,31,1005.9
,2024-11-7,9.8,22.0,0.2,,,W,56,15:39,14.7,63,,ESE,9,1011.3,16.4,63,,W,39,1009.8
,2024-11-8,7.1,21.4,0,,,W,59,11:05,13.8,65,,WNW,30,1013.0,18.8,29,,WSW,35,1015.2
,2024-11-9,3.3,21.0,0,,,NW,39,14:56,11.9,61,,ESE,2,1021.2,17.1,40,,WNW,19,1019.0
,2024-11-10,5.3,25.8,0,,,ESE,30,09:11,15.2,61,,SSE,17,1023.4,24.4,27,,N,9,1020.2
,2024-11-11,10.0,27.8,0,,,ESE,35,22:16,16.9,49,,ENE,20,1019.0,25.7,27,,NW,7,1016.6
,2024-11-12,16.2,28.4,0,,,ESE,37,19:06,18.2,55,,E,7,1014.9,25.8,32,,ENE,17,1011.0
,2024-11-13,13.2,24.1,0.6,,,SW,50,07:48,15.7,55,,SSW,35,1015.2,22.5,31,,SW,24,1015.0
,2024-11-14,5.5,24.2,0,,,SSE,46,14:24,13.7,53,,SSE,20,1020.7,21.6,26,,SSW,13,1018.2
,2024-11-15,5.1,27.9,0,,,E,33,06:50,14.6,52,,E,19,1020.5,24.7,21,,WNW,19,1016.5
,2024-11-16,14.5,35.2,0,,,N,46,10:59,23.7,20,,NNE,17,1013.1,35.2,8,,NNW,24,1007.8
,2024-11-17,11.8,21.1,1.8,,,W,70,15:20,11.9,85,,WSW,33,1008.6,20.4,29,,WSW,46,1009.7
,2024-11-18,9.9,22.7,1.6,,,SSW,44,11:43,14.2,63,,SW,22,1021.0,21.9,31,,SW,28,1020.5
,2024-11-19,4.5,24.1,0,,,SSE,35,22:47,13.3,54,,SSE,19,1025.8,22.4,28,,S,15,1022.6
,2024-11-20,4.7,28.4,0,,,SSE,31,23:27,13.9,55,,E,17,1023.7,25.5,19,,WSW,13,1021.1
,2024-11-21,9.9,34.0,0,,,E,26,08:08,20.8,37,,ENE,17,1021.0,32.0,10,,NNW,9,1018.1
,2024-11-22,18.5,37.3,0,,,NW,44,09:48,26.2,22,,NE,9,1018.5,35.1,15,,NNW,11,1015.8
,2024-11-23,23.2,33.0,0,,,NW,48,09:48,30.5,22,,NNW,22,1014.7,23.2,67,,W,17,1016.0
,2024-11-24,18.7,25.1,6.4,,,ESE,28,16:02,20.3,87,,E,6,1016.9,24.1,63,,N,4,1015.6
,2024-11-25,15.8,27.5,1.4,,,E,28,13:51,18.1,84,,SE,11,1013.7,25.1,57,,ESE,17,1010.1
,2024-11-26,16.7,31.4,0,,,WNW,107,21:58,19.0,100,,ENE,6,1008.9,28.9,43,,NNE,9,1004.9
,2024-11-27,16.1,24.5,15.0,,,WNW,56,15:31,16.1,93,,WNW,26,1003.4,22.8,41,,NW,35,1002.6
,2024-11-28,12.2,27.4,0.2,,,S,41,20:46,17.1,70,,SW,9,1013.8,25.0,37,,WNW,11,1013.5
,2024-11-29,12.2,31.5,0,,,ENE,35,07:22,21.4,61,,NE,20,1016.0,30.4,26,,NNW,13,1012.7
,2024-11-30,19.1,,0,,,,,,20.1,72,,WSW,19,1009.0,22.7,58,,WSW,26,1005.4
