"Daily Weather Observations for Nhill, Victoria for May 2025"
"Prepared at 13:01 UTC on Sunday 17 August 2025   IDCJDW3059.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Nhill Aerodrome."
"Observations were drawn from Nhill Aerodrome {station 078015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,6.0,18.1,0,,,ESE,35,11:00,10.1,88,,SSE,13,1032.9,17.4,38,,SE,13,1030.7
,2025-05-2,4.6,21.3,0,,,NW,28,12:20,10.7,71,,E,7,1034.0,20.7,29,,N,9,1030.7
,2025-05-3,7.9,22.5,0,,,NNW,35,12:42,12.6,53,,NE,15,1033.1,21.4,27,,N,17,1028.8
,2025-05-4,10.5,25.1,0,,,NNW,46,12:02,14.2,57,,NNE,13,1029.1,25.0,26,,NNW,22,1024.7
,2025-05-5,13.9,27.0,0,,,NNW,59,12:37,17.9,56,,NNW,20,1023.4,25.8,26,,NW,33,1018.4
,2025-05-6,10.4,23.9,0,,,NW,52,13:17,14.3,75,,NW,17,1018.9,23.0,39,,WNW,35,1015.5
,2025-05-7,12.3,18.5,0.6,,,WSW,56,14:20,14.6,93,,WNW,22,1018.4,17.5,50,,WSW,35,1020.1
,2025-05-8,3.7,17.6,1.4,,,SSW,28,13:06,8.4,80,,WSW,6,1031.2,16.5,47,,SSW,19,1030.4
,2025-05-9,3.0,19.0,0,,,S,17,16:01,8.4,91,, ,Calm,1033.9,18.2,43,,S,11,1030.7
,2025-05-10,5.9,21.5,0,,,ENE,28,09:23,11.0,76,,E,17,1031.5,21.4,33,,ENE,7,1027.3
,2025-05-11,7.9,24.1,0,,,NW,24,13:02,12.9,54,,ENE,9,1027.6,23.8,29,,NNW,9,1024.3
,2025-05-12,4.1,23.4,0,,,E,26,23:50,11.0,74,,S,7,1027.5,23.4,23,,SW,4,1025.1
,2025-05-13,8.4,23.6,0,,,NW,30,13:24,12.5,73,,NE,15,1025.9,23.4,28,,WNW,11,1022.4
,2025-05-14,4.2,20.6,0,,,SSW,31,17:21,9.9,99,,SW,7,1023.1,19.0,52,,W,19,1021.5
,2025-05-15,7.2,17.8,0,,,SW,26,16:31,8.8,99,,S,15,1024.9,16.5,52,,SSW,15,1022.5
,2025-05-16,3.3,16.5,0,,,W,26,14:57,7.2,97,,SW,2,1022.0,15.6,66,,W,19,1018.9
,2025-05-17,7.2,15.9,0.8,,,S,46,16:19,10.3,99,,SSW,20,1022.2,14.4,53,,SSW,30,1021.7
,2025-05-18,1.5,14.5,0,,,SSE,46,13:56,6.3,85,,S,17,1031.4,14.0,38,,S,24,1030.6
,2025-05-19,-0.5,15.1,0.2,,,ESE,33,11:14,4.7,88,,SSE,11,1034.1,14.6,35,,ESE,17,1031.3
,2025-05-20,2.3,18.4,0,,,NNW,26,13:26,6.2,61,,NE,6,1031.8,18.0,27,,NW,13,1028.4
,2025-05-21,-0.2,18.3,0,,,NW,20,13:00,7.4,56,,ENE,9,1029.5,17.9,29,,NNE,6,1025.8
,2025-05-22,0.1,17.1,0,,,SSE,31,13:20,4.3,67,,ESE,6,1025.5,16.5,28,,SSE,9,1020.9
,2025-05-23,3.9,20.4,0,,,SW,31,11:13,8.6,79,,SSE,9,1016.3,19.5,31,,W,20,1011.1
,2025-05-24,4.2,21.0,0,,,NNW,52,14:03,9.0,64,,NNW,17,1010.9,20.5,20,,NW,33,1008.1
,2025-05-25,5.2,20.6,0,,,N,41,15:32,8.7,87,,N,9,1014.4,19.9,36,,N,20,1009.1
,2025-05-26,8.7,19.7,0,,,WNW,69,14:43,13.1,44,,NNW,22,1004.7,11.5,87,,WNW,43,1001.2
,2025-05-27,6.7,16.0,4.8,,,SW,44,12:28,8.7,87,,W,28,1010.6,14.5,77,,SW,28,1015.5
,2025-05-28,8.4,15.9,0,,,SSW,44,12:07,10.3,82,,WSW,13,1025.2,15.3,55,,SSW,26,1023.6
,2025-05-29,6.5,18.8,0,,,S,37,14:04,8.4,88,,SSW,7,1026.1,18.4,38,,S,24,1023.8
,2025-05-30,2.4,17.1,0,,,S,26,00:01,4.7,98,,S,4,1028.9,16.7,53,,S,15,1027.4
,2025-05-31,-0.4,17.2,0.2,,,E,19,10:08,1.8,97,, ,Calm,1030.3,16.1,50,,NNE,6,1027.0
