"Daily Weather Observations for Portland, Victoria for December 2023"
"Prepared at 13:01 UTC on Monday 11 November 2024   IDCJDW3068.202312"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Portland, evaporation and sunshine measured at Mount Gambier."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Portland Airport {station 090171}"
"Evaporation and sunshine observations are from Mount Gambier Aero {station 026021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-12-1,12.7,17.7,1.0,,,ESE,39,08:52,14.0,100,8,ESE,20,1012.4,16.6,79,7,SE,26,1011.0
,2023-12-2,13.5,18.0,0.2,,,SE,33,01:46,15.0,73,8,SSE,17,1014.7,16.9,61,,S,19,1015.3
,2023-12-3,11.6,20.0,0,,,SE,33,15:41,15.5,83,8,ESE,13,1018.3,19.3,64,,E,17,1016.7
,2023-12-4,11.6,26.8,0.2,,,NW,41,09:46,19.7,66,,N,19,1013.2,22.9,43,,W,30,1012.6
,2023-12-5,14.0,20.9,0,,,W,44,14:19,15.7,82,7,NNW,11,1014.8,18.2,73,,W,26,1015.4
,2023-12-6,8.9,18.7,0,,,S,24,12:31,15.3,75,2,S,7,1020.2,17.8,59,,SSW,13,1019.7
,2023-12-7,6.5,24.6,0,,,SE,30,14:38,16.0,70,2,ESE,9,1019.2,22.3,49,,E,13,1016.4
,2023-12-8,11.9,32.0,0,,,WSW,54,11:03,24.6,55,,N,15,1005.3,21.5,57,5,WSW,20,1004.5
,2023-12-9,13.7,15.9,3.0,,,SE,43,20:28,14.0,100,8,S,17,1014.5,15.0,65,8,SSE,20,1019.9
,2023-12-10,12.4,15.3,1.4,,,SE,56,20:46,12.9,70,8,SE,19,1023.4,15.0,82,7,SE,28,1020.6
,2023-12-11,12.9,18.3,3.4,,,SE,54,23:50,14.3,100,7,ESE,22,1020.8,15.5,98,7,ESE,24,1018.2
,2023-12-12,14.2,25.9,0.6,,,E,43,23:31,18.0,100,8,E,31,1014.4,25.1,71,,E,19,1010.7
,2023-12-13,15.3,28.5,0.2,,,W,57,15:24,18.8,100,5,W,9,1006.9,26.5,39,4,W,11,1003.2
,2023-12-14,13.6,18.2,3.6,,,WNW,54,09:48,15.2,95,8,WNW,28,1006.4,17.2,91,8,W,26,1008.8
,2023-12-15,9.8,17.9,3.0,,,W,44,13:49,13.4,100,5,W,15,1011.5,17.4,72,4,W,31,1010.5
,2023-12-16,10.9,18.8,0.6,,,WNW,52,12:49,14.2,90,8,WNW,22,1008.6,14.5,93,8,W,30,1010.5
,2023-12-17,9.8,19.5,1.0,,,WSW,39,13:18,15.9,72,4,WNW,15,1015.2,18.5,64,,SW,24,1014.7
,2023-12-18,13.1,22.8,0.4,,,NW,46,12:56,15.2,95,7,E,9,1009.8,19.7,84,8,NW,20,1007.9
,2023-12-19,12.8,17.7,2.8,,,S,39,17:24,14.9,61,1,SSW,20,1018.0,16.5,52,2,SSW,22,1018.9
,2023-12-20,8.2,17.1,0,,,SE,43,18:26,14.0,57,8,SSE,20,1023.4,15.5,58,7,SSE,20,1023.1
,2023-12-21,12.5,19.3,0,,,SE,57,14:29,14.6,74,8,SE,24,1023.9,18.7,71,5,SE,33,1021.5
,2023-12-22,14.0,20.8,0,,,ESE,52,14:27,17.3,68,1,ESE,28,1020.6,20.3,49,,ESE,31,1017.6
,2023-12-23,12.8,20.7,0,,,SE,48,17:04,16.9,62,,E,26,1014.2,19.9,52,,ESE,26,1011.2
,2023-12-24,12.9,18.9,0,,,SE,52,16:40,16.1,75,8,SE,28,1009.6,15.7,73,8,SE,24,1009.7
,2023-12-25,13.6,16.5,5.4,,,SE,65,13:27,14.8,100,7,SE,35,1007.6,15.2,100,8,SE,31,1007.6
,2023-12-26,14.5,19.9,13.4,,,SSE,52,00:32,16.1,97,7,SE,28,1013.4,16.5,99,7,SE,26,1013.7
,2023-12-27,14.8,16.9,1.6,,,SE,31,00:10,15.5,100,8,SSE,13,1015.1,16.2,100,8,SSE,15,1015.0
,2023-12-28,13.0,19.0,1.8,,,W,30,10:11,14.9,80,7,SSW,13,1016.6,17.7,57,6,SSW,15,1016.2
,2023-12-29,9.5,17.9,0.2,,,SW,39,13:28,15.0,64,5,SSW,13,1016.8,17.2,55,8,SW,20,1016.4
,2023-12-30,11.7,18.5,1.2,,,WSW,50,03:50,13.3,96,5,SSW,11,1017.8,16.6,59,1,SSW,20,1019.5
,2023-12-31,10.5,17.9,0.2,,,SE,35,18:55,14.5,66,8,SSE,13,1024.0,17.3,64,8,SE,19,1023.0
