"Daily Weather Observations for Portland, Victoria for April 2024"
"Prepared at 16:01 UTC on Thursday  7 November 2024   IDCJDW3068.202404"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Portland, evaporation and sunshine measured at Mount Gambier."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Portland Airport {station 090171}"
"Evaporation and sunshine observations are from Mount Gambier Aero {station 026021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-04-1,14.2,23.4,0,,,WNW,52,11:58,14.8,99,6,NNE,13,1012.5,19.4,73,8,WNW,30,1011.1
,2024-04-2,13.1,17.2,1.4,,,WSW,54,14:34,15.0,90,8,WSW,24,1011.6,15.4,76,8,SW,28,1015.0
,2024-04-3,10.5,15.6,9.4,,,SSW,24,16:01,12.8,100,8,NW,6,1021.5,15.1,71,8,SE,9,1022.6
,2024-04-4,11.3,16.7,4.4,,,ESE,33,14:58,11.8,99,8,N,2,1028.5,15.7,53,8,SE,19,1027.9
,2024-04-5,9.6,18.5,0.6,,,SW,41,14:54,14.4,63,8,SE,15,1030.0,16.5,64,7,SSW,24,1027.4
,2024-04-6,9.3,20.2,0,,,E,28,09:51,14.2,100,1,SE,6,1022.0,19.1,69,8,SE,13,1017.7
,2024-04-7,14.2,16.8,0.4,,,S,30,07:31,15.2,100,7,S,15,1015.5,15.7,75,8,SW,19,1014.4
,2024-04-8,8.3,17.6,1.8,,,WNW,43,04:23,14.4,100,8,NW,17,1011.9,13.1,99,8,SW,13,1012.2
,2024-04-9,9.9,15.6,3.6,,,SSW,39,01:27,13.5,58,8,SSW,19,1020.7,14.0,61,8,SW,13,1021.6
,2024-04-10,12.2,18.2,0.6,,,SW,35,10:16,14.9,71,7,SW,17,1023.8,14.9,85,7,WSW,20,1023.2
,2024-04-11,11.4,15.9,0.8,,,SW,24,11:24,13.1,87,8,SW,13,1025.1,14.8,65,8,S,13,1024.5
,2024-04-12,8.5,16.8,0.6,,,WSW,35,11:43,13.2,100,3,NNW,6,1024.0,16.2,69,8,W,22,1022.2
,2024-04-13,10.2,17.6,0.8,,,SW,28,12:23,13.2,100,8,N,9,1024.5,16.7,68,8,W,19,1023.3
,2024-04-14,10.7,19.1,0,,,,37,12:33,14.7,76,7,NNW,13,1024.0,16.8,66,7,WNW,19,1023.0
,2024-04-15,8.3,18.6,1.8,,,SW,28,15:35,14.3,100,8,WNW,11,1025.0,17.3,70,6,SW,17,1023.9
,2024-04-16,9.2,18.5,0.8,,,WSW,22,14:09,13.5,100,7,NNW,4,1026.6,16.6,68,8,SW,17,1024.6
,2024-04-17,11.4,16.7,11.2,,,SSE,26,14:23,12.4,100,7,SSE,13,1029.0,15.8,66,1,S,15,1026.9
,2024-04-18,9.4,16.5,0,,,W,54,13:53,13.1,87,8,WNW,22,1023.5,13.5,98,8,W,30,1019.7
,2024-04-19,11.4,17.3,8.0,,,SSE,39,10:32,13.4,84,8,SE,20,1024.6,16.5,60,8,E,19,1026.4
,2024-04-20,11.7,16.0,0.2,,,SE,20,00:31,13.1,67,8,SE,7,1032.6,14.5,61,7,SSE,13,1031.4
,2024-04-21,5.4,17.2,0,,,WSW,22,14:09,13.5,73,8,SW,7,1032.1,16.3,57,,WSW,13,1029.9
,2024-04-22,3.4,19.3,0,,,NW,30,11:01,11.7,100,,NNW,9,1027.0,18.6,55,,NNW,17,1023.2
,2024-04-23,7.0,22.8,0.2,,,W,52,14:31,16.4,46,,N,20,1016.4,18.3,56,7,WNW,35,1012.4
,2024-04-24,9.6,15.9,11.2,,,WSW,43,12:31,13.3,59,1,SSW,17,1024.7,13.1,66,8,WSW,26,1025.3
,2024-04-25,10.3,15.4,2.2,,,WSW,35,08:33,11.7,87,8,SSW,17,1026.9,13.6,71,4,SSW,13,1026.9
,2024-04-26,8.1,15.7,0.4,,,SSW,24,04:25,12.3,69,8,S,6,1028.3,14.8,54,8,WSW,19,1027.1
,2024-04-27,10.6,14.9,0,,,WNW,24,12:54,11.9,71,8,NNW,9,1027.4,13.3,59,3,N,13,1025.4
,2024-04-28,6.2,20.4,0,,,NW,41,12:39,10.1,73,2,N,15,1021.9,20.1,35,2,WNW,28,1017.7
,2024-04-29,8.8,15.9,6.4,,,NW,41,00:39,12.7,74,8,WSW,9,1024.8,13.7,59,8,S,17,1026.7
,2024-04-30,10.4,14.9,0,,,SE,33,19:25,12.1,58,8,SE,17,1034.0,14.2,65,4,SSE,20,1033.0
