"Daily Weather Observations for Portland, Victoria for June 2024"
"Prepared at 13:01 UTC on Tuesday  5 November 2024   IDCJDW3068.202406"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Portland, evaporation and sunshine measured at Mount Gambier."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Portland Airport {station 090171}"
"Evaporation and sunshine observations are from Mount Gambier Aero {station 026021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-06-1,5.2,13.8,1.8,,,SSW,20,01:09,9.1,100,2, ,Calm,1026.5,12.3,66,6,SSW,11,1027.4
,2024-06-2,4.2,12.6,0.2,,,SE,22,12:54,10.7,71,8,S,6,1029.3,12.3,60,8,SE,11,1026.0
,2024-06-3,5.7,12.7,0.2,,,WNW,17,17:39,9.1,94,8, ,Calm,1019.0,12.1,63,8,ENE,7,1014.7
,2024-06-4,4.8,11.8,0,,,NNW,50,00:34,6.0,95,7,N,9,1018.0,10.9,72,6,WNW,9,1016.9
,2024-06-5,3.1,14.9,0,,,WSW,17,10:32,7.8,92,8,N,6,1023.5,14.2,72,8,S,9,1024.5
,2024-06-6,3.6,16.2,0,,,SE,26,10:15,11.9,100,,SE,11,1028.1,14.6,81,8,SE,17,1027.3
,2024-06-7,5.6,14.6,0.2,,,,,,10.8,100,8,ESE,7,1025.9,13.4,67,,E,11,1022.8
,2024-06-8,9.9,15.5,0,,,SW,50,06:37,10.8,82,8,NNW,9,1019.6,14.7,70,1,WNW,17,1016.6
,2024-06-9,5.8,14.6,5.8,,,SSW,28,00:39,10.2,97,8,WNW,7,1020.1,12.7,74,5,SW,9,1020.0
,2024-06-10,3.0,16.1,4.2,,,NNW,54,23:20,4.0,100,,NNE,11,1022.4,13.3,79,8,N,15,1016.9
,2024-06-11,4.0,16.2,1.8,,,WNW,80,12:33,14.0,87,8,NW,30,1007.6,14.5,73,8,WNW,39,1007.3
,2024-06-12,9.4,12.2,5.2,,,WSW,61,01:36,11.1,64,8,SSW,17,1018.9,11.2,73,8,SW,13,1021.5
,2024-06-13,8.1,11.7,0.2,,,NE,15,05:16,8.5,99,8,N,7,1023.4,11.5,70,7,N,4,1021.5
,2024-06-14,4.6,11.9,0,,,ESE,30,13:52,7.8,95,8,E,7,1020.1,11.6,74,8,E,17,1017.8
,2024-06-15,4.1,14.5,0,,,E,37,10:56,11.0,88,8,ENE,13,1023.7,13.0,69,5,ESE,17,1023.2
,2024-06-16,8.2,13.9,0,,,SSE,28,14:36,10.7,73,8,SE,6,1025.6,12.2,60,6,SSE,15,1025.0
,2024-06-17,9.1,13.6,0.2,,,SE,24,01:22,10.5,70,8,SSE,7,1024.8,12.9,56,6,ESE,6,1022.5
,2024-06-18,4.8,13.1,0,,,ENE,20,13:02,7.9,75,8,NNW,7,1021.3,12.7,51,7,E,13,1018.3
,2024-06-19,1.3,12.6,0.2,,,NE,24,15:28,4.1,89,7,NNE,7,1016.7,11.7,67,8,NE,11,1013.6
,2024-06-20,4.1,11.4,0.4,,,E,17,00:01,8.2,88,8,ENE,9,1015.7,10.8,80,8,E,7,1016.3
,2024-06-21,2.5,13.9,1.6,,,S,24,14:21,9.6,82,8,S,7,1024.4,13.0,59,3,S,13,1025.5
,2024-06-22,3.9,12.2,0.4,,,SSW,46,11:19,9.7,83,8, ,Calm,1031.9,11.7,61,8,SW,7,1030.3
,2024-06-23,1.9,13.4,0,,,NNE,26,13:24,5.0,99,, ,Calm,1026.4,12.3,56,1,N,17,1021.6
,2024-06-24,2.3,14.9,0.2,,,N,46,12:44,7.2,83,5,N,15,1012.7,13.7,51,8,N,20,1008.6
,2024-06-25,5.9,14.3,0,,,NNW,44,22:42,7.9,92,,NNE,11,1010.8,13.1,62,8,N,19,1008.6
,2024-06-26,6.4,13.6,3.0,,,NNW,43,03:23,7.6,95,1,NNW,20,1011.6,12.7,66,,NNW,24,1011.7
,2024-06-27,6.9,14.3,2.0,,,WNW,41,13:40,8.5,99,8,NNW,17,1019.0,13.2,69,1,WNW,20,1019.0
,2024-06-28,6.4,14.9,0,,,N,59,19:32,9.4,87,7,NNE,17,1016.6,13.6,58,8,NNW,26,1012.3
,2024-06-29,8.6,12.4,22.0,,,NNW,52,00:41,10.1,71,8,SW,20,1013.2,10.1,81,8,SSW,15,1015.0
,2024-06-30,7.6,12.6,1.8,,,S,35,02:32,9.6,66,8,S,15,1024.2,11.2,65,8,SSE,19,1024.8
