"Daily Weather Observations for Portland, Victoria for September 2024"
"Prepared at 16:01 UTC on Saturday 16 November 2024   IDCJDW3068.202409"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Portland, evaporation and sunshine measured at Mount Gambier."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Portland Airport {station 090171}"
"Evaporation and sunshine observations are from Mount Gambier Aero {station 026021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-09-1,11.6,16.3,7.4,,,NW,94,21:37,13.4,87,7,NW,39,1000.9,14.7,88,8,NW,31,999.6
,2024-09-2,6.7,12.8,18.2,,,W,120,05:24,10.7,54,8,WSW,57,1011.4,12.2,60,8,WSW,48,1018.4
,2024-09-3,7.2,15.2,1.6,,,NW,35,12:02,12.3,71,,WNW,15,1030.6,14.5,66,7,WNW,17,1028.3
,2024-09-4,5.7,19.2,0,,,NNW,52,10:01,13.0,53,6,N,30,1018.6,16.4,48,8,N,20,1013.4
,2024-09-5,11.9,17.4,1.4,,,NNW,52,01:55,17.0,50,6,NW,19,1009.3,14.9,80,7,N,20,1009.4
,2024-09-6,14.1,14.9,18.6,,,NW,54,08:11,14.8,99,8,NW,28,1009.8,13.3,84,8,W,26,1013.5
,2024-09-7,7.1,15.6,2.0,,,NW,50,10:57,12.1,86,1,NNW,19,1022.3,15.2,71,,WNW,31,1021.4
,2024-09-8,8.9,14.8,2.6,,,WNW,76,14:38,12.7,86,8,NW,33,1015.5,11.9,90,8,W,43,1014.0
,2024-09-9,10.1,14.4,8.6,,,W,56,13:01,11.4,86,7,W,26,1017.9,13.6,69,8,W,31,1018.7
,2024-09-10,9.4,15.9,1.6,,,NW,43,11:02,11.9,99,8,NNW,17,1022.5,15.1,67,7,WNW,19,1021.1
,2024-09-11,7.8,13.2,0,,,SSE,39,10:50,12.3,100,8,NW,13,1022.2,11.6,92,8,SSE,17,1025.1
,2024-09-12,9.4,13.3,14.0,,,W,33,16:29,11.5,69,8,SW,13,1033.4,12.7,70,8,WSW,19,1032.2
,2024-09-13,10.5,14.0,0.2,,,W,46,15:50,11.2,96,8,W,19,1030.8,12.3,75,8,WNW,24,1029.2
,2024-09-14,8.9,12.1,2.0,,,SE,48,14:42,9.8,59,4,SSW,24,1032.3,8.4,75,8,SE,22,1033.7
,2024-09-15,7.0,12.6,0.8,,,SSE,35,02:04,10.0,58,8,SSE,13,1039.0,11.1,59,8,SSE,11,1037.8
,2024-09-16,8.3,13.2,0,,,W,39,12:26,10.9,69,8,SW,17,1034.6,11.1,87,8,W,28,1033.2
,2024-09-17,8.7,,1.0,,,,,,10.0,71,7,WNW,20,1028.0,12.6,59,,W,33,1022.7
,2024-09-18,8.7,16.5,,,,WNW,74,14:39,13.3,75,,NW,37,1011.8,15.1,65,7,WNW,50,1009.0
,2024-09-19,8.6,14.4,5.4,,,WSW,78,13:14,11.3,70,8,W,43,1008.3,12.1,80,8,W,48,1008.2
,2024-09-20,9.3,14.3,4.6,,,W,80,14:14,11.4,90,8,WNW,28,1008.0,12.8,83,8,W,43,1005.0
,2024-09-21,8.9,14.4,7.0,,,W,63,06:03,11.8,69,8,W,33,1009.1,12.2,88,8,WNW,31,1009.0
,2024-09-22,10.5,15.7,4.6,,,WNW,61,16:17,13.0,82,7,WNW,31,1013.2,15.0,73,4,WNW,35,1013.5
,2024-09-23,11.2,15.0,1.2,,,W,48,10:08,13.3,99,7,WNW,28,1016.4,14.2,82,8,WSW,17,1017.8
,2024-09-24,9.4,18.1,1.2,,,NW,39,13:24,12.1,100,8,NNW,11,1015.2,17.3,65,8,NW,19,1011.1
,2024-09-25,9.5,12.0,2.4,,,SSE,37,16:16,10.0,89,8,S,7,1014.4,11.6,72,7,S,19,1016.2
,2024-09-26,8.3,13.1,0.8,,,SSW,30,04:27,10.6,68,8,S,13,1028.5,11.7,56,8,SSW,15,1028.6
,2024-09-27,0.2,15.2,0,,,E,28,17:28,11.1,70,,NE,11,1029.2,14.7,62,,E,17,1026.2
,2024-09-28,2.2,21.0,0,,,N,50,10:44,14.0,61,,N,20,1022.2,20.0,40,,N,20,1016.3
,2024-09-29,12.2,15.8,6.6,,,WNW,59,10:46,13.9,76,3,WNW,33,1015.2,14.6,62,2,WNW,41,1016.6
,2024-09-30,9.7,16.6,1.2,,,WNW,52,14:02,13.5,75,8,W,24,1022.8,15.6,79,8,WNW,31,1022.0
