"Daily Weather Observations for Portland, Victoria for October 2024"
"Prepared at 13:01 UTC on Sunday 10 August 2025   IDCJDW3068.202410"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Portland, evaporation and sunshine measured at Mount Gambier."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Portland Airport {station 090171}"
"Evaporation and sunshine observations are from Mount Gambier Aero {station 026021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-10-1,11.1,15.9,2.2,,,WSW,43,08:50,13.7,76,2,W,31,1025.5,15.3,69,1,W,20,1026.5
,2024-10-2,4.3,16.6,0.2,,,E,30,10:59,13.3,99,,E,13,1030.3,15.7,67,,E,20,1027.8
,2024-10-3,4.5,25.8,0,,,N,50,15:52,15.1,80,,NNE,11,1022.8,25.1,34,,NNE,24,1015.6
,2024-10-4,14.1,19.4,4.2,,,WNW,56,13:26,17.7,80,3,NNW,26,1007.1,16.8,69,3,W,37,1006.3
,2024-10-5,10.7,15.2,3.4,,,W,52,15:32,12.1,89,8,W,22,1005.1,13.5,67,8,WNW,35,1004.6
,2024-10-6,10.8,16.8,5.8,,,W,72,00:48,13.3,78,8,W,39,1008.8,16.6,64,,WNW,35,1011.3
,2024-10-7,10.2,14.9,9.0,,,WNW,65,02:32,11.1,93,8,W,28,1015.0,13.1,64,8,SSW,20,1019.8
,2024-10-8,5.5,14.0,0,,,SSE,30,10:26,11.3,57,1,S,9,1028.5,12.3,55,7,SSW,15,1028.4
,2024-10-9,1.5,19.9,0,,,ENE,30,09:48,7.9,82,,NNE,13,1026.7,18.0,49,,NE,13,1021.2
,2024-10-10,7.6,15.7,0,,,NW,67,02:53,13.3,65,,WSW,24,1021.5,14.4,58,8,WSW,26,1024.1
,2024-10-11,8.7,15.6,0,,,W,43,12:55,12.4,69,7,WSW,19,1026.8,14.6,67,8,WSW,26,1027.8
,2024-10-12,6.7,16.1,0.4,,,E,33,09:23,12.1,65,0,ESE,15,1030.2,15.5,62,,ESE,17,1027.3
,2024-10-13,5.4,21.4,0.2,,,W,39,15:58,13.2,62,1,N,17,1018.9,20.8,36,7,NNW,24,1016.0
,2024-10-14,9.7,16.1,0,,,ESE,41,10:09,13.4,95,8,SE,26,1020.3,15.7,75,8,ESE,22,1020.0
,2024-10-15,11.7,20.2,0,,,E,46,02:24,13.7,88,5,ENE,19,1017.2,17.8,84,7,E,15,1016.1
,2024-10-16,12.2,24.8,0.4,,,,,,18.5,82,,NNE,19,1014.6,19.7,73,,S,9,1013.4
,2024-10-17,15.1,25.7,,,,,,,19.6,75,8,NNE,19,1008.8,23.3,65,8,N,17,1006.0
,2024-10-18,14.4,14.6,,,,SW,56,15:37,14.4,100,8,S,15,999.2,13.5,100,8,SW,30,1004.2
,2024-10-19,10.3,17.3,16.2,,,SW,33,23:11,12.6,82,8,SW,15,1019.1,15.8,66,7,WSW,19,1020.9
,2024-10-20,7.3,18.7,0.2,,,ESE,28,13:10,14.4,100,4,SE,6,1025.3,18.2,53,3,E,19,1025.1
,2024-10-21,10.5,24.0,0,,,E,39,04:26,13.5,97,,ENE,20,1020.5,23.0,58,,W,13,1016.2
,2024-10-22,12.5,17.6,0.2,,,W,50,04:53,17.5,78,,SSW,11,1012.2,14.4,70,8,SSW,19,1015.4
,2024-10-23,6.5,16.6,0,,,W,63,13:57,13.0,75,1,WNW,20,1013.1,15.3,64,4,WNW,43,1010.2
,2024-10-24,9.1,15.4,3.2,,,SW,54,15:44,12.0,58,7,WSW,20,1017.0,14.3,63,8,WSW,31,1017.2
,2024-10-25,8.6,14.8,1.6,,,SW,31,00:33,12.1,55,4,S,9,1022.7,13.8,52,,S,13,1022.4
,2024-10-26,3.0,20.5,0.2,,,WNW,26,11:28,10.7,82,,N,13,1019.5,19.9,48,1,SW,11,1016.0
,2024-10-27,9.8,17.6,0,,,W,41,14:46,15.2,91,8,WSW,17,1016.4,15.5,79,8,W,30,1017.9
,2024-10-28,8.2,16.2,0,,,SW,37,12:17,13.5,64,2,SW,13,1024.7,14.3,59,7,SSW,17,1026.3
,2024-10-29,7.7,16.0,0,,,WSW,33,13:29,13.1,74,8,WSW,19,1027.8,14.6,69,8,WSW,20,1026.6
,2024-10-30,11.5,16.2,0,,,W,41,14:42,12.8,82,8,W,13,1020.4,15.4,70,8,W,28,1017.8
,2024-10-31,10.3,15.8,1.2,,,WSW,37,23:14,12.2,91,8,SW,22,1015.7,14.9,61,7,SSW,17,1017.5
