"Daily Weather Observations for Portland, Victoria for January 2025"
"Prepared at 16:01 UTC on Thursday  7 August 2025   IDCJDW3068.202501"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Portland, evaporation and sunshine measured at Mount Gambier."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Portland Airport {station 090171}"
"Evaporation and sunshine observations are from Mount Gambier Aero {station 026021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-01-1,5.0,19.8,0,,,WSW,43,13:48,15.8,68,8,SW,15,1018.4,18.1,81,8,SW,19,1019.2
,2025-01-2,9.1,19.2,0.2,,,SE,35,17:01,15.9,51,3,SSE,13,1024.7,18.4,49,,SSE,19,1023.9
,2025-01-3,9.0,24.3,0,,,E,37,07:57,15.8,69,,E,24,1019.5,22.8,48,,E,17,1015.1
,2025-01-4,12.8,32.5,0,,,WSW,37,13:34,22.0,60,3, ,Calm,1010.9,30.0,26,8,SW,19,1009.8
,2025-01-5,16.0,31.9,0,,,WSW,43,14:22,27.9,23,6,,,1010.6,25.4,39,7,W,11,1009.5
,2025-01-6,14.2,19.3,2.8,,,SSE,41,13:34,15.3,76,8,S,19,1019.8,17.0,50,4,SSE,24,1022.5
,2025-01-7,13.5,19.2,0,,,SE,48,16:15,15.8,60,8,SE,24,1025.8,18.1,70,8,SE,26,1024.2
,2025-01-8,13.7,28.2,0,,,E,44,23:24,16.7,70,,ENE,15,1018.1,24.6,50,1,SSW,15,1015.0
,2025-01-9,15.2,24.8,0,,,SSW,28,16:40,18.6,100,8,WSW,9,1013.7,24.6,49,8,E,17,1013.1
,2025-01-10,13.2,29.6,0,,,E,35,17:47,21.8,100,,E,11,1015.9,27.8,45,,SE,22,1014.4
,2025-01-11,16.7,30.7,0,,,E,31,23:05,20.5,100,,E,15,1011.3,29.6,21,,S,15,1008.8
,2025-01-12,16.0,26.0,0,,,SE,30,07:18,18.3,99,8,SSE,19,1009.8,25.0,46,,SSE,20,1008.4
,2025-01-13,17.0,25.0,0,,,SE,31,09:57,18.9,78,8,E,15,1009.2,23.7,56,,E,17,1007.8
,2025-01-14,16.6,25.8,0,,,E,44,17:52,19.2,77,2,E,24,1009.3,23.9,57,,E,24,1005.7
,2025-01-15,16.6,20.9,0,,,WSW,59,14:44,17.9,87,8,W,20,1000.5,20.2,54,7,WSW,37,1003.4
,2025-01-16,10.6,21.6,0.8,,,W,43,14:44,15.3,84,8,WSW,13,1012.5,20.0,59,8,W,28,1014.4
,2025-01-17,15.3,22.2,0,,,SE,41,13:41,18.3,92,8,SE,15,1020.6,20.3,58,1,ESE,22,1021.8
,2025-01-18,14.1,26.5,0,,,E,50,07:40,18.0,70,,E,30,1021.2,25.5,41,,ESE,20,1018.7
,2025-01-19,13.5,34.9,0,,,WSW,39,13:32,19.4,87,,NE,13,1016.2,30.6,23,,SW,22,1014.4
,2025-01-20,14.0,26.7,0,,,SW,31,13:55,19.8,94,7,NE,11,1011.3,21.5,73,8,SSW,22,1010.7
,2025-01-21,17.8,22.9,0,,,SSW,35,16:07,18.9,80,8,SSE,13,1010.4,20.4,68,8,S,19,1009.5
,2025-01-22,15.2,21.4,0,,,SE,43,11:57,17.9,69,8,SSE,17,1014.8,20.0,45,1,S,22,1016.5
,2025-01-23,13.4,17.6,0,,,SE,31,13:56,15.5,62,8,SE,17,1011.8,15.3,75,8,SE,22,1011.7
,2025-01-24,9.1,22.1,0.4,,,W,44,13:56,17.1,66,7,W,19,1013.9,20.7,61,8,W,30,1013.8
,2025-01-25,12.0,22.4,0,,,WSW,39,15:14,17.5,69,8,WNW,11,1014.1,20.8,59,7,WSW,22,1014.9
,2025-01-26,14.2,28.7,0,,,E,39,12:27,18.5,68,7,ESE,19,1016.1,20.7,58,7,ESE,20,1013.0
,2025-01-27,15.9,36.1,0,,,W,63,11:58,28.7,33,,N,26,1001.9,22.1,70,2,WSW,39,1003.0
,2025-01-28,14.8,21.2,0,,,SW,44,08:42,18.1,54,1,SW,19,1016.6,18.7,60,8,S,17,1019.5
,2025-01-29,14.6,20.1,0,,,S,35,13:42,15.8,51,8,SSE,13,1020.9,18.4,46,8,SSE,17,1020.1
,2025-01-30,14.1,20.9,0,,,SSW,30,15:54,16.5,52,8,SSW,11,1017.4,20.1,45,7,SSW,17,1017.8
,2025-01-31,8.6,21.7,0,,,S,31,12:43,18.1,61,8,S,11,1020.1,21.2,49,1,S,17,1020.2
