"Daily Weather Observations for Portland, Victoria for May 2025"
"Prepared at 13:01 UTC on Sunday 17 August 2025   IDCJDW3068.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Portland, evaporation and sunshine measured at Mount Gambier."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Portland Airport {station 090171}"
"Evaporation and sunshine observations are from Mount Gambier Aero {station 026021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,9.8,16.8,0,,,SSE,20,01:33,13.0,77,8,E,6,1034.6,15.5,52,8,ESE,13,1032.3
,2025-05-2,4.5,19.2,0,,,N,28,12:18,10.1,100,,N,11,1033.3,17.8,45,,W,13,1030.8
,2025-05-3,6.6,21.8,0,,,N,46,12:00,12.1,64,,N,15,1031.4,21.8,29,,N,20,1027.1
,2025-05-4,8.9,24.7,0.2,,,N,50,10:36,17.3,49,,N,26,1026.2,23.7,31,1,NNW,24,1022.3
,2025-05-5,12.8,26.0,0,,,NW,63,15:46,19.3,46,,NNW,28,1019.6,25.0,26,3,NW,37,1014.4
,2025-05-6,14.7,20.2,0,,,WNW,59,14:09,16.0,99,8,NNW,24,1014.8,18.6,72,7,NW,39,1012.3
,2025-05-7,12.7,16.4,5.4,,,WSW,63,11:01,14.2,91,8,W,33,1015.4,13.3,73,8,W,39,1018.5
,2025-05-8,10.4,16.8,0.8,,,WSW,37,00:18,13.4,62,2,WSW,19,1029.6,13.8,70,8,W,28,1030.0
,2025-05-9,11.2,15.9,0,,,WNW,28,10:37,12.5,75,8,NNW,11,1033.3,15.0,66,8,WNW,15,1031.4
,2025-05-10,6.5,18.6,0,,,N,22,05:47,11.4,99,,N,9,1031.9,18.1,52,,NNW,9,1027.8
,2025-05-11,7.0,21.4,0.2,,,NNW,31,12:41,11.6,81,,N,13,1026.2,19.6,45,,W,19,1024.0
,2025-05-12,6.9,19.2,0.2,,,,24,11:39,12.5,100,,N,6,1027.4,17.5,78,8,W,13,1026.4
,2025-05-13,8.3,20.9,0.2,,,WNW,22,13:35,11.8,100,8,NE,9,1025.2,20.8,46,,NW,13,1022.0
,2025-05-14,7.8,18.3,0.2,,,,24,11:28,13.7,100,1, ,Calm,1022.6,17.5,65,1,WSW,15,1021.6
,2025-05-15,10.0,17.4,0.4,,,,30,12:47,13.0,95,8,NW,4,1024.6,15.5,77,8,WNW,20,1022.6
,2025-05-16,9.6,16.8,1.2,,,WSW,37,11:09,12.0,100,8,NNW,13,1020.6,15.1,79,8,W,17,1018.3
,2025-05-17,9.1,13.6,4.2,,,SSE,41,11:52,10.9,73,8,S,9,1023.2,12.6,58,8,,,1024.3
,2025-05-18,5.1,13.8,2.4,,,S,30,00:06,9.6,67,5,ESE,13,1032.5,11.7,57,8,SE,9,1032.7
,2025-05-19,6.9,14.1,0,,,WSW,15,12:34,10.0,76,8,N,7,1034.1,13.2,53,8,SE,6,1032.7
,2025-05-20,1.8,16.3,0,,,,,,5.1,91,,N,13,1031.0,15.8,44,,NW,20,1028.1
,2025-05-21,1.0,18.1,0,,,W,24,14:08,8.5,69,,NNW,9,1029.3,15.7,48,,WSW,19,1026.6
,2025-05-22,3.2,16.0,0.2,,,SE,31,12:33,9.7,85,,N,2,1026.8,14.7,50,,E,17,1023.2
,2025-05-23,5.9,18.6,0,,,,,,10.2,100,, ,Calm,1016.5,16.4,74,3,W,11,1011.5
,2025-05-24,7.2,17.4,0,,,NW,65,19:29,10.2,100,8,N,20,1007.6,16.5,58,6,,,1004.9
,2025-05-25,6.3,17.0,7.2,,,N,41,11:12,8.4,100,,N,13,1012.0,16.5,47,,NNE,26,1007.3
,2025-05-26,7.5,13.9,2.4,,,NW,67,17:11,12.6,82,8,N,24,1000.4,11.2,89,8,N,24,995.8
,2025-05-27,7.4,15.2,21.0,,,WSW,57,00:56,10.6,99,8,SW,9,1008.2,14.3,68,8,SW,22,1015.4
,2025-05-28,10.6,14.7,1.0,,,SW,35,06:01,12.9,68,8,SW,17,1025.2,13.7,75,8,SSW,15,1024.9
,2025-05-29,10.6,16.2,0,,,SSW,26,13:26,13.1,87,3,SSW,7,1026.9,15.4,70,,SSW,11,1025.9
,2025-05-30,11.9,14.2,0.2,,,SW,20,09:56,12.5,78,8, ,Calm,1029.6,13.5,70,8,SSW,11,1028.8
,2025-05-31,9.5,16.3,0,,,E,17,16:15,10.5,91,7, ,Calm,1030.0,15.2,65,,WSW,6,1027.2
