"Daily Weather Observations for Watsonia, Victoria for May 2024"
"Prepared at 13:01 UTC on Wednesday  6 November 2024   IDCJDW3079.202405"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Viewbank, other observations taken from Melbourne Airport."
"This same data is also available under the location name "Viewbank". Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Viewbank {station 086068}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-05-1,4.2,18.4,0,2.2,9.4,SE,22,16:18,7.9,100,1,SSE,7,1033.1,17.8,51,2,S,7,1030.7
,2024-05-2,4.7,17.7,0,1.6,5.7,S,13,13:01,9.4,100,7,ENE,2,1033.3,17.1,60,1,SW,6,1030.4
,2024-05-3,3.5,18.6,0,1.0,9.1,ESE,13,11:55,7.1,100,3,W,4,1030.9,18.2,59,6,ESE,6,1027.2
,2024-05-4,3.1,15.6,0,2.0,3.1,ENE,13,12:25,7.5,100,7, ,Calm,1027.1,14.7,74,7,ENE,2,1024.6
,2024-05-5,5.9,19.5,0,1.0,3.3,S,26,15:15,10.5,100,7,E,2,1027.1,18.7,62,2,SE,7,1026.0
,2024-05-6,9.0,19.4,0,1.2,6.6,S,43,07:50,10.3,100,7, ,Calm,1033.1,19.1,62,2,S,7,1030.1
,2024-05-7,7.2,18.6,0,2.2,9.2,SSW,19,14:08,11.9,99,1,NW,2,1033.2,17.5,64,1,SW,9,1030.3
,2024-05-8,9.4,20.3,0,2.0,6.9,ENE,13,07:54,12.1,100,7,ENE,6,1033.0,20.0,58,2,SW,2,1029.6
,2024-05-9,8.9,17.6,0,2.4,0.3,NW,17,22:04,11.0,100,7, ,Calm,1031.9,16.8,79,7,S,4,1029.8
,2024-05-10,10.9,17.1,17.0,0.2,0.1,W,9,00:14,13.4,100,8, ,Calm,1030.3,16.5,95,8, ,Calm,1028.2
,2024-05-11,12.7,19.4,1.8,0.0,3.0,E,20,13:33,13.5,,8,NE,6,1028.3,18.2,70,7,S,7,1025.8
,2024-05-12,5.5,21.6,0.2,2.8,9.6,WSW,13,17:26,8.4,100,1, ,Calm,1025.1,20.4,54,1, ,Calm,1021.7
,2024-05-13,6.6,21.1,0,2.4,7.8,W,26,21:25,9.8,100,1,SW,7,1023.0,19.1,64,4,SW,9,1021.4
,2024-05-14,9.8,16.7,0,2.6,3.8,WNW,20,04:58,13.2,67,7,W,7,1028.5,15.2,58,5,SW,9,1028.3
,2024-05-15,3.8,18.5,0,1.6,8.1,SW,19,16:04,7.0,100,5,ENE,4,1030.2,17.8,56,2,SSW,6,1027.9
,2024-05-16,3.4,19.5,,2.0,9.2,,,,6.2,100,1,NE,6,1030.0,17.9,54,1,SSW,7,1027.2
,2024-05-17,4.3,15.8,0,2.2,1.4,SSW,41,14:49,7.9,100,5,WNW,6,1027.3,11.7,100,7,SSW,19,1026.3
,2024-05-18,5.4,14.5,1.6,1.6,9.3,ESE,28,10:53,7.9,77,2,SSE,2,1032.4,13.3,44,1,SSW,9,1030.7
,2024-05-19,3.7,14.7,0,1.8,0.2,W,28,11:50,8.9,97,7,NW,2,1025.4,13.4,100,7,W,9,1022.5
,2024-05-20,8.9,14.8,4.6,0.6,0.7,SW,28,15:15,10.7,100,7,W,6,1027.3,14.7,75,7,WSW,11,1027.2
,2024-05-21,6.9,13.9,0.2,2.0,0.4,S,22,15:32,7.8,100,8, ,Calm,1030.8,13.1,69,6,SSW,7,1029.1
,2024-05-22,1.7,15.9,0,0.4,5.6,SSW,17,14:49,4.7,100,1,ENE,7,1029.0,15.4,62,5,SSW,9,1026.4
,2024-05-23,4.7,16.5,1.2,0.6,4.8,SSE,15,13:38,8.7,100,7,ESE,7,1029.2,14.8,69,7,SSW,7,1027.2
,2024-05-24,2.7,13.4,0,1.0,0.0,S,17,15:39,6.3,100,7,ENE,7,1029.0,13.1,94,7,SSW,9,1027.1
,2024-05-25,6.2,17.8,0,0.4,6.7,E,15,13:16,10.0,100,7, ,Calm,1028.6,17.3,64,1,SSE,4,1025.7
,2024-05-26,3.4,18.3,0.2,1.4,9.6,WSW,15,13:22,4.1,100,0,SSE,7,1027.2,16.8,54,1,SSW,6,1024.3
,2024-05-27,2.5,19.9,0,1.2,9.5,ENE,17,07:08,5.5,100,0,NE,9,1026.6,19.3,47,0,NNE,4,1024.5
,2024-05-28,4.6,19.9,0,2.8,9.4,NNE,22,11:16,7.8,99,0,E,11,1027.7,18.9,49,0,NNE,6,1025.7
,2024-05-29,2.0,19.6,0,4.0,9.0,E,31,12:20,9.8,85,1, ,Calm,1024.9,19.5,46,2,ENE,9,1021.1
,2024-05-30,9.8,20.6,0,6.6,0.2,N,70,09:58,17.9,60,7,NNE,17,1015.8,20.5,49,8,N,20,1010.0
,2024-05-31,12.9,17.9,5.6,4.0,8.5,WNW,46,02:03,14.1,66,1,NNW,17,1012.6,16.6,48,7,WNW,15,1013.5
