"Daily Weather Observations for Watsonia, Victoria for June 2024"
"Prepared at 13:01 UTC on Tuesday  5 November 2024   IDCJDW3079.202406"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Viewbank, other observations taken from Melbourne Airport."
"This same data is also available under the location name "Viewbank". Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Viewbank {station 086068}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-06-1,3.1,13.6,0,3.0,3.0,S,30,15:07,6.1,100,2,NNW,2,1025.8,13.2,74,6,SSW,9,1025.0
,2024-06-2,4.0,13.2,0.8,0.2,0.9,S,30,13:31,6.8,100,7, ,Calm,1026.9,12.3,68,6,SSE,11,1024.0
,2024-06-3,6.8,13.8,0,1.6,1.6,SSW,26,13:54,8.4,100,7, ,Calm,1016.7,12.3,72,5,SSW,9,1012.8
,2024-06-4,6.0,13.5,0.2,1.0,0.2,NNW,17,11:13,8.2,99,7,NNW,2,1018.1,11.6,68,7, ,Calm,1017.0
,2024-06-5,7.0,13.5,0,1.0,2.1,SSW,22,15:34,8.9,100,7,NNW,2,1022.7,13.4,75,7,SSW,11,1022.7
,2024-06-6,7.4,17.2,0,1.4,4.5,SSE,30,14:29,10.2,99,7,SSW,9,1027.0,16.9,62,3,SSE,11,1025.1
,2024-06-7,8.0,16.5,0,1.2,1.7,,,,10.5,100,4,S,11,1024.7,14.4,83,,SSE,9,1020.6
,2024-06-8,5.6,13.4,0,1.0,0.1,SW,19,13:41,8.4,100,7, ,Calm,1018.1,12.4,100,7,SSW,9,1016.0
,2024-06-9,8.3,13.6,0.2,0.2,0.1,W,19,16:53,10.7,100,8,NNW,7,1018.6,13.0,83,7, ,Calm,1018.8
,2024-06-10,2.5,15.0,3.2,1.0,7.0,N,43,23:59,4.5,100,2,WNW,2,1024.2,14.1,58,7,NNE,9,1020.6
,2024-06-11,4.3,14.9,2.6,3.0,2.6,N,57,07:39,12.4,85,8,N,22,1012.2,14.3,77,4,NNW,17,1007.5
,2024-06-12,8.3,12.1,9.4,2.4,3.4,SSW,48,14:51,8.3,100,4,SW,11,1016.1,11.5,55,7,SSW,22,1019.4
,2024-06-13,7.2,9.8,3.4,1.0,0.0,W,13,13:46,8.0,100,7, ,Calm,1023.6,9.6,100,7, ,Calm,1022.0
,2024-06-14,7.2,11.7,0.6,0.4,0.1,E,13,07:40,7.8,100,7, ,Calm,1020.9,11.7,86,7, ,Calm,1018.8
,2024-06-15,2.9,14.3,0.2,0.6,4.1,SSE,26,13:21,6.3,100,7, ,Calm,1022.7,12.6,70,6,S,9,1021.0
,2024-06-16,2.2,13.2,0.2,0.8,4.7,SW,39,14:29,5.1,100,3, ,Calm,1022.1,12.2,68,7,SSW,19,1021.2
,2024-06-17,4.2,14.3,0.4,1.6,6.3,SSW,22,14:50,5.6,100,7, ,Calm,1022.6,12.3,62,2,SSW,13,1020.7
,2024-06-18,0.2,13.6,0,1.8,6.1,WSW,17,13:43,2.4,100,5,ESE,6,1020.9,13.0,59,3,SW,7,1017.9
,2024-06-19,-1.9,13.0,0,0.8,8.6,ENE,17,12:18,0.6,100,1,ESE,9,1018.6,12.2,58,4,E,9,1015.7
,2024-06-20,0.6,13.0,0,1.6,0.7,ENE,19,08:17,5.8,87,7,ENE,11,1017.3,12.2,59,7,ESE,6,1015.9
,2024-06-21,0.5,13.3,0,0.8,1.1,S,24,13:32,3.3,100,7,SSE,2,1022.9,12.2,64,7,SSW,11,1023.7
,2024-06-22,3.3,13.5,0.2,1.0,5.1,SSW,20,14:30,6.1,100,3, ,Calm,1031.1,11.6,77,7,S,11,1029.2
,2024-06-23,-0.4,15.2,0,1.4,8.6,NW,20,14:11,2.6,100,1,SE,2,1027.6,14.4,53,1,NNW,11,1022.9
,2024-06-24,0.6,13.6,0,2.0,3.0,NNW,30,12:24,3.2,100,7,NE,4,1018.6,11.3,64,6,NE,9,1015.2
,2024-06-25,3.2,,0,1.8,6.1,,,,9.6,89,7,ENE,6,1015.6,15.3,51,4,NNE,9,1013.8
,2024-06-26,9.2,14.2,,3.4,5.5,NNW,41,10:08,10.6,74,1,N,11,1015.4,13.3,57,4,NNW,17,1014.5
,2024-06-27,8.6,16.6,0,1.6,8.1,NNW,33,00:24,10.2,91,1,NNW,9,1019.9,15.6,45,3,NW,15,1019.5
,2024-06-28,5.7,16.8,0,1.8,6.1,N,43,14:19,11.9,79,3,N,9,1022.5,15.0,53,7,NNE,13,1018.4
,2024-06-29,11.9,13.5,0,5.2,0.0,NNW,48,04:04,13.4,49,7,NNW,20,1013.4,9.4,100,7,WNW,2,1013.6
,2024-06-30,5.5,12.3,7.6,2.0,4.0,WSW,46,03:22,6.4,100,6,SW,4,1021.0,9.6,92,7,SSW,7,1021.6
