"Daily Weather Observations for Watsonia, Victoria for July 2024"
"Prepared at 13:01 UTC on Monday  4 November 2024   IDCJDW3079.202407"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Viewbank, other observations taken from Melbourne Airport."
"This same data is also available under the location name "Viewbank". Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Viewbank {station 086068}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-07-1,4.0,11.4,2.0,0.4,5.4,S,20,16:38,4.8,100,7,S,6,1028.5,10.5,70,3,S,9,1028.2
,2024-07-2,0.4,12.9,0,0.2,7.1,S,19,13:27,2.1,100,7,SE,6,1034.4,12.2,51,4,S,6,1032.9
,2024-07-3,-2.1,13.2,0.2,1.2,8.9,SSW,15,15:26,0.6,100,0,SE,6,1037.9,12.8,59,1,SW,6,1036.3
,2024-07-4,-1.6,9.6,0,0.6,2.9,WNW,13,08:26,-0.1,100,1,WNW,2,1040.3,9.2,99,8, ,Calm,1037.9
,2024-07-5,-0.1,11.1,0.2,0.6,0.0,S,17,19:25,7.3,,7,WNW,2,1041.1,11.1,94,8, ,Calm,1040.0
,2024-07-6,4.2,9.6,0,0.4,5.7,E,13,14:34,5.9,100,7,SSE,4,1041.5,9.1,85,1,ENE,7,1038.0
,2024-07-7,2.7,15.9,0,0.6,7.2,ENE,50,13:07,3.1,100,1,ENE,6,1034.9,14.8,50,5,ENE,13,1029.1
,2024-07-8,3.1,15.2,0,1.6,0.3,NE,37,13:48,8.5,93,7,ESE,11,1023.1,14.6,76,7,NNE,11,1017.7
,2024-07-9,8.5,12.7,9.4,1.2,0.0,WSW,35,23:53,11.2,,8,WSW,7,1020.2,12.5,,8,SW,13,1020.0
,2024-07-10,9.1,13.8,9.0,3.0,3.8,WSW,28,00:09,9.6,,7,WSW,11,1022.0,13.1,,1,NE,7,1019.9
,2024-07-11,7.7,13.0,0,1.6,0.3,N,43,16:48,11.0,,7,NNE,13,1017.9,12.8,,7,N,17,1013.5
,2024-07-12,9.4,16.3,3.8,0.0,5.1,NW,15,11:02,9.9,,8, ,Calm,1015.4,15.6,,1,W,9,1014.1
,2024-07-13,6.3,13.4,0.4,1.2,5.2,SSW,26,13:24,8.5,,1, ,Calm,1017.4,11.7,,6,S,15,1016.2
,2024-07-14,5.5,11.5,5.2,2.0,3.4,SSW,35,15:36,6.5,,7,W,9,1016.2,10.5,,2,SW,17,1013.2
,2024-07-15,6.2,11.2,2.4,0.4,0.7,WSW,48,20:08,8.1,,4,W,13,1007.9,9.3,,8,W,20,1004.1
,2024-07-16,8.1,13.8,25.6,0.6,0.0,WSW,48,00:06,11.2,,8,SW,11,1005.7,12.9,,8,SSW,15,1006.9
,2024-07-17,8.1,14.5,0,0.6,1.2,SSW,46,17:47,9.9,,8,W,6,1012.4,12.5,,7,SSW,15,1011.3
,2024-07-18,5.6,12.1,2.0,1.2,3.9,W,24,02:54,6.5,,3,WSW,4,1017.2,10.5,,6,SW,6,1015.6
,2024-07-19,6.5,12.1,0,1.6,0.1,N,57,21:40,9.4,,7,NNE,17,1010.6,10.8,,8,N,22,1005.8
,2024-07-20,9.4,11.2,0.2,2.4,0.1,N,50,00:28,10.1,,7,WNW,19,997.9,10.6,,7,W,22,1002.6
,2024-07-21,6.7,15.7,5.6,2.8,4.6,NNW,33,14:01,9.2,,5,N,6,1018.3,13.3,,7,NNW,15,1018.1
,2024-07-22,9.2,17.3,0.2,0.8,5.1,NNW,44,11:03,12.1,,3,N,13,1022.4,15.9,,7,N,17,1021.6
,2024-07-23,11.0,17.5,0,2.8,7.1,,,,12.6,,7,NNE,9,1024.1,16.3,48,7,N,17,1021.6
,2024-07-24,10.2,15.5,,4.3,1.1,NNE,48,12:05,11.4,60,7,ENE,7,1019.4,15.3,49,8,NNE,19,1013.9
,2024-07-25,11.4,12.7,0,3.4,1.9,NE,48,01:46,12.7,65,8,N,15,1010.4,12.0,84,7,N,9,1009.3
,2024-07-26,5.6,13.5,4.4,1.6,8.7,N,46,14:31,9.9,76,1,E,9,1017.4,13.0,66,1,N,19,1016.4
,2024-07-27,9.9,11.3,0.2,3.0,1.7,N,46,03:21,11.0,71,7,N,17,1016.5,8.3,95,7,W,11,1016.6
,2024-07-28,3.5,11.0,8.4,1.0,4.1,SSW,41,10:17,6.8,91,6,WSW,15,1023.8,10.5,58,7,SSW,22,1025.2
,2024-07-29,5.5,10.5,3.0,1.2,0.3,S,22,16:35,7.6,100,8,SW,2,1031.6,10.0,98,7,SSW,2,1031.4
,2024-07-30,4.9,14.0,5.6,0.0,7.5,S,17,15:19,5.7,100,7,ENE,2,1037.5,13.4,64,2,SSW,7,1035.6
,2024-07-31,0.6,10.5,0.2,1.0,5.2,WNW,11,09:36,4.6,100,8,SSW,2,1037.7,8.1,87,1,NNW,6,1036.0
