"Daily Weather Observations for Watsonia, Victoria for August 2024"
"Prepared at 13:01 UTC on Sunday  3 November 2024   IDCJDW3079.202408"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Viewbank, other observations taken from Melbourne Airport."
"This same data is also available under the location name "Viewbank". Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Viewbank {station 086068}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,-0.9,16.0,0.2,1.0,9.3,SE,15,14:23,0.9,100,1,ENE,6,1035.3,15.1,56,1,ENE,7,1031.2
,2024-08-2,0.5,15.8,0,2.2,7.0,NNW,39,12:51,4.2,97,1,ENE,4,1030.2,14.3,52,7,ENE,9,1026.6
,2024-08-3,4.1,14.2,0,4.0,0.2,NNW,24,10:32,11.3,70,7,SE,6,1028.1,13.6,59,7,SW,2,1027.4
,2024-08-4,0.1,15.4,0,1.4,7.2,WNW,15,14:04,3.1,100,7,ENE,6,1029.8,14.1,54,7,S,6,1025.9
,2024-08-5,3.1,14.8,0,1.8,4.0,NNW,20,13:03,5.6,97,7,E,9,1024.9,14.6,63,4,N,7,1022.0
,2024-08-6,3.4,15.7,0.2,0.8,9.5,N,33,12:57,8.0,94,4,E,6,1024.1,14.7,62,4,N,15,1021.3
,2024-08-7,7.0,16.8,0,3.6,8.1,NNW,33,11:39,11.2,76,7,NE,6,1025.4,16.3,57,5,NNW,17,1024.1
,2024-08-8,8.0,15.0,0,2.4,1.2,N,41,11:59,12.1,68,7,ESE,7,1024.0,13.2,63,7,NNE,9,1020.6
,2024-08-9,9.5,17.8,0,2.4,8.1,NNW,31,01:21,12.2,76,1,N,13,1025.9,16.3,49,6,N,7,1025.0
,2024-08-10,4.7,18.0,0,2.8,7.1,SW,13,22:20,6.8,96,7, ,Calm,1029.8,16.5,54,5,SSW,6,1028.3
,2024-08-11,2.4,19.8,0,1.4,9.9,E,15,13:27,6.8,95,1,SE,6,1031.7,19.3,47,4,N,6,1028.7
,2024-08-12,3.0,20.6,0,3.0,10.1,N,35,13:31,6.7,95,1, ,Calm,1030.2,20.2,49,7,NNE,13,1026.3
,2024-08-13,6.1,20.3,0,3.6,9.9,N,35,14:36,12.3,81,1,NNW,6,1026.7,19.5,57,3,NNW,17,1021.9
,2024-08-14,8.0,21.5,0,3.4,6.7,N,33,14:31,15.0,79,7,SE,6,1020.0,19.9,49,2,N,15,1016.7
,2024-08-15,8.9,21.0,0,3.4,5.4,NNW,31,11:31,11.5,87,2, ,Calm,1018.3,18.8,60,7,NE,6,1014.6
,2024-08-16,9.8,16.1,0,4.0,1.0,NNW,37,09:48,15.7,78,7,NNE,2,1009.9,15.3,67,7,NNW,13,1007.0
,2024-08-17,8.9,15.1,6.4,2.2,1.7,S,20,15:58,10.6,90,8,NNW,9,1006.4,14.5,65,7,SW,9,1007.2
,2024-08-18,10.2,17.0,1.0,0.8,2.9,SSW,22,15:30,11.2,96,7, ,Calm,1017.8,15.9,71,7,S,7,1017.9
,2024-08-19,4.4,18.7,0,2.6,8.9,N,28,13:46,7.3,100,7,E,6,1023.7,17.9,60,1,NNW,11,1020.7
,2024-08-20,7.3,17.4,0.6,2.6,3.6,NNE,35,10:00,15.4,67,7,NE,9,1016.6,15.3,76,7,NE,11,1009.7
,2024-08-21,11.3,19.5,1.4,3.0,6.6,WNW,39,11:16,14.4,74,3,NW,9,1013.1,19.0,54,5,NW,15,1012.0
,2024-08-22,10.7,19.4,0.8,2.2,9.2,WSW,30,11:22,13.3,77,1,NW,11,1017.8,19.0,43,4,NW,11,1017.0
,2024-08-23,10.8,19.1,0,2.6,1.9,NNE,46,12:52,13.6,74,7,NNE,7,1021.5,18.1,54,7,N,17,1016.8
,2024-08-24,13.6,21.3,4.8,4.4,10.3,NE,46,00:37,17.2,65,1,NNW,13,1010.9,21.1,52,1,NW,17,1010.2
,2024-08-25,9.8,22.6,0,4.6,3.8,W,74,18:34,14.1,77,7,E,11,1007.1,22.4,57,6,NNW,22,1002.0
,2024-08-26,10.2,19.2,8.6,5.4,5.4,W,33,12:01,13.6,79,7,NNW,13,1015.6,18.0,53,7,NW,13,1015.1
,2024-08-27,11.4,19.8,0,4.6,1.3,N,70,15:02,15.0,69,7,N,17,1015.9,18.2,60,7,N,24,1007.4
,2024-08-28,12.6,18.6,0.2,6.6,7.9,WSW,80,16:40,14.5,50,1,W,22,1004.9,17.4,35,4,WNW,28,1005.2
,2024-08-29,9.7,17.7,0.8,6.6,3.7,NNE,59,21:59,12.2,,7,NNW,13,1013.5,14.9,65,6,N,13,1008.2
,2024-08-30,11.9,19.7,21.2,6.2,8.1,N,70,00:49,15.0,59,1,W,19,998.5,17.9,37,6,NW,19,996.8
,2024-08-31,11.9,18.2,0,5.4,5.9,NW,57,15:08,14.3,63,6,NNW,13,1002.2,16.4,57,5,NW,24,1002.2
