"Daily Weather Observations for Watsonia, Victoria for October 2024"
"Prepared at 13:01 UTC on Sunday 10 August 2025   IDCJDW3079.202410"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Viewbank, other observations taken from Melbourne Airport."
"This same data is also available under the location name "Viewbank". Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Viewbank {station 086068}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-10-1,6.0,19.1,0,4.0,5.2,S,35,13:18,14.9,73,7,WSW,9,1025.2,17.6,60,6,S,15,1024.9
,2024-10-2,5.1,18.9,0,3.6,11.3,SW,30,15:28,12.6,65,1,SE,7,1030.4,18.2,56,1,WSW,17,1027.1
,2024-10-3,5.9,25.7,0,4.0,11.3,NE,33,15:08,16.1,73,2, ,Calm,1026.5,25.5,36,2,E,11,1020.9
,2024-10-4,16.1,23.7,0,8.4,4.6,N,59,11:03,17.9,68,2,E,15,1012.2,21.4,53,7,NNE,17,1006.4
,2024-10-5,10.4,20.2,3.6,6.6,6.1,NW,44,10:56,16.0,64,7,NW,11,1006.4,13.8,94,8,NW,17,1004.6
,2024-10-6,10.9,20.9,17.2,3.2,6.9,NW,39,04:21,13.9,70,3,WNW,13,1009.6,18.5,47,7,W,19,1011.7
,2024-10-7,13.3,16.1,0.6,5.6,0.2,W,46,13:24,14.8,72,7,N,19,1014.4,14.0,79,7,WSW,13,1017.4
,2024-10-8,4.8,14.8,4.0,3.0,10.7,S,35,13:38,9.1,75,4,SE,6,1026.4,14.5,60,4,S,15,1026.5
,2024-10-9,1.6,21.2,0,4.4,11.7,NE,19,13:14,7.1,82,1,ESE,6,1027.1,19.3,41,1,N,7,1022.2
,2024-10-10,7.1,20.8,0,6.0,10.6,NW,44,09:09,15.9,61,6,N,19,1019.4,18.9,53,1,S,15,1021.4
,2024-10-11,6.0,17.1,0,5.0,6.8,SSW,41,11:54,11.0,74,1,SSE,2,1026.1,15.8,57,7,SSW,17,1025.3
,2024-10-12,8.3,19.9,0,5.0,10.4,S,28,09:45,11.7,69,4,SW,11,1029.8,18.4,47,1,SSE,11,1026.7
,2024-10-13,4.6,24.5,0,5.4,10.2,N,39,11:52,14.3,68,5,E,7,1022.0,23.4,28,7,N,17,1017.6
,2024-10-14,13.6,22.8,0.2,6.8,8.8,SSW,30,14:12,16.3,83,4,WSW,7,1018.9,21.0,61,1,SSW,15,1017.7
,2024-10-15,8.3,26.9,0,3.0,8.1,ENE,28,12:27,13.9,82,3,E,7,1021.2,25.7,43,7,ENE,11,1017.1
,2024-10-16,13.8,24.9,3.6,6.2,7.8,NNW,28,14:00,17.8,68,5,SE,9,1018.3,24.4,48,6,NNW,19,1015.2
,2024-10-17,13.8,25.2,0,7.2,4.6,,,,20.8,67,7,NE,13,1013.8,24.5,51,7,SE,11,1010.0
,2024-10-18,17.8,23.0,,3.6,2.1,SW,46,18:41,18.9,92,8,ENE,9,999.4,18.7,94,6,S,6,997.8
,2024-10-19,12.5,17.8,22.2,5.8,7.5,WSW,44,00:17,12.8,95,8,SW,19,1016.0,17.6,67,6,S,11,1018.6
,2024-10-20,12.4,17.9,0,4.0,10.0,SSW,31,10:54,15.3,75,5,SSE,7,1024.3,17.1,70,5,SSW,11,1023.7
,2024-10-21,8.0,27.7,0,5.4,11.5,NE,22,15:31,12.0,95,4,NE,6,1021.7,25.5,47,1,ESE,11,1017.2
,2024-10-22,11.9,29.4,0,6.8,8.3,NNW,39,12:41,19.9,72,7,ENE,4,1012.8,28.8,39,6,N,19,1010.1
,2024-10-23,11.5,21.6,0,5.6,7.9,W,54,19:10,12.9,87,7,S,2,1012.9,20.4,43,2,NNW,9,1008.1
,2024-10-24,8.5,17.7,0.2,6.4,11.5,WSW,46,10:26,13.3,66,5,W,15,1015.6,16.6,49,7,SW,13,1014.6
,2024-10-25,8.4,16.7,0.6,6.8,8.5,WNW,39,23:32,10.9,77,4,W,15,1020.7,16.0,40,3,SSW,15,1021.0
,2024-10-26,2.5,22.9,0.8,2.6,11.1,N,22,14:09,9.9,69,3,E,7,1021.6,21.9,22,1,NE,7,1017.2
,2024-10-27,9.8,28.5,0,7.6,6.5,NNW,41,08:42,18.7,36,7,N,15,1015.9,25.3,32,5,W,11,1014.2
,2024-10-28,11.1,18.2,0.2,6.8,11.0,SSW,37,11:33,12.6,92,7,S,6,1022.6,17.0,48,7,S,17,1023.5
,2024-10-29,8.8,19.9,0.2,5.2,7.3,S,28,18:45,13.1,73,7,WSW,7,1026.4,18.6,53,1,S,11,1024.3
,2024-10-30,10.8,23.0,0,5.2,9.3,SW,28,16:28,13.7,72,7,WSW,9,1020.1,21.7,50,1,SSE,7,1015.4
,2024-10-31,11.5,19.6,0,5.2,5.0,S,37,14:27,14.4,78,4,SW,11,1014.0,19.6,53,7,S,9,1013.1
