"Daily Weather Observations for Watsonia, Victoria for November 2024"
"Prepared at 13:01 UTC on Saturday  9 August 2025   IDCJDW3079.202411"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Viewbank, other observations taken from Melbourne Airport."
"This same data is also available under the location name "Viewbank". Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Viewbank {station 086068}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-11-1,10.8,17.9,0,4.0,7.6,SSW,37,13:07,11.9,57,7,SSE,13,1020.0,16.3,52,4,SSW,17,1020.5
,2024-11-2,5.1,26.2,0,5.2,7.8,N,41,14:57,12.8,66,1,ENE,6,1019.5,25.2,26,7,N,15,1013.1
,2024-11-3,12.8,23.5,0,14.4,11.5,NNE,61,03:07,18.9,69,3,WSW,17,1008.4,22.6,40,1,WSW,13,1008.9
,2024-11-4,11.9,21.2,0,7.6,7.7,S,33,10:15,15.3,64,6,W,13,1014.8,19.6,46,4,S,11,1015.1
,2024-11-5,6.0,27.6,0,4.8,10.7,NNW,22,16:26,15.4,69,1,E,4,1017.1,25.4,31,1,ESE,7,1012.1
,2024-11-6,14.2,33.3,0,8.4,7.2,NNW,54,13:11,26.2,31,7,NE,11,1005.4,30.4,29,7,NNW,24,1002.4
,2024-11-7,13.3,23.2,0.8,10.2,6.1,NNW,46,12:13,14.7,70,7,SSE,7,1010.8,22.6,36,6,ENE,9,1006.9
,2024-11-8,8.8,20.7,0.2,5.2,8.1,WSW,46,13:07,15.5,55,6,NNW,20,1011.0,18.2,46,2,WSW,26,1013.0
,2024-11-9,4.6,21.6,0,5.2,5.9,WNW,28,15:48,13.3,65,2,SE,2,1020.4,19.2,42,7,S,7,1017.8
,2024-11-10,5.7,22.0,0,4.2,11.1,SSW,28,17:00,13.8,73,4,S,4,1023.8,20.3,48,3,S,11,1022.1
,2024-11-11,7.3,27.3,0,6.4,9.4,SSE,41,18:27,15.9,74,1,E,4,1020.9,26.5,30,7,SSE,11,1017.1
,2024-11-12,12.0,28.6,0,6.8,5.7,NNW,35,15:50,16.7,78,4,NE,2,1016.4,26.1,47,7,ESE,13,1011.3
,2024-11-13,14.5,19.5,5.6,3.8,4.1,S,35,14:50,16.2,98,7,N,2,1012.0,15.4,79,5,SSW,19,1014.2
,2024-11-14,12.3,19.5,3.0,3.8,7.7,SSW,39,15:11,14.0,57,7,SSE,7,1020.3,18.6,48,1,SSW,17,1019.1
,2024-11-15,8.2,22.8,0,6.6,10.8,SSW,28,13:36,15.3,54,7,SSE,9,1021.2,21.2,49,3,SW,15,1018.1
,2024-11-16,8.5,33.7,0,7.8,10.0,N,48,15:47,22.7,48,6,NE,11,1015.3,33.0,18,7,N,20,1010.6
,2024-11-17,19.6,26.2,0,15.6,5.6,WSW,63,10:42,25.8,54,7,N,19,1001.7,18.0,53,3,W,7,1007.5
,2024-11-18,11.3,20.6,2.2,7.4,9.3,W,46,00:21,15.7,58,7,WSW,19,1018.2,20.4,51,6,SW,15,1019.6
,2024-11-19,12.4,19.6,0,5.6,9.8,SSW,44,14:32,14.5,58,7,SSW,7,1025.0,18.4,49,1,SW,19,1023.8
,2024-11-20,9.2,22.0,0,4.0,7.6,SW,33,13:42,14.2,66,7,ESE,9,1025.6,19.3,53,7,SW,20,1023.0
,2024-11-21,9.7,33.5,0,5.6,11.3,NNW,33,12:49,15.6,80,1,NNW,6,1023.2,32.6,19,4,NNE,7,1018.2
,2024-11-22,13.3,37.5,,8.0,9.4,,,,23.5,60,4,SSW,6,1020.0,35.8,17,7,ENE,9,1016.0
,2024-11-23,21.4,37.5,0,13.8,3.8,SSW,61,16:11,30.8,27,7,N,17,1015.8,36.0,18,7,NNW,17,1012.4
,2024-11-24,18.6,22.6,5.0,10.0,0.0,SSW,19,22:31,18.7,99,8,WSW,2,1017.2,21.4,88,8, ,Calm,1016.0
,2024-11-25,16.6,18.7,9.2,0.0,0.0,SW,19,23:55,16.9,100,8,WSW,9,1014.6,18.1,98,8,W,9,1012.5
,2024-11-26,16.8,29.6,5.8,0.0,5.3,SE,28,18:06,18.1,100,7,WNW,4,1010.0,27.5,58,7,ESE,6,1006.4
,2024-11-27,18.0,30.6,32.6,8.6,6.2,N,52,09:31,20.7,99,7,NNE,6,1001.6,29.0,54,6,N,17,1000.2
,2024-11-28,14.6,26.3,11.8,6.2,9.7,SSW,33,12:51,18.0,88,5,S,4,1013.8,24.5,59,3,SSE,13,1014.1
,2024-11-29,15.4,31.6,0.2,6.8,12.2,SE,35,16:57,20.8,78,7,E,4,1017.6,30.7,48,1,S,11,1013.1
,2024-11-30,19.0,24.4,2.2,7.6,1.5,NW,35,17:40,19.0,97,8,W,6,1009.1,21.2,95,7,SSE,9,1001.3
