"Daily Weather Observations for Watsonia, Victoria for December 2024"
"Prepared at 13:01 UTC on Friday  8 August 2025   IDCJDW3079.202412"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Viewbank, other observations taken from Melbourne Airport."
"This same data is also available under the location name "Viewbank". Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Viewbank {station 086068}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-12-1,18.5,26.3,10.4,3.2,7.0,NNW,44,12:22,20.4,66,1,NNW,20,1003.0,26.0,43,7,NW,24,1002.7
,2024-12-2,14.2,31.1,5.0,6.6,12.3,NW,35,09:30,20.9,87,5,NE,2,1006.8,30.3,36,7,NNE,13,1003.0
,2024-12-3,19.8,32.5,0.6,9.8,10.7,SSW,48,14:38,24.7,75,7,NNW,20,1000.8,30.5,35,5,W,20,1000.9
,2024-12-4,10.2,26.6,0.2,12.0,13.0,SSW,26,14:53,18.4,59,3,ESE,7,1017.1,25.4,33,1,SSE,9,1016.3
,2024-12-5,11.9,34.1,0,7.4,13.6,SW,33,15:16,20.4,74,0,NNW,4,1017.0,33.1,26,1,SSW,7,1014.3
,2024-12-6,17.0,32.6,0,11.2,3.2,SSW,39,11:59,27.1,53,7,ENE,7,1014.2,27.0,50,8,SW,17,1014.7
,2024-12-7,18.8,28.6,6.6,5.2,10.0,W,44,21:56,22.1,85,7,NNW,13,1007.3,26.7,67,3,SSW,20,1006.3
,2024-12-8,12.3,22.3,0.2,8.6,12.2,SSW,39,14:04,15.8,59,6,W,19,1015.2,21.4,44,1,SSW,17,1014.4
,2024-12-9,10.8,23.3,0,8.0,8.6,SSW,26,18:06,14.6,75,7,WNW,6,1016.8,22.0,46,1,SSE,9,1014.7
,2024-12-10,13.0,23.5,0,6.0,10.9,SW,33,11:37,17.0,71,6,SE,2,1015.9,22.0,42,7,SSW,17,1014.1
,2024-12-11,13.1,25.8,0,7.2,10.7,SW,31,14:13,16.3,65,7,WSW,13,1013.3,24.1,39,2,W,11,1010.1
,2024-12-12,15.0,28.5,0,7.6,11.6,W,26,02:06,17.5,70,5,NW,7,1009.9,27.6,48,4,SW,13,1007.1
,2024-12-13,16.1,25.1,0,8.2,9.9,SW,28,14:27,17.9,72,7,W,13,1010.0,24.7,50,3,SSW,13,1009.7
,2024-12-14,9.8,28.0,0,7.0,4.2,SSW,28,16:35,17.8,69,6,E,7,1011.6,26.5,39,7,ESE,6,1008.6
,2024-12-15,11.3,35.3,0,5.2,12.9,SSW,22,17:38,19.7,69,0,ESE,6,1013.2,33.7,25,1,S,7,1009.8
,2024-12-16,18.0,39.0,0,11.2,2.6,SSW,43,19:26,30.3,38,7,NNE,13,1006.7,35.0,34,6,NE,15,1002.1
,2024-12-17,16.5,25.2,1.4,12.6,11.5,WSW,43,11:56,18.7,64,4,SW,17,1011.6,23.4,39,3,SSW,20,1011.5
,2024-12-18,12.3,24.7,0,10.2,12.4,S,39,16:30,17.7,64,7,S,9,1021.3,23.6,38,1,SSE,15,1020.2
,2024-12-19,8.9,31.8,0,9.2,13.5,N,31,09:20,19.5,63,0,E,7,1019.9,30.3,27,1,ENE,7,1015.6
,2024-12-20,13.9,35.1,0,11.4,10.0,SSW,48,16:15,23.7,51,1,ESE,6,1011.3,34.2,21,7,NNW,11,1006.8
,2024-12-21,14.7,23.6,0,10.8,8.7,SSW,39,12:04,16.8,73,7,SSW,13,1013.9,22.4,48,5,SW,19,1012.4
,2024-12-22,11.3,25.5,0,8.6,7.5,SSW,54,19:52,17.4,57,7,SE,9,1010.1,23.3,37,3,SSW,13,1005.9
,2024-12-23,9.9,20.0,3.6,7.0,8.5,S,46,15:43,14.2,67,3,WSW,17,1009.1,18.5,49,7,SSW,22,1009.8
,2024-12-24,11.7,25.1,2.0,6.8,6.3,WSW,30,23:01,14.3,81,7,WSW,15,1016.3,21.8,55,7,S,7,1015.7
,2024-12-25,14.2,33.7,0,6.4,12.5,E,28,16:14,19.3,73,1,ESE,7,1016.4,32.7,24,1,SE,9,1012.2
,2024-12-26,18.5,38.5,0,15.6,2.0,SW,52,20:45,31.2,25,5,NNE,13,1006.1,37.0,13,7,NNW,22,999.3
,2024-12-27,15.2,23.5,0.2,13.2,5.7,WSW,39,03:58,17.7,58,7,W,15,1005.8,23.0,41,7,SSW,17,1006.5
,2024-12-28,9.4,24.2,0,7.0,6.3,SW,46,14:40,18.1,48,2,NNW,7,1009.9,23.2,35,7,WNW,11,1008.1
,2024-12-29,10.5,27.5,2.2,5.6,12.8,S,31,18:56,16.6,67,1,NW,9,1016.7,26.4,39,6,SW,9,1015.5
,2024-12-30,12.7,30.2,0,8.4,8.3,S,30,12:35,19.9,68,5,ENE,4,1017.5,28.0,38,7,SSW,19,1015.0
,2024-12-31,14.0,27.8,0,7.6,11.6,S,33,17:31,21.0,65,7,E,7,1018.0,26.4,34,1,SSW,15,1014.7
