"Daily Weather Observations for Watsonia, Victoria for January 2025"
"Prepared at 16:01 UTC on Thursday  7 August 2025   IDCJDW3079.202501"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Viewbank, other observations taken from Melbourne Airport."
"This same data is also available under the location name "Viewbank". Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Viewbank {station 086068}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-01-1,13.6,24.6,0,8.2,8.3,S,39,18:12,17.2,74,7,SW,15,1016.4,23.5,39,1,SSW,13,1015.8
,2025-01-2,12.2,24.1,0,8.4,12.5,S,39,15:57,16.9,54,6,S,13,1022.5,22.3,39,1,SSW,22,1021.3
,2025-01-3,9.5,33.7,0,10.4,13.5,SSW,31,15:41,15.5,63,1,NNW,6,1019.7,32.4,30,1,NW,11,1013.5
,2025-01-4,14.2,39.0,0,10.0,10.0,NNW,41,12:18,26.3,49,3,NNW,7,1012.3,36.5,12,7,W,13,1009.5
,2025-01-5,18.6,40.9,0,15.6,4.6,NNW,41,14:23,23.8,46,7,ENE,4,1011.8,38.0,12,6,N,20,1008.9
,2025-01-6,16.5,18.9,5.2,15.8,0.3,S,37,16:00,16.5,98,8,SSW,11,1017.2,15.3,96,8,S,13,1019.3
,2025-01-7,11.8,27.4,23.6,4.4,12.0,SE,33,14:23,18.8,60,1,SSE,9,1022.8,26.2,41,7,SSE,13,1020.1
,2025-01-8,11.3,31.9,0,7.4,13.2,S,31,17:17,17.4,72,1,ENE,6,1020.6,29.3,36,3,ENE,9,1015.8
,2025-01-9,16.0,33.2,0,11.4,6.1,S,30,18:15,23.9,47,7,NNE,9,1015.4,30.8,26,7,WNW,11,1013.6
,2025-01-10,17.8,33.0,0,9.0,10.8,SSW,28,15:23,21.0,73,7, ,Calm,1015.6,29.4,44,5,SW,15,1012.8
,2025-01-11,16.4,35.9,0,10.0,9.0,NW,52,13:50,25.2,62,1,W,4,1011.6,34.3,24,7,WNW,11,1007.2
,2025-01-12,18.1,28.5,7.6,10.2,2.7,SW,46,14:20,24.5,68,6,NE,2,1007.4,21.4,93,8,S,4,1009.1
,2025-01-13,17.7,30.0,20.4,1.8,10.5,WSW,31,14:49,19.6,85,7,SW,6,1008.7,29.6,51,6,WSW,15,1005.6
,2025-01-14,17.8,30.4,0,6.2,11.1,SSW,30,15:52,18.7,86,7,WSW,4,1009.0,29.3,37,1,SSE,9,1006.2
,2025-01-15,17.3,25.3,0,8.0,0.3,SW,48,17:32,21.5,85,7, ,Calm,997.6,21.8,68,7,SW,19,998.7
,2025-01-16,12.4,23.6,2.4,0.8,9.9,SSW,39,15:09,15.2,78,7,WSW,9,1010.6,21.8,45,4,SSW,17,1012.4
,2025-01-17,13.6,24.8,0,7.4,10.6,SSW,43,14:18,18.8,72,6,SSE,9,1018.5,22.8,46,1,SW,20,1019.2
,2025-01-18,14.1,31.7,0,7.2,13.4,S,28,18:03,18.7,65,1,ESE,6,1021.3,30.2,28,0,S,6,1018.6
,2025-01-19,14.0,35.5,0,8.2,11.2,NNW,28,09:06,22.9,64,1,ENE,7,1018.5,34.8,22,6,ESE,6,1014.0
,2025-01-20,15.9,35.6,0,11.8,6.1,SSE,30,16:50,23.4,62,7,ENE,6,1011.6,33.8,24,7,SSE,6,1007.5
,2025-01-21,19.2,37.0,0,11.8,11.5,WSW,39,15:19,22.4,78,1,W,7,1008.6,35.4,40,1,SW,19,1002.9
,2025-01-22,17.2,24.9,0,8.0,8.0,,,,18.2,64,7,S,11,1012.0,24.1,50,5,S,19,1012.6
,2025-01-23,11.4,22.0,,7.6,1.2,SSW,44,16:27,15.9,73,8,SW,6,1010.3,19.6,62,8,SW,17,1008.0
,2025-01-24,13.4,24.6,4.8,4.8,10.9,S,41,13:53,15.9,72,7,W,13,1012.4,22.3,44,2,S,22,1012.2
,2025-01-25,15.8,27.4,0,6.8,10.3,SW,33,17:25,18.7,77,7,SW,2,1013.8,25.4,44,1,SSW,15,1012.6
,2025-01-26,14.8,26.9,,7.8,10.3,,,,18.1,80,7,SW,9,1015.8,24.9,53,3,WSW,19,1012.2
,2025-01-27,15.0,40.8,0,7.8,9.1,NNW,44,12:24,25.2,60,5,NW,7,1006.1,39.1,20,2,NNW,20,1002.2
,2025-01-28,16.3,25.0,0.2,14.4,8.9,S,39,10:44,18.7,58,7,SSW,11,1014.3,23.3,34,5,S,20,1016.4
,2025-01-29,14.4,23.1,0,9.4,10.3,SSW,41,13:08,17.0,56,7,S,9,1018.7,20.6,47,5,SW,20,1017.1
,2025-01-30,13.0,24.8,0,8.8,8.7,SSW,41,16:45,16.5,57,7,S,13,1016.0,22.9,43,1,S,13,1015.0
,2025-01-31,11.8,26.2,0,7.2,12.9,SSW,39,14:23,18.8,63,6,SSE,11,1019.0,24.6,47,1,SW,20,1017.6
