"Daily Weather Observations for Watsonia, Victoria for February 2025"
"Prepared at 13:01 UTC on Wednesday 20 August 2025   IDCJDW3079.202502"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Viewbank, other observations taken from Melbourne Airport."
"This same data is also available under the location name "Viewbank". Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Viewbank {station 086068}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-02-1,12.9,38.0,0,8.0,11.5,SSW,26,23:20,17.3,71,4,SSE,6,1019.8,35.2,32,1,SE,9,1013.8
,2025-02-2,17.2,39.7,0,10.8,9.7,S,50,19:01,30.6,32,7,ENE,11,1014.6,38.2,24,6,NE,9,1011.2
,2025-02-3,20.0,39.3,10.4,16.4,5.7,ESE,46,05:35,23.8,77,5,E,7,1011.4,37.1,25,7,N,9,1010.0
,2025-02-4,22.6,39.6,0.2,12.8,5.9,S,43,15:46,27.2,51,6,E,2,1008.2,38.1,23,7,WNW,11,1005.4
,2025-02-5,16.8,25.4,0,10.4,9.5,SW,35,14:32,17.3,65,7,S,9,1014.7,23.9,48,2,SW,17,1012.4
,2025-02-6,15.5,38.2,0,8.0,12.6,E,48,07:40,21.6,79,0,E,2,1011.8,34.9,25,1,NW,19,1007.7
,2025-02-7,18.9,24.8,0,9.4,1.0,S,37,15:31,19.9,95,7,WSW,9,1008.8,23.4,69,7,SW,13,1008.5
,2025-02-8,15.8,22.1,0,4.4,0.2,S,30,11:34,18.7,70,7,S,9,1012.1,19.9,71,8,SSW,11,1010.6
,2025-02-9,17.2,30.5,0,4.0,9.3,SE,43,15:48,20.3,69,4,SSE,6,1011.2,28.2,46,7,SE,17,1008.1
,2025-02-10,17.3,27.9,0,8.2,11.0,S,44,14:00,20.2,77,6,SW,7,1013.9,27.4,46,3,SSW,19,1012.2
,2025-02-11,17.4,33.2,0,7.6,10.7,WSW,30,13:33,20.9,79,7,ENE,6,1012.7,30.3,46,1,SW,13,1009.9
,2025-02-12,16.9,37.0,0,8.8,12.6,S,31,16:57,21.8,77,1,SSE,4,1011.3,36.2,27,1,SE,7,1007.5
,2025-02-13,21.8,35.8,0,12.6,2.9,N,54,12:42,27.2,48,7,ENE,17,1004.5,34.5,28,8,N,22,1000.7
,2025-02-14,15.6,26.1,0.4,10.8,7.6,SSW,41,16:36,18.8,68,3,WSW,11,1007.4,24.5,45,7,SW,17,1005.3
,2025-02-15,11.7,17.3,7.8,5.0,4.9,SSW,54,16:10,14.3,69,7,W,19,1007.5,12.7,81,7,WSW,20,1009.8
,2025-02-16,8.8,19.3,9.6,5.4,9.4,S,39,12:34,11.7,85,5,W,6,1016.6,18.0,50,5,SSW,20,1018.7
,2025-02-17,8.4,23.3,0.2,6.2,12.2,SSW,28,14:46,13.9,73,1,SSE,2,1021.8,22.4,42,3,WSW,13,1019.2
,2025-02-18,10.7,23.4,0,5.2,7.5,SSW,44,14:18,14.7,79,3,SSW,4,1017.8,20.2,63,7,SSW,20,1016.9
,2025-02-19,14.0,21.3,0.6,7.6,3.4,SSW,39,14:14,15.1,66,7,SSE,7,1018.6,18.5,58,7,SSW,17,1018.4
,2025-02-20,14.1,23.9,0,4.2,7.4,S,33,13:33,15.7,65,7,SSE,7,1023.3,22.1,41,1,S,13,1022.5
,2025-02-21,7.8,33.2,0,6.6,11.8,E,24,14:30,13.2,75,5,SE,6,1023.9,31.7,28,2,E,7,1018.5
,2025-02-22,13.1,37.0,0,11.0,10.8,N,43,14:06,27.7,41,4,NNE,9,1017.0,35.7,27,6,N,19,1012.3
,2025-02-23,26.0,31.4,0,20.6,8.4,N,56,02:02,26.3,53,7,N,19,1010.3,24.2,63,6,S,17,1011.2
,2025-02-24,13.6,24.6,0,8.0,10.7,S,31,13:30,17.0,78,7,WSW,7,1021.3,23.1,50,3,S,15,1022.0
,2025-02-25,13.1,28.7,0,6.8,12.0,WSW,28,14:55,16.8,74,5,SE,9,1025.4,27.5,40,1,SW,15,1021.1
,2025-02-26,13.2,37.4,0,6.8,9.7,WSW,46,17:00,20.4,73,1,WNW,4,1017.6,36.4,15,7,W,15,1013.9
,2025-02-27,15.7,28.8,0,10.2,8.5,WSW,31,17:25,18.9,73,7,SE,6,1017.9,27.8,45,3,SSW,11,1013.5
,2025-02-28,16.7,28.8,0,6.8,11.9,WSW,31,09:20,20.1,82,2,SW,9,1015.2,26.5,45,4,S,13,1013.7
