"Daily Weather Observations for Watsonia, Victoria for May 2025"
"Prepared at 13:01 UTC on Sunday 17 August 2025   IDCJDW3079.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Viewbank, other observations taken from Melbourne Airport."
"This same data is also available under the location name "Viewbank". Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Viewbank {station 086068}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,4.9,19.7,0,2.8,10.1,SE,17,01:52,8.9,88,1,E,4,1032.8,19.0,47,2,SSW,7,1030.3
,2025-05-2,3.8,21.7,0,2.6,10.2,W,22,11:51,7.6,96,1,E,7,1034.7,20.1,39,0,NNW,9,1031.5
,2025-05-3,3.2,21.9,0,4.0,7.9,NNW,31,11:40,8.4,84,3,ENE,2,1034.7,20.6,31,7,N,9,1030.7
,2025-05-4,8.4,23.8,0,6.4,7.7,N,44,10:57,13.3,62,6,NNW,6,1030.8,22.8,36,7,N,15,1027.2
,2025-05-5,13.3,24.7,0,6.4,7.4,NNW,54,13:32,18.2,51,7,N,13,1024.8,24.2,39,1,N,20,1019.6
,2025-05-6,18.2,27.5,0,8.4,9.5,NW,56,14:30,19.9,47,1,NNW,19,1017.0,26.6,28,1,NW,30,1013.3
,2025-05-7,15.6,21.4,0,7.8,5.0,WSW,46,14:44,18.0,69,5,NNW,15,1015.0,17.3,66,4,WSW,22,1016.0
,2025-05-8,6.3,17.6,2.0,2.8,6.1,,,,9.2,83,6,W,2,1029.3,15.7,53,7,SSW,11,1029.3
,2025-05-9,5.9,19.1,0,2.6,7.2,NNW,13,12:27,8.3,91,5,WSW,2,1034.1,18.7,52,1,SW,4,1030.9
,2025-05-10,4.0,21.4,0,1.4,9.7,E,13,11:15,7.8,92,0,S,2,1032.5,20.9,40,0,SSE,4,1028.1
,2025-05-11,5.2,23.8,0,2.8,9.7,NW,26,12:27,10.3,81,1,SSE,6,1028.5,22.9,35,5,NNW,9,1025.2
,2025-05-12,7.9,22.7,0,5.0,9.3,SSW,24,13:59,11.3,82,1,ENE,7,1027.5,20.7,48,1,SW,11,1025.4
,2025-05-13,4.7,23.2,0,3.2,8.8,SE,13,14:35,8.4,91,1,SSE,7,1026.6,22.8,35,1,SSE,6,1022.4
,2025-05-14,5.7,20.1,0,3.6,7.6,S,22,13:14,10.2,83,2,ENE,9,1022.0,18.8,57,2,SW,13,1021.1
,2025-05-15,5.4,19.3,0,,4.3,S,20,15:17,8.6,96,5, ,Calm,1024.5,19.1,51,6,SW,6,1021.8
,2025-05-16,3.2,18.7,0,1.4,4.6,WSW,28,14:07,6.6,94,1,S,6,1021.4,17.0,48,6,W,7,1017.9
,2025-05-17,6.6,13.6,3.6,1.8,0.0,SSW,35,14:13,10.9,98,7,SSW,9,1020.0,10.8,87,7,SW,15,1021.0
,2025-05-18,4.2,14.3,3.8,2.6,8.4,ESE,33,12:55,7.6,83,3,ESE,6,1030.1,12.6,45,4,SSE,11,1029.8
,2025-05-19,-0.9,15.6,0,1.6,9.6,ESE,20,13:55,2.7,90,1,ESE,6,1034.1,15.1,44,1,ESE,7,1032.0
,2025-05-20,-0.6,18.8,0,1.8,9.6,NNW,26,12:26,2.9,95,0,SE,7,1032.5,18.6,32,0,SW,7,1029.2
,2025-05-21,-0.6,17.4,0,2.2,8.9,S,17,13:31,3.3,90,1,SSE,6,1030.6,16.8,42,1,WSW,9,1026.3
,2025-05-22,2.5,17.0,0,1.8,3.2,S,26,15:03,4.6,97,7, ,Calm,1026.4,16.4,70,7,S,11,1021.3
,2025-05-23,4.6,16.2,0,0.6,0.7,NNW,15,23:56,11.1,99,7,SSE,6,1016.2,15.2,92,7, ,Calm,1010.3
,2025-05-24,11.0,18.6,1.8,0.6,7.4,NNW,48,14:00,14.3,59,1,NW,17,1010.4,17.4,48,7,NNW,17,1009.2
,2025-05-25,10.7,19.7,0,6.0,9.3,NNW,61,13:38,12.7,59,1,NNW,13,1015.5,18.5,40,1,NNW,20,1011.9
,2025-05-26,12.7,20.8,0,6.4,8.6,NW,63,19:02,16.5,41,1,N,17,1006.6,19.0,37,5,NNW,17,1000.9
,2025-05-27,9.0,14.8,0,5.0,2.4,WSW,41,16:49,10.4,70,5,NNW,15,1007.0,13.6,80,7,WSW,11,1010.3
,2025-05-28,10.3,14.9,5.2,1.8,0.6,SSW,46,12:42,11.1,91,7,WSW,9,1022.1,13.1,85,7,SW,17,1021.2
,2025-05-29,11.1,16.0,3.0,1.4,4.5,SSW,26,11:46,11.5,94,7,W,7,1025.2,15.1,71,3,SW,13,1024.0
,2025-05-30,9.3,15.1,0,1.0,1.9,S,19,12:45,12.0,86,7,WSW,2,1028.4,14.5,68,7,SSW,9,1027.5
,2025-05-31,11.2,17.2,0,1.1,5.7,S,17,02:53,12.7,73,7,SE,2,1029.7,16.6,60,1,SSE,2,1027.3
