"Daily Weather Observations for Watsonia, Victoria for August 2025"
"Prepared at 13:01 UTC on Monday  1 September 2025   IDCJDW3079.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Viewbank, other observations taken from Melbourne Airport."
"This same data is also available under the location name "Viewbank". Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Viewbank {station 086068}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,0.3,14.3,0,,6.0,SSW,22,16:20,3.6,100,,NNE,4,1027.8,13.8,66,1,SSW,4,1024.9
,2025-08-2,3.6,16.1,0,5.0,5.6,SSW,17,16:23,6.8,99,8, ,Calm,1027.7,14.9,61,1,WSW,2,1024.9
,2025-08-3,0.4,19.7,0,1.2,9.7,NW,43,04:02,3.3,100,1,WNW,6,1026.2,19.0,38,2,E,6,1022.8
,2025-08-4,3.3,18.1,0,2.6,1.9,NNE,39,16:15,12.9,60,7,NE,9,1019.2,17.4,56,7,NE,9,1014.1
,2025-08-5,8.5,16.5,3.4,3.4,9.9,NW,43,00:53,11.3,74,1,NNW,17,1014.9,15.2,51,3,NW,13,1015.2
,2025-08-6,9.3,15.4,0.2,3.4,3.5,NNW,39,06:33,10.7,90,7,WNW,7,1020.9,11.1,74,7,SSW,17,1023.3
,2025-08-7,4.0,13.2,0.4,2.0,1.2,SSW,24,15:11,5.9,91,7,ENE,4,1030.9,12.1,59,7,S,11,1030.5
,2025-08-8,5.9,15.8,0,1.0,1.4,S,26,14:13,8.9,93,7,ESE,2,1034.2,14.6,61,7,S,9,1032.5
,2025-08-9,4.7,17.8,0,1.2,9.8,S,22,16:30,6.6,100,1,NE,2,1035.1,17.3,48,1,SSW,4,1030.8
,2025-08-10,1.6,18.5,0,2.0,9.8,SW,17,14:54,4.9,98,1,W,7,1031.3,18.0,47,1,SW,9,1027.3
,2025-08-11,2.0,18.8,0,1.8,10.3,N,22,14:39,5.7,90,0,ENE,7,1028.5,18.4,43,1,NNE,6,1024.9
,2025-08-12,4.0,15.4,0,3.4,0.7,N,26,12:36,7.4,83,7,E,9,1024.5,14.5,57,8,N,6,1022.4
,2025-08-13,5.8,14.9,7.0,3.2,6.3,SSW,28,16:18,7.3,100,7, ,Calm,1028.7,14.6,64,4,WSW,13,1027.8
,2025-08-14,2.5,19.5,0.2,0.8,9.7,NW,24,16:38,6.3,97,1,E,7,1028.9,19.2,51,1,NE,2,1023.4
,2025-08-15,6.2,14.8,0,4.8,0.4,N,52,11:39,12.7,66,7,N,15,1016.0,11.9,85,7,WNW,11,1012.3
,2025-08-16,5.7,12.6,9.0,1.2,6.5,WSW,35,12:20,8.3,83,2,W,11,1015.2,12.3,55,7,SW,17,1014.8
,2025-08-17,2.1,13.6,1.4,,3.7,WNW,22,13:19,5.9,91,,E,9,1018.8,11.6,67,8,ENE,7,1019.2
,2025-08-18,3.4,11.9,0,,1.8,S,24,16:06,5.5,95,,NE,4,1029.9,11.1,58,8,SSW,11,1030.2
,2025-08-19,-1.3,17.0,0,4.4,10.5,NNW,24,13:48,2.9,94,0,ESE,6,1033.7,16.7,39,0,NW,11,1030.2
,2025-08-20,0.4,20.1,0,2.8,10.5,SE,22,17:13,5.4,84,0,NE,7,1032.7,19.3,36,1,SSE,6,1028.8
,2025-08-21,2.0,21.7,0.2,2.4,10.3,ENE,13,01:04,7.3,80,0,NE,4,1028.7,20.9,38,1,NE,6,1023.7
,2025-08-22,7.1,19.4,0,3.0,2.3,N,30,13:42,14.2,72,7,NNE,9,1022.3,17.5,59,7,NNW,17,1019.3
,2025-08-23,8.5,15.8,0,2.6,5.9,SW,30,12:50,11.2,90,6, ,Calm,1024.1,15.0,51,2,SSW,15,1023.7
,2025-08-24,3.1,16.2,0,2.0,10.3,SW,26,14:19,7.2,88,1,WSW,6,1026.9,14.7,56,1,SW,13,1023.4
,2025-08-25,3.0,18.8,0,2.4,2.0,N,28,16:27,6.1,100,7,E,6,1021.3,17.8,43,7,NNW,15,1016.5
,2025-08-26,6.1,17.1,0,6.0,0.0,N,83,12:27,15.2,55,7,NNE,11,1008.1,14.3,64,7,N,22,1001.5
,2025-08-27,9.3,15.5,4.0,1.8,6.6,W,61,14:48,12.2,72,2,NNW,19,996.6,11.8,80,7,W,24,997.0
,2025-08-28,8.9,17.2,1.2,4.8,5.9,W,44,11:58,11.0,66,6,WNW,13,1002.5,15.1,46,7,W,17,1001.7
,2025-08-29,8.1,14.2,0.6,3.6,3.4,NW,56,13:54,10.5,79,7,N,13,1001.4,11.8,69,6,NW,31,994.5
,2025-08-30,6.8,12.3,9.8,6.0,3.2,SW,72,03:08,7.8,72,7,WSW,26,1018.1,11.0,67,7,SSW,15,1022.7
,2025-08-31,7.4,17.2,0.8,0.6,3.7,W,31,13:47,11.9,78,7,WNW,9,1026.6,15.1,58,5,W,13,1023.6
