"Daily Weather Observations for Dartmoor, Victoria for October 2023"
"Prepared at 13:01 UTC on Wednesday 13 November 2024   IDCJDW3101.202310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Dartmoor, but evaporation and sunshine from Mt Gambier."
"Mt Gambier is about 50 km to the west of Dartmoor, and conditions may differ markedly between the two on any given day; the results for evaporation and sunshine, and the climate averages listed below, should be used with caution."
"Temperature, humidity, wind, pressure and rainfall observations are from Dartmoor {station 090194}"
"Evaporation and sunshine observations are from Mount Gambier Aero {station 026021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-10-1,11.3,18.1,0.2,,,WNW,43,02:58,13.7,77,,WSW,13,1011.4,16.5,51,,SSW,22,1014.7
,2023-10-2,3.0,27.2,,,,N,39,13:36,10.8,94,,NNE,7,1014.0,24.5,38,,NNE,20,1005.6
,2023-10-3,10.7,19.0,0.6,,,NW,57,23:34,14.6,76,,NW,15,1007.9,14.0,84,,WNW,9,1009.0
,2023-10-4,1.7,14.7,1.2,,,SSW,43,15:47,7.2,98,, ,Calm,1014.4,12.5,70,,SSW,15,1014.8
,2023-10-5,5.8,14.5,2.0,,,W,43,14:17,9.6,88,,NW,9,1019.8,14.1,81,,WSW,19,1019.6
,2023-10-6,3.8,14.8,5.0,,,SSE,39,11:49,9.1,79,,ENE,2,1032.9,13.1,63,,S,19,1033.3
,2023-10-7,4.7,14.5,0,,,SSE,35,14:17,9.2,88,, ,Calm,1035.4,13.4,70,,S,19,1033.8
,2023-10-8,6.9,17.0,0,,,ESE,26,17:35,10.0,86,,ESE,4,1033.3,15.1,55,,ESE,9,1030.3
,2023-10-9,2.1,16.4,0,,,SSW,31,16:46,5.2,98,, ,Calm,1028.8,14.8,62,,SSE,15,1027.5
,2023-10-10,7.9,19.6,0,,,S,22,16:22,11.7,77,,E,9,1026.5,17.8,57,,NNE,7,1023.5
,2023-10-11,4.1,30.7,0,,,NNW,54,13:46,14.3,71,,N,13,1018.8,30.2,25,,NNW,33,1013.0
,2023-10-12,10.3,15.8,1.4,,,SW,46,14:59,11.5,84,,W,7,1014.8,15.4,60,,SW,20,1017.8
,2023-10-13,10.2,15.9,2.8,,,WNW,35,16:54,11.1,94,,WNW,13,1022.4,15.2,78,,W,15,1021.5
,2023-10-14,10.8,16.7,1.4,,,WSW,54,12:51,11.5,91,,W,11,1019.6,15.9,66,,WSW,19,1019.5
,2023-10-15,7.8,15.3,1.2,,,W,31,16:06,9.9,97,,NNW,9,1018.0,12.9,86,,W,13,1017.0
,2023-10-16,8.6,15.5,7.2,,,SW,52,08:44,9.6,81,,SSW,24,1021.0,14.7,50,,S,26,1025.5
,2023-10-17,3.3,19.4,0.2,,,S,28,18:07,9.2,91,, ,Calm,1032.8,18.4,55,,SSW,13,1029.7
,2023-10-18,4.2,24.6,0,,,WNW,28,11:08,18.6,55,,N,13,1027.5,23.0,36,,WNW,11,1024.8
,2023-10-19,7.1,28.1,0,,,N,31,09:56,10.2,91,, ,Calm,1020.8,26.8,29,,NW,13,1018.0
,2023-10-20,8.1,31.6,0,,,WSW,35,16:35,15.9,75,,NNE,6,1015.0,28.3,35,,NNE,19,1010.4
,2023-10-21,13.8,16.8,0,,,WNW,54,12:12,13.9,81,,NW,13,1009.7,13.5,73,,W,22,1009.0
,2023-10-22,9.5,12.9,7.4,,,WSW,44,02:11,11.4,87,,SW,22,1014.3,12.4,68,,SW,15,1016.9
,2023-10-23,7.3,20.4,0.4,,,NNW,28,13:51,11.4,76,,WNW,7,1018.0,18.1,48,,NW,13,1014.5
,2023-10-24,11.4,16.9,0,,,W,61,12:04,14.5,78,,WNW,17,1005.9,14.4,55,,W,28,1011.3
,2023-10-25,4.1,13.1,3.6,,,S,52,11:32,8.4,84,,SSW,22,1019.5,12.2,59,,SW,19,1022.6
,2023-10-26,4.3,15.5,1.0,,,S,41,12:19,9.9,80,,SSE,19,1033.1,13.7,61,,S,17,1033.4
,2023-10-27,6.1,21.2,0,,,E,31,07:47,12.2,66,,E,15,1033.6,19.7,37,,NE,9,1029.1
,2023-10-28,7.1,27.3,0,,,WNW,72,13:44,14.9,46,,N,19,1020.7,24.2,30,,W,31,1016.2
,2023-10-29,3.3,19.6,0,,,NNW,35,14:52,10.6,78,,NNW,9,1016.7,18.3,41,,WNW,17,1011.4
,2023-10-30,9.9,16.6,1.4,,,W,59,15:25,12.0,95,,NW,15,1006.9,15.9,53,,WNW,30,1006.5
,2023-10-31,4.9,15.3,6.4,,,S,41,10:38,11.4,68,,SW,13,1019.0,13.2,63,,SSW,22,1022.2
