"Daily Weather Observations for Dartmoor, Victoria for December 2023"
"Prepared at 13:01 UTC on Monday 11 November 2024   IDCJDW3101.202312"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Dartmoor, but evaporation and sunshine from Mt Gambier."
"Mt Gambier is about 50 km to the west of Dartmoor, and conditions may differ markedly between the two on any given day; the results for evaporation and sunshine, and the climate averages listed below, should be used with caution."
"Temperature, humidity, wind, pressure and rainfall observations are from Dartmoor {station 090194}"
"Evaporation and sunshine observations are from Mount Gambier Aero {station 026021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-12-1,11.7,18.5,0,,,ESE,39,07:24,16.4,77,,ESE,24,1011.7,18.1,75,,SE,17,1010.2
,2023-12-2,13.1,20.1,0.4,,,SSE,39,09:31,15.2,82,,SSE,17,1014.1,18.2,52,,S,17,1014.6
,2023-12-3,7.7,25.2,0,,,ESE,30,18:19,14.8,84,,ESE,6,1018.1,23.2,47,,ENE,9,1015.4
,2023-12-4,10.9,31.7,0,,,NW,46,11:18,21.9,56,,N,13,1013.3,31.1,22,,W,17,1011.5
,2023-12-5,14.5,27.8,0,,,SSW,46,14:42,16.3,78,,N,7,1015.2,19.6,58,,SSW,24,1016.1
,2023-12-6,7.2,23.0,0,,,SW,30,14:23,13.9,93,,SSE,2,1020.2,22.5,46,,S,13,1018.4
,2023-12-7,8.0,28.8,0,,,N,20,13:42,17.3,60,,ESE,9,1018.8,26.1,24,,N,7,1015.7
,2023-12-8,13.5,34.5,0,,,WNW,46,10:55,28.4,41,,N,19,1005.4,21.3,67,,SSW,13,1003.8
,2023-12-9,14.0,15.8,2.6,,,SSE,39,15:12,14.4,96,,S,6,1013.9,15.5,70,,SSE,20,1018.9
,2023-12-10,12.3,16.3,2.8,,,SSE,54,15:56,13.1,73,,SSE,20,1022.3,16.0,72,,SSE,22,1019.3
,2023-12-11,12.8,20.4,6.6,,,SE,63,23:19,14.2,95,,SE,37,1018.1,19.5,83,,ESE,30,1016.2
,2023-12-12,14.1,34.0,1.4,,,S,50,17:48,18.7,89,,ENE,11,1013.4,31.7,53,,SSW,6,1009.5
,2023-12-13,16.6,30.0,9.8,,,NW,54,15:46,21.2,81,,N,7,1007.3,28.6,35,,NW,20,1003.0
,2023-12-14,14.6,19.4,3.2,,,WNW,39,02:15,15.2,95,,WNW,9,1007.4,17.9,81,,WSW,9,1009.0
,2023-12-15,8.9,20.9,0,,,W,35,14:32,13.6,98,,WNW,9,1012.0,19.1,49,,W,22,1010.3
,2023-12-16,9.5,19.6,0.2,,,WSW,37,15:57,17.2,62,,W,20,1010.0,18.7,57,,W,20,1010.4
,2023-12-17,7.2,23.4,0,,,WSW,28,13:04,17.0,60,,N,11,1015.1,21.7,52,,WSW,15,1013.6
,2023-12-18,13.7,25.6,1.8,,,NNW,33,12:06,15.4,95,,NE,13,1008.5,19.3,90,,NW,11,1008.1
,2023-12-19,12.0,18.6,9.2,,,SSE,46,14:23,14.0,71,,SSW,22,1017.9,16.8,47,,S,24,1018.4
,2023-12-20,6.9,19.1,0.2,,,ESE,44,15:35,13.9,70,,S,15,1023.0,17.1,51,,SSE,24,1022.0
,2023-12-21,11.0,22.8,0,,,SE,52,17:34,15.0,73,,SE,20,1023.1,21.6,58,,SE,28,1020.1
,2023-12-22,13.2,24.8,0,,,ESE,52,18:29,19.8,54,,E,28,1019.3,22.3,52,,SSE,31,1015.9
,2023-12-23,10.0,25.4,0,,,ESE,39,17:22,17.8,61,,E,13,1013.4,24.1,44,,ESE,19,1009.7
,2023-12-24,11.3,20.0,0,,,SE,50,11:33,17.5,66,,SE,26,1008.9,17.1,68,,SE,22,1008.8
,2023-12-25,12.9,16.8,5.6,,,SE,65,11:17,14.9,95,,SSE,28,1006.3,15.9,93,,SSE,35,1006.4
,2023-12-26,14.6,20.6,9.6,,,SE,52,09:32,16.7,89,,SE,24,1012.5,19.9,76,,SE,28,1012.5
,2023-12-27,14.9,21.0,0.2,,,SSE,31,23:27,15.7,97,,SSW,11,1015.0,19.8,85,,S,19,1014.4
,2023-12-28,13.5,21.0,0.2,,,S,33,15:19,15.1,82,,SSW,13,1016.6,19.1,60,,S,20,1015.7
,2023-12-29,9.1,19.2,0.2,,,SSW,43,16:52,15.1,75,,S,11,1016.7,18.3,53,,S,20,1016.2
,2023-12-30,12.8,19.1,0,,,S,39,12:27,15.0,79,,SW,13,1018.1,17.5,54,,SSW,17,1019.1
,2023-12-31,8.7,21.9,0.2,,,ESE,33,16:29,14.0,80,,S,9,1023.8,21.4,56,,ESE,19,1020.9
