"Daily Weather Observations for Dartmoor, Victoria for February 2024"
"Prepared at 13:01 UTC on Saturday  9 November 2024   IDCJDW3101.202402"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Dartmoor, but evaporation and sunshine from Mt Gambier."
"Mt Gambier is about 50 km to the west of Dartmoor, and conditions may differ markedly between the two on any given day; the results for evaporation and sunshine, and the climate averages listed below, should be used with caution."
"Temperature, humidity, wind, pressure and rainfall observations are from Dartmoor {station 090194}"
"Evaporation and sunshine observations are from Mount Gambier Aero {station 026021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-02-1,12.1,23.4,0,,,SW,43,13:48,17.2,78,,WNW,7,1017.9,21.2,58,,SW,20,1016.9
,2024-02-2,13.8,23.3,0,,,S,33,15:02,17.5,70,,SSW,13,1016.5,23.1,40,,SSW,17,1015.6
,2024-02-3,6.4,30.8,0,,,S,33,15:33,13.8,79,,NW,6,1011.9,28.2,40,,SSW,20,1008.4
,2024-02-4,13.7,36.0,0,,,S,37,17:15,15.3,96,,E,4,1004.8,34.6,19,,WNW,11,999.1
,2024-02-5,14.2,22.3,,,,SSW,41,11:06,17.3,65,,SSW,22,1009.1,19.7,47,,SSW,19,1011.4
,2024-02-6,5.1,22.4,0,,,SSW,37,14:39,12.5,75,, ,Calm,1020.1,20.9,43,,SSW,19,1020.9
,2024-02-7,7.6,23.3,0,,,S,35,15:23,15.4,76,, ,Calm,1025.2,21.6,47,,S,19,1025.3
,2024-02-8,7.5,26.6,0,,,S,43,15:01,15.1,73,,SE,7,1026.8,25.2,38,,ESE,15,1024.4
,2024-02-9,9.1,24.1,0,,,SSE,43,14:17,15.8,71,,SSE,13,1027.3,22.8,51,,S,24,1026.2
,2024-02-10,13.5,26.1,0,,,ESE,41,07:58,15.7,64,,ESE,26,1027.1,24.6,37,,ESE,17,1023.3
,2024-02-11,8.3,31.3,0,,,S,33,14:37,12.5,98,,NNE,2,1019.3,31.1,26,,WSW,11,1016.4
,2024-02-12,10.9,32.7,0.2,,,SSW,30,15:47,14.8,98,, ,Calm,1015.9,31.0,31,,NW,11,1012.6
,2024-02-13,12.9,27.9,0,,,WNW,50,16:22,16.4,92,,WSW,6,1006.9,25.9,46,,W,22,1006.1
,2024-02-14,11.4,,0.4,,,,,,15.2,57,,S,9,1018.8,,,,S,13,
,2024-02-15,3.5,22.7,,,,S,31,15:37,10.6,73,,NE,2,1023.4,21.3,44,,S,11,1022.3
,2024-02-16,6.1,26.6,0,,,ESE,31,17:50,13.5,80,,SE,6,1023.5,25.6,39,,ESE,15,1021.2
,2024-02-17,9.2,27.2,0,,,SSW,30,15:10,16.5,80,,E,11,1022.8,25.7,49,,SSW,15,1021.2
,2024-02-18,9.1,26.3,0,,,S,33,15:45,15.0,84,,SSE,9,1022.4,25.2,48,,SSW,17,1020.9
,2024-02-19,10.3,27.6,0,,,ESE,33,12:42,17.2,73,,SE,9,1021.6,25.6,44,,ESE,15,1019.4
,2024-02-20,14.5,28.7,0,,,E,30,23:17,16.5,83,,SE,7,1015.5,26.2,44,,WSW,6,1014.9
,2024-02-21,12.7,37.1,0,,,N,33,14:32,18.5,80,,ESE,4,1013.5,36.0,20,,NNW,15,1009.5
,2024-02-22,18.7,33.6,0,,,SSW,48,16:07,27.3,42,,N,20,1004.6,29.2,36,,WNW,22,1004.7
,2024-02-23,14.4,19.2,0,,,S,44,17:01,16.0,63,,SSW,11,1013.7,17.8,54,,SW,20,1016.5
,2024-02-24,13.6,23.9,0,,,SSW,35,14:36,15.5,63,,SSE,9,1022.2,21.8,45,,SSW,22,1019.7
,2024-02-25,7.8,23.8,0,,,SW,31,14:27,14.0,73,,NNW,6,1015.2,22.8,52,,SW,13,1015.0
,2024-02-26,11.0,23.8,0,,,ESE,37,15:06,14.6,74,,SSE,13,1020.0,22.0,41,,SE,22,1019.3
,2024-02-27,10.9,33.3,0,,,E,30,20:26,14.3,73,,E,11,1015.3,30.5,23,,NW,7,1011.5
,2024-02-28,14.3,38.1,0,,,NW,61,17:19,28.6,31,,NNE,19,1007.2,28.2,47,,WNW,24,1004.8
,2024-02-29,16.4,26.7,0,,,SSW,39,15:26,17.4,76,,SW,9,1015.1,24.7,45,,NW,9,1015.4
