"Daily Weather Observations for Dartmoor, Victoria for September 2024"
"Prepared at 13:01 UTC on Monday 11 August 2025   IDCJDW3101.202409"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Dartmoor, but evaporation and sunshine from Mt Gambier."
"Mt Gambier is about 50 km to the west of Dartmoor, and conditions may differ markedly between the two on any given day; the results for evaporation and sunshine, and the climate averages listed below, should be used with caution."
"Temperature, humidity, wind, pressure and rainfall observations are from Dartmoor {station 090194}"
"Evaporation and sunshine observations are from Mount Gambier Aero {station 026021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-09-1,11.5,17.2,9.6,,,NW,94,23:08,13.6,87,,NW,26,1002.6,16.3,73,,NW,35,1000.6
,2024-09-2,6.9,13.2,13.0,,,WSW,78,02:31,10.7,56,,W,26,1013.4,12.9,64,,W,20,1019.9
,2024-09-3,4.8,16.1,1.0,,,N,24,14:02,9.1,89,,NNW,4,1031.1,14.7,66,,N,17,1029.6
,2024-09-4,7.2,18.4,0,,,N,46,12:18,12.9,57,,N,19,1019.4,17.2,49,,NNE,13,1013.3
,2024-09-5,12.9,17.1,0.2,,,N,52,01:39,15.7,58,,N,17,1009.8,15.5,94,,N,15,1009.8
,2024-09-6,12.6,15.0,12.0,,,WSW,35,13:36,14.8,94,,NW,20,1011.1,14.8,86,,NW,19,1012.7
,2024-09-7,7.2,16.4,2.4,,,NW,39,11:08,11.1,89,,NNW,11,1023.1,15.3,64,,W,15,1021.8
,2024-09-8,8.7,15.8,1.4,,,WNW,50,14:45,9.9,94,,N,17,1017.4,14.8,72,,WNW,26,1015.2
,2024-09-9,8.4,15.0,4.8,,,W,37,13:56,11.1,87,,NW,13,1019.0,13.9,67,,W,13,1019.3
,2024-09-10,9.4,16.3,0.4,,,NNW,35,12:27,10.5,87,,N,9,1021.8,15.3,65,,NNW,17,1021.4
,2024-09-11,7.0,13.8,0,,,SSW,50,11:36,10.9,97,,NW,7,1022.5,12.2,86,,SSE,15,1024.8
,2024-09-12,5.0,13.5,2.8,,,SSW,28,13:27,9.7,82,, ,Calm,1033.4,13.0,72,,SW,11,1032.4
,2024-09-13,9.8,14.1,0,,,W,28,14:16,11.1,84,,WNW,9,1031.5,13.5,71,,W,13,1029.6
,2024-09-14,7.4,11.8,1.4,,,S,57,15:09,8.6,72,,SSW,19,1032.3,10.0,56,,SSE,28,1033.1
,2024-09-15,3.5,13.9,0,,,SSW,35,14:10,9.4,71,,S,13,1038.9,12.1,59,,SSW,15,1037.3
,2024-09-16,8.2,12.7,0,,,SW,28,10:29,10.8,71,,SW,7,1035.1,11.1,87,,W,7,1033.4
,2024-09-17,8.4,14.8,0,,,NW,31,21:23,9.9,72,,NW,17,1028.8,14.4,58,,W,15,1024.0
,2024-09-18,7.7,17.7,0,,,WNW,61,12:54,12.3,82,,NNW,22,1013.4,17.2,54,,WNW,30,1010.2
,2024-09-19,8.0,14.5,3.4,,,W,63,14:48,8.9,94,,NNW,11,1009.4,13.6,64,,W,22,1009.9
,2024-09-20,6.5,15.4,1.2,,,W,50,15:15,11.0,93,,NW,13,1009.2,13.9,62,,W,20,1006.5
,2024-09-21,8.0,14.9,3.0,,,W,46,15:03,11.2,83,,WNW,13,1010.2,14.2,65,,WNW,24,1009.8
,2024-09-22,9.8,17.3,1.8,,,NW,43,15:10,13.0,87,,NW,13,1014.4,16.6,60,,WNW,22,1014.2
,2024-09-23,11.1,15.9,0.4,,,NW,33,06:50,13.7,87,,NW,20,1017.1,14.4,95,,WSW,7,1017.6
,2024-09-24,11.0,18.1,3.2,,,N,28,12:07,12.3,96,,NNW,6,1015.2,17.6,69,,NNW,9,1011.4
,2024-09-25,9.8,11.5,2.8,,,S,43,17:04,9.9,95,,S,13,1014.3,10.1,81,,S,13,1016.0
,2024-09-26,2.5,13.2,4.2,,,S,33,09:23,9.6,76,,SSW,6,1028.3,12.1,62,,SSW,19,1028.3
,2024-09-27,-0.7,18.9,0,,,SSW,20,16:21,7.1,93,,E,2,1029.3,18.1,47,,ESE,11,1025.6
,2024-09-28,6.2,21.3,0,,,N,52,13:23,14.6,52,,N,22,1022.1,21.1,37,,NNE,19,1015.7
,2024-09-29,11.8,16.9,11.8,,,W,46,12:24,15.1,65,,WNW,19,1016.4,16.0,55,,W,20,1017.2
,2024-09-30,8.4,18.0,0.4,,,NW,37,13:51,13.5,81,,WNW,13,1023.4,17.3,60,,WNW,17,1022.2
