"Daily Weather Observations for Dartmoor, Victoria for October 2024"
"Prepared at 13:01 UTC on Sunday 10 August 2025   IDCJDW3101.202410"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Dartmoor, but evaporation and sunshine from Mt Gambier."
"Mt Gambier is about 50 km to the west of Dartmoor, and conditions may differ markedly between the two on any given day; the results for evaporation and sunshine, and the climate averages listed below, should be used with caution."
"Temperature, humidity, wind, pressure and rainfall observations are from Dartmoor {station 090194}"
"Evaporation and sunshine observations are from Mount Gambier Aero {station 026021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-10-1,10.6,17.2,0.2,,,SSW,31,11:54,13.2,84,,WSW,11,1026.1,15.6,65,,SSW,17,1026.1
,2024-10-2,3.0,20.1,0,,,ESE,28,15:44,11.7,87,,ENE,6,1030.1,19.5,57,,ESE,11,1026.9
,2024-10-3,6.6,26.4,0,,,NNE,57,15:47,17.7,58,,NNE,15,1022.1,26.1,32,,NNE,30,1014.8
,2024-10-4,14.5,19.6,11.6,,,NW,50,13:27,17.2,75,,NNW,26,1007.7,18.2,55,,WNW,22,1006.5
,2024-10-5,10.3,15.5,4.8,,,WNW,44,15:07,13.1,85,,WNW,11,1005.7,14.4,65,,WNW,15,1005.3
,2024-10-6,10.7,17.6,3.2,,,NW,74,00:27,12.9,81,,WNW,15,1010.1,16.4,65,,NW,24,1012.0
,2024-10-7,12.3,15.1,3.2,,,NNW,50,03:30,12.4,89,,W,17,1015.9,13.3,64,,SSW,20,1019.8
,2024-10-8,1.6,14.6,0.6,,,S,31,14:52,7.4,97,, ,Calm,1028.6,13.1,60,,S,13,1027.9
,2024-10-9,-0.3,20.4,0.2,,,N,24,13:18,5.7,88,,ENE,4,1026.7,19.0,44,,NE,11,1021.0
,2024-10-10,5.8,16.2,0,,,SW,37,04:36,13.2,72,,SSW,11,1021.6,15.8,50,,SW,15,1023.9
,2024-10-11,5.6,16.4,0,,,SSW,39,13:18,9.7,90,, ,Calm,1027.4,15.7,60,,SSW,17,1027.6
,2024-10-12,2.9,20.8,0,,,ESE,30,08:57,8.3,93,,ESE,4,1030.0,19.3,48,,ENE,7,1026.2
,2024-10-13,4.4,21.4,0,,,NNW,43,15:30,14.9,56,,NNE,15,1018.9,16.1,77,,NNW,15,1015.8
,2024-10-14,9.3,18.3,0,,,ESE,39,10:58,14.2,90,,SE,19,1019.4,17.4,72,,SE,20,1018.6
,2024-10-15,10.8,21.9,0,,,E,37,23:25,13.9,84,,NE,9,1016.7,19.1,75,,NE,9,1015.0
,2024-10-16,11.8,25.4,1.2,,,NW,46,16:01,18.7,78,,NNE,15,1014.7,24.6,63,,NNE,11,1012.5
,2024-10-17,15.5,24.5,17.4,,,,,,20.0,75,,NNE,11,1008.8,22.6,75,,N,11,1005.6
,2024-10-18,15.0,15.1,,,,SW,46,12:52,15.0,97,,SSW,17,998.4,13.6,97,,SW,24,1004.7
,2024-10-19,8.9,17.3,15.0,,,SW,28,09:38,12.5,87,,SSW,6,1019.1,16.5,67,,WSW,13,1020.9
,2024-10-20,7.7,20.8,0,,,SSE,33,13:24,12.3,98,,E,2,1025.3,19.4,65,,ESE,15,1024.2
,2024-10-21,8.1,26.1,0,,,ENE,24,06:14,13.4,84,,ENE,9,1020.4,24.0,54,,WSW,6,1015.7
,2024-10-22,13.0,18.6,0,,,WSW,33,04:58,17.0,78,,SW,9,1012.3,15.7,78,,SSW,15,1015.1
,2024-10-23,6.7,18.1,0,,,W,52,14:42,11.8,85,,NNW,7,1013.4,12.9,88,,W,11,1012.0
,2024-10-24,7.0,15.5,2.4,,,SW,39,17:29,11.8,65,,WSW,13,1017.5,14.5,54,,WSW,20,1017.4
,2024-10-25,5.2,16.6,1.2,,,SSW,28,16:02,9.2,94,,N,4,1022.7,15.8,45,,S,9,1021.8
,2024-10-26,3.9,21.6,0.2,,,NW,35,12:39,11.2,73,,NE,9,1019.3,21.1,42,,NNW,15,1015.7
,2024-10-27,9.9,21.0,0,,,SSW,35,12:34,14.8,83,,WNW,6,1016.5,19.4,70,,SW,19,1017.1
,2024-10-28,7.5,17.3,0,,,S,33,14:22,14.4,68,,S,15,1025.6,16.2,56,,SSW,19,1025.7
,2024-10-29,7.1,18.2,0,,,SSW,31,16:28,13.2,74,,WSW,7,1027.9,17.2,64,,SW,11,1026.2
,2024-10-30,11.4,19.3,0,,,S,33,14:07,12.0,81,,WSW,4,1020.9,17.3,68,,SSW,22,1017.4
,2024-10-31,8.5,16.9,0.6,,,SSW,37,13:23,12.3,95,,W,6,1016.0,15.2,55,,SSW,17,1017.0
