"Daily Weather Observations for Dartmoor, Victoria for December 2024"
"Prepared at 13:01 UTC on Friday  8 August 2025   IDCJDW3101.202412"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Dartmoor, but evaporation and sunshine from Mt Gambier."
"Mt Gambier is about 50 km to the west of Dartmoor, and conditions may differ markedly between the two on any given day; the results for evaporation and sunshine, and the climate averages listed below, should be used with caution."
"Temperature, humidity, wind, pressure and rainfall observations are from Dartmoor {station 090194}"
"Evaporation and sunshine observations are from Mount Gambier Aero {station 026021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-12-1,15.1,20.1,30.0,,,W,35,11:17,15.7,97,,NW,11,1003.2,18.0,84,,WNW,19,1004.7
,2024-12-2,9.6,32.3,0.8,,,NW,44,20:42,17.0,81,,NNE,6,1004.8,30.1,28,,NNW,22,1000.0
,2024-12-3,17.0,20.5,7.8,,,WSW,39,12:51,19.8,90,,NW,19,1000.3,18.1,62,,SW,22,1007.8
,2024-12-4,6.1,26.8,0,,,ESE,35,18:11,15.0,76,,ENE,4,1016.9,25.1,41,,ENE,4,1015.6
,2024-12-5,10.4,35.6,0,,,WNW,39,15:39,23.0,46,,NNE,9,1014.5,34.6,22,,NNW,15,1012.9
,2024-12-6,16.1,29.2,0,,,SW,31,05:27,17.9,80,,WNW,9,1017.3,27.4,58,,NE,13,1012.8
,2024-12-7,16.9,21.5,17.0,,,SW,33,15:36,19.2,88,,WSW,9,1009.6,18.6,70,,SSW,17,1011.2
,2024-12-8,11.0,20.0,0,,,SSW,37,15:41,15.9,61,,SW,11,1016.7,18.6,50,,SSW,19,1016.8
,2024-12-9,9.3,21.0,0.2,,,SSW,30,15:09,15.2,71,,NW,6,1017.2,19.7,58,,S,15,1015.9
,2024-12-10,7.8,20.5,0,,,SSW,31,15:33,13.4,86,,NNE,2,1017.6,18.6,56,,S,15,1016.1
,2024-12-11,11.2,22.4,,,,WSW,37,16:47,15.3,72,,W,7,1014.9,21.1,47,,WSW,19,1012.5
,2024-12-12,14.2,23.9,0,,,WNW,31,12:30,18.3,77,,WNW,15,1010.7,22.5,61,,WNW,19,1009.1
,2024-12-13,14.1,21.3,0.6,,,SSW,31,12:54,15.1,93,,W,4,1010.7,19.6,62,,S,11,1011.6
,2024-12-14,7.6,23.0,0,,,S,28,17:17,10.6,98,,E,2,1011.2,22.0,48,,S,6,1010.8
,2024-12-15,11.1,35.1,0,,,ESE,26,18:09,19.8,62,,ENE,6,1011.5,32.2,26,,WNW,11,1008.8
,2024-12-16,19.5,40.7,0,,,N,70,09:55,31.5,29,,N,30,1000.3,28.6,41,,SSW,19,1001.1
,2024-12-17,12.3,21.5,0.8,,,WSW,48,13:14,18.1,57,,WSW,19,1013.4,20.4,46,,SW,24,1014.6
,2024-12-18,6.8,24.5,0,,,ESE,39,19:29,15.9,68,,SSE,13,1022.6,23.8,43,,E,15,1021.1
,2024-12-19,8.5,30.3,0,,,S,35,15:21,12.6,88,,E,9,1018.4,28.7,31,,SE,6,1014.4
,2024-12-20,10.3,28.5,0,,,SSW,43,15:28,22.1,50,,N,13,1010.5,22.6,51,,SW,24,1012.1
,2024-12-21,12.0,21.1,0,,,S,46,14:55,15.4,58,,S,26,1016.8,19.6,49,,S,26,1015.2
,2024-12-22,8.3,20.4,0,,,SSW,41,17:14,15.6,59,,SSW,11,1012.1,18.2,55,,WSW,17,1008.5
,2024-12-23,8.3,18.5,2.2,,,SSW,46,15:14,12.9,70,,SW,19,1013.0,17.1,53,,SW,20,1014.1
,2024-12-24,11.8,19.9,0.2,,,WSW,28,11:00,15.7,85,,WNW,7,1017.5,19.5,66,,SSW,7,1016.9
,2024-12-25,10.8,36.1,0,,,NW,41,10:53,19.6,70,,NNE,6,1014.2,34.1,20,,NW,19,1009.6
,2024-12-26,17.0,33.1,0,,,NNW,57,12:06,28.2,23,,N,22,1000.5,21.8,68,,WNW,15,999.2
,2024-12-27,12.1,20.7,0.8,,,WNW,43,15:59,15.4,62,,SW,17,1007.2,18.9,38,,W,19,1009.1
,2024-12-28,11.3,20.9,0.4,,,WSW,39,11:11,14.0,92,,NNW,9,1009.0,19.8,52,,WSW,17,1010.3
,2024-12-29,10.2,24.4,0.2,,,NW,33,12:57,17.1,73,,W,13,1016.3,22.4,51,,W,11,1016.8
,2024-12-30,9.9,23.9,0.2,,,SSW,35,15:14,13.3,98,, ,Calm,1017.7,21.3,66,,SSW,26,1017.7
,2024-12-31,10.9,24.7,0,,,SSW,35,13:36,14.3,98,,NE,4,1018.7,22.9,53,,SSW,22,1016.8
