"Daily Weather Observations for Dartmoor, Victoria for July 2025"
"Prepared at 13:01 UTC on Thursday 21 August 2025   IDCJDW3101.202507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Dartmoor, but evaporation and sunshine from Mt Gambier."
"Mt Gambier is about 50 km to the west of Dartmoor, and conditions may differ markedly between the two on any given day; the results for evaporation and sunshine, and the climate averages listed below, should be used with caution."
"Temperature, humidity, wind, pressure and rainfall observations are from Dartmoor {station 090194}"
"Evaporation and sunshine observations are from Mount Gambier Aero {station 026021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-07-1,-0.3,13.0,2.8,,,SE,20,13:57,0.6,98,,NE,2,1028.8,11.6,87,, ,Calm,1025.6
,2025-07-2,0.6,13.4,1.4,,,S,22,14:44,3.8,99,, ,Calm,1022.7,12.7,69,,SSW,15,1020.7
,2025-07-3,-0.8,13.9,0.2,,,N,17,15:55,0.5,98,,NE,4,1020.5,13.3,65,,NNW,9,1017.2
,2025-07-4,0.4,13.5,0.2,,,NNE,31,11:37,6.6,85,,NE,11,1016.8,13.0,66,,NNE,15,1014.0
,2025-07-5,6.7,16.5,0.2,,,NNE,43,02:25,10.6,60,,NNE,17,1013.4,16.1,48,,NE,15,1010.6
,2025-07-6,6.4,15.3,0.2,,,ENE,17,01:40,8.3,95,,SSE,4,1014.3,15.1,71,,WSW,6,1014.7
,2025-07-7,2.5,15.6,0.2,,,NNW,39,15:10,6.7,99,,NNW,6,1018.3,15.4,67,,N,22,1012.9
,2025-07-8,6.6,11.7,1.4,,,WNW,61,12:25,10.6,86,,N,33,994.5,9.7,90,,WNW,13,998.5
,2025-07-9,4.7,11.3,11.2,,,N,44,14:58,7.9,93,,N,19,1002.2,9.6,90,,N,28,995.8
,2025-07-10,6.3,11.1,14.2,,,SW,39,08:10,7.1,91,,W,7,1005.1,10.5,76,,W,9,1009.0
,2025-07-11,7.1,14.8,5.4,,,SW,33,12:51,10.3,95,,NNW,9,1016.7,13.8,71,,WSW,9,1018.7
,2025-07-12,5.2,16.2,0.8,,,NNW,31,11:20,9.0,99,,N,9,1024.6,15.8,78,,NNW,19,1021.9
,2025-07-13,9.0,12.6,0.2,,,WSW,61,15:29,11.5,66,,N,30,1010.3,10.6,93,,WSW,19,1007.9
,2025-07-14,2.2,12.3,7.2,,,N,28,10:53,4.8,98,,NNW,7,1015.4,10.5,88,,NNW,13,1011.1
,2025-07-15,4.6,13.7,6.2,,,NW,30,15:32,6.6,98,,N,9,1012.1,13.0,75,,NW,19,1011.6
,2025-07-16,6.5,14.0,5.0,,,N,43,23:44,9.5,98,,N,9,1016.3,13.4,85,,NNW,17,1014.5
,2025-07-17,9.1,14.2,10.0,,,N,48,02:05,9.7,97,,W,9,1016.3,12.3,63,,SSW,13,1017.3
,2025-07-18,2.2,14.4,0.2,,,NNW,35,13:04,6.1,98,,NNW,7,1020.1,12.9,86,,NNW,20,1016.4
,2025-07-19,6.1,13.7,4.8,,,NNW,52,08:47,9.8,65,,N,30,1009.0,11.7,70,,NW,19,1012.7
,2025-07-20,3.5,13.8,1.0,,,NNW,31,13:38,4.8,97,,N,4,1022.2,13.2,66,,N,20,1020.6
,2025-07-21,4.7,15.7,0.2,,,N,67,13:02,10.9,62,,NNE,20,1015.3,15.5,45,,NNE,31,1007.8
,2025-07-22,8.7,12.6,1.4,,,N,87,14:26,10.3,78,,N,35,996.3,9.3,93,,N,44,991.5
,2025-07-23,4.3,13.9,16.0,,,W,37,01:16,6.2,96,,NW,11,1013.0,12.8,61,,WSW,15,1013.8
,2025-07-24,4.8,14.9,0.4,,,N,31,12:00,7.5,85,,N,9,1020.5,14.2,60,,N,17,1017.8
,2025-07-25,7.5,10.5,0,,,NE,44,20:35,10.3,57,,NNE,19,1012.2,7.8,85,,NE,26,1003.9
,2025-07-26,7.1,12.9,12.0,,,NE,28,01:58,8.4,97,,E,6,995.6,11.5,84,,SSW,7,995.6
,2025-07-27,7.8,14.5,9.2,,,S,57,12:21,10.8,96,,WNW,6,1000.3,12.9,78,,SW,19,1001.1
,2025-07-28,7.3,14.3,10.4,,,SSW,35,11:13,8.5,97,,NW,7,1010.0,13.1,75,,WSW,9,1010.7
,2025-07-29,2.3,14.2,0.6,,,SE,20,16:51,3.6,98,,E,2,1016.6,11.2,88,,SE,11,1015.2
,2025-07-30,3.6,13.7,7.4,,,SE,28,17:58,3.7,98,, ,Calm,1020.0,12.8,76,,ESE,11,1020.5
,2025-07-31,-0.1,13.8,0.8,,,ESE,30,13:54,3.1,98,, ,Calm,1028.4,12.3,67,,SSE,19,1026.6
