"Daily Weather Observations for Brisbane, Queensland for December 2023"
"Prepared at 13:01 UTC on Monday 11 November 2024   IDCJDW4019.202312"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-12-1,22.3,35.3,0,11.8,9.8,WSW,56,17:47,32.1,27,7,SSW,6,1008.3,31.5,35,5,NNE,9,1004.7
,2023-12-2,19.5,32.5,20.6,9.8,13.0,W,31,00:51,27.0,63,1,SW,7,1010.3,30.2,55,2,NE,7,1007.3
,2023-12-3,22.4,34.5,0,7.4,12.5,NE,26,15:36,29.5,43,5,SW,7,1013.2,31.2,46,7,NE,13,1010.2
,2023-12-4,22.3,31.4,0,7.8,9.9,ENE,30,13:57,27.4,67,7,SE,6,1015.7,28.4,60,7,ENE,15,1013.2
,2023-12-5,22.1,30.6,0,7.8,11.5,ENE,28,14:45,26.9,63,4,NE,6,1018.5,28.6,60,2,ENE,13,1015.4
,2023-12-6,21.6,32.4,0,8.4,12.8,NE,24,14:16,28.6,55,1,NE,4,1017.6,29.8,57,1,ENE,13,1014.4
,2023-12-7,20.4,31.1,0,8.6,13.1,ENE,20,14:16,28.1,56,3,ENE,7,1018.4,29.6,53,1,ENE,11,1015.7
,2023-12-8,21.6,31.1,0,7.6,11.1,NE,26,13:05,27.7,58,6,NE,7,1020.1,29.0,54,1,ENE,13,1016.5
,2023-12-9,22.1,29.6,0,8.2,10.1,ENE,26,09:39,27.1,57,7,ENE,11,1017.7,28.1,53,3,ENE,11,1015.4
,2023-12-10,21.0,29.9,0,7.4,11.8,ENE,31,12:06,27.9,53,7,ENE,13,1017.9,28.0,55,5,ENE,15,1015.2
,2023-12-11,22.0,29.3,0,10.8,11.9,E,31,10:50,27.5,45,2,ENE,11,1017.7,28.0,47,7,NE,11,1015.3
,2023-12-12,22.6,30.5,0,10.4,10.3,ENE,28,12:26,28.3,51,7,E,11,1018.1,28.6,49,2,ENE,15,1015.4
,2023-12-13,21.1,30.6,0,9.6,11.2,NE,26,16:01,27.2,53,7,NE,7,1017.8,28.9,44,6,NNE,9,1014.3
,2023-12-14,22.2,32.1,0,8.0,11.0,NNE,30,18:54,28.8,50,5,NNW,6,1013.7,30.6,56,2,NNE,11,1009.4
,2023-12-15,24.5,34.3,0,8.8,6.0,SW,46,16:41,28.0,64,8,WNW,2,1010.0,32.3,51,5,NNE,11,1005.7
,2023-12-16,22.8,33.0,23.8,7.8,8.6,E,35,17:07,29.1,64,1,NE,7,1009.0,29.1,70,7,NNE,9,1005.7
,2023-12-17,23.0,34.2,4.8,7.0,11.8,NE,31,16:45,31.1,55,7,SSW,6,1010.8,31.6,55,3,NE,13,1009.4
,2023-12-18,25.0,32.1,0,8.0,11.0,ENE,28,13:27,30.0,60,6,NNE,7,1015.6,29.9,60,2,NNE,11,1013.3
,2023-12-19,23.0,31.5,0,8.0,11.4,NNE,28,16:04,27.8,62,5,NNW,6,1015.9,29.5,55,1,ENE,13,1012.5
,2023-12-20,23.4,30.6,0,8.0,10.5,ENE,28,13:16,28.4,58,7,E,7,1013.0,28.5,61,7,NE,11,1009.4
,2023-12-21,23.9,27.9,0.2,9.0,0.0,S,28,18:03,26.0,77,8,SW,4,1011.9,27.0,65,8,ENE,11,1009.4
,2023-12-22,20.2,28.2,11.8,3.6,2.0,S,24,11:27,22.0,83,8,SW,6,1013.0,26.5,61,8,SW,7,1010.7
,2023-12-23,19.0,29.4,0.2,3.8,11.4,WSW,26,23:15,26.0,54,1,NNE,6,1013.5,27.6,58,2,ENE,13,1008.8
,2023-12-24,20.4,27.1,13.4,7.8,1.8,W,50,11:39,27.0,69,7,N,9,1008.5,20.2,89,8,NNW,7,1006.3
,2023-12-25,19.1,32.9,35.4,4.4,,W,39,21:03,26.6,70,7,W,4,1008.6,30.3,63,1,ENE,15,1005.0
,2023-12-26,21.1,32.3,7.8,8.4,8.7,SSE,50,16:35,28.1,66,3,WSW,6,1010.0,28.2,65,6,SE,9,1007.7
,2023-12-27,19.9,32.1,83.6,13.6,11.3,NE,24,19:02,27.7,67,4,N,6,1012.8,30.6,63,2,ENE,13,1008.3
,2023-12-28,21.7,36.1,0.2,6.6,13.0,NE,24,17:20,31.2,56,1,SW,4,1012.2,34.2,43,1,NE,9,1008.5
,2023-12-29,23.8,38.3,0,8.2,12.6,W,26,12:36,30.8,55,1, ,Calm,1011.8,34.5,35,6,NE,9,1008.2
,2023-12-30,25.7,27.8,0,8.6,0.0,SW,24,09:29,27.6,63,7,SSW,7,1011.1,23.6,83,8,NE,9,1009.3
,2023-12-31,19.9,30.4,5.8,4.6,11.5,SE,35,21:49,27.5,65,7,ENE,9,1014.9,29.9,57,4,ENE,11,1013.7
