"Daily Weather Observations for Brisbane, Queensland for January 2024"
"Prepared at 13:01 UTC on Sunday 10 November 2024   IDCJDW4019.202401"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-01-1,21.7,24.3,13.8,14.2,0.3,ESE,28,17:38,22.8,88,8,SSW,7,1019.7,23.5,87,8,SSE,6,1017.1
,2024-01-2,20.4,27.6,33.4,,0.0,SE,35,17:49,22.7,92,8,SE,6,1017.0,24.0,86,8,SE,7,1014.8
,2024-01-3,20.6,30.9,12.4,3.2,7.8,ESE,26,15:59,27.3,59,7,SSE,9,1014.9,30.1,51,7,SSE,6,1011.8
,2024-01-4,22.5,31.6,0,5.4,8.3,ENE,20,12:44,27.1,68,7,WSW,7,1014.3,30.0,59,7,E,11,1011.6
,2024-01-5,23.1,31.1,0,6.2,6.7,SE,28,23:17,27.9,64,7,SE,7,1015.4,28.4,59,7,ESE,15,1014.2
,2024-01-6,22.6,27.3,0.2,7.2,2.2,SE,35,10:32,26.4,61,8,S,9,1017.6,25.4,69,8,ESE,13,1016.8
,2024-01-7,21.1,28.7,0.2,6.0,9.6,ESE,30,14:33,27.1,62,7,SE,11,1018.5,27.3,60,7,E,13,1015.8
,2024-01-8,21.7,29.3,4.2,6.0,2.3,ENE,22,14:34,24.9,93,7, ,Calm,1015.8,26.1,86,7,E,6,1013.1
,2024-01-9,24.0,30.4,17.8,3.2,2.6,,,,27.0,80,8, ,Calm,1014.3,29.8,66,7,ENE,11,1010.9
,2024-01-10,23.9,32.1,1.6,3.4,8.0,NE,22,15:10,28.9,73,7,ESE,4,1014.3,29.6,67,6,ENE,11,1011.8
,2024-01-11,21.9,29.9,1.0,7.0,7.1,E,31,14:41,24.1,89,7, ,Calm,1016.0,29.3,54,7,ESE,15,1015.2
,2024-01-12,21.2,30.0,2.8,6.6,5.0,SE,39,14:04,24.3,83,8,SSE,9,1016.6,28.3,66,6,ESE,17,1014.4
,2024-01-13,22.3,30.9,26.6,6.0,8.1,SSE,30,08:53,26.5,74,7,SE,13,1013.9,30.3,60,1,ESE,13,1011.1
,2024-01-14,21.4,33.2,0.2,7.4,12.9,ESE,33,17:46,28.3,58,6,SSE,9,1013.1,31.2,54,1,ESE,11,1009.9
,2024-01-15,23.8,29.2,0.6,8.0,4.1,ENE,30,11:17,27.4,80,7,S,6,1012.0,27.6,76,7,ESE,9,1010.7
,2024-01-16,22.6,28.1,14.2,5.6,5.5,SE,26,13:59,28.1,73,4,SE,7,1011.8,24.5,86,7,ESE,9,1010.3
,2024-01-17,22.4,30.3,9.4,4.8,9.0,ENE,22,13:55,26.8,81,8,E,6,1010.5,29.0,68,7,ENE,11,1007.0
,2024-01-18,24.9,32.8,0.6,5.9,5.6,W,20,20:42,29.1,72,7, ,Calm,1007.3,31.6,65,7,NE,9,1003.2
,2024-01-19,23.3,34.0,19.8,5.4,11.7,ENE,19,14:26,29.3,73,7,SW,4,1007.0,32.7,65,7,NNE,7,1004.3
,2024-01-20,24.2,31.5,5.8,6.6,6.8,E,28,01:31,27.3,86,7,SE,6,1010.0,30.7,66,6,ENE,11,1007.6
,2024-01-21,24.6,33.5,0.4,6.4,11.2,ENE,20,14:28,29.3,75,5,WNW,4,1010.1,32.7,52,1,NNE,9,1006.9
,2024-01-22,24.6,35.7,0,8.4,10.8,E,35,17:15,31.7,66,0,ESE,4,1007.7,34.2,57,3,NE,11,1005.1
,2024-01-23,24.5,28.1,0,10.8,0.1,SE,24,11:57,25.8,69,8,SE,9,1012.5,26.4,66,7,SE,11,1011.4
,2024-01-24,21.7,30.0,0,5.6,12.5,ENE,26,13:42,27.8,62,4,ESE,11,1014.8,29.1,49,2,ENE,13,1012.7
,2024-01-25,20.8,31.8,0,9.2,12.7,NNE,24,16:20,28.1,62,5,NE,4,1014.5,31.1,53,1,NNE,7,1011.0
,2024-01-26,23.1,32.1,0,8.0,3.1,NE,24,13:56,28.2,70,7,WNW,2,1010.4,29.4,80,7,NNE,7,1006.0
,2024-01-27,27.2,34.9,0,4.4,9.6,NNE,30,14:56,32.0,65,7,WNW,4,1005.7,32.0,69,7,NNE,13,1002.3
,2024-01-28,24.4,29.8,61.6,8.0,2.0,SSW,31,02:56,24.6,97,8,SW,9,1007.9,28.0,82,7,ESE,4,1006.3
,2024-01-29,24.5,31.4,7.0,2.8,1.9,E,26,15:26,28.6,83,7,ESE,9,1011.0,30.6,72,7,E,11,1007.8
,2024-01-30,25.5,30.0,22.4,3.6,0.0,E,35,12:58,27.1,91,8,E,7,1009.6,28.0,77,8,ESE,6,1008.6
,2024-01-31,23.2,30.8,2.0,4.2,10.1,ESE,33,16:23,27.9,61,7,SE,9,1010.0,30.3,54,3,ESE,13,1007.9
