"Daily Weather Observations for Brisbane, Queensland for April 2024"
"Prepared at 16:01 UTC on Thursday  7 November 2024   IDCJDW4019.202404"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-04-1,20.3,25.8,0,4.0,1.6,E,26,13:53,24.5,68,8,SSE,6,1020.3,24.1,70,8,ESE,7,1017.6
,2024-04-2,20.1,28.6,3.6,3.0,10.6,NNE,17,17:50,25.2,76,1,SW,4,1019.0,28.0,61,1,NNE,7,1014.3
,2024-04-3,20.3,31.8,0.2,5.8,10.7,NE,20,14:43,26.6,71,1,S,4,1017.4,29.6,62,1,NNE,7,1014.4
,2024-04-4,22.6,28.6,0,5.4,7.7,E,26,12:15,26.6,71,7,E,7,1018.1,26.7,69,5,E,7,1015.7
,2024-04-5,19.9,26.2,6.2,3.4,0.6,SW,15,03:11,22.6,88,8,SE,4,1017.6,25.7,79,7,ENE,6,1014.0
,2024-04-6,19.5,30.3,3.2,0.6,9.2,WSW,26,12:40,23.6,77,7,W,9,1017.1,29.3,63,6,ENE,7,1012.8
,2024-04-7,22.2,29.7,9.4,4.4,5.3,W,24,10:23,23.3,94,7,W,6,1012.8,28.2,63,6,WNW,7,1008.4
,2024-04-8,21.4,30.5,0.6,4.2,7.4,W,15,11:30,24.7,69,7,SW,6,1012.0,30.0,40,7,NNW,4,1008.1
,2024-04-9,21.3,29.1,0,5.0,6.9,SW,24,16:29,23.7,74,7,WSW,7,1008.5,28.2,47,7,W,7,1004.8
,2024-04-10,16.4,27.2,0,8.4,11.0,WSW,33,09:39,19.7,49,0,W,17,1011.6,27.0,35,1,WSW,7,1009.7
,2024-04-11,15.6,27.7,0,6.4,10.8,SE,19,13:46,21.1,54,0,WSW,7,1017.7,26.7,39,1,ESE,2,1015.1
,2024-04-12,16.6,28.0,0,5.4,10.3,ENE,24,15:46,23.0,65,1,SSW,6,1020.1,27.1,45,2,SE,7,1016.7
,2024-04-13,17.1,27.3,0,5.4,10.7,NNE,22,13:43,22.6,68,1,SSW,6,1022.0,25.6,56,3,ENE,9,1019.1
,2024-04-14,17.5,28.1,0,5.0,10.6,NE,24,15:25,23.5,71,1,WSW,4,1023.7,26.4,54,1,NE,7,1020.9
,2024-04-15,17.6,28.3,0,5.2,10.7,ENE,17,16:22,22.4,72,6,SW,7,1024.8,26.9,56,2,ENE,9,1021.7
,2024-04-16,18.0,28.8,0,4.8,10.5,ENE,17,14:22,23.7,78,3,SW,6,1024.3,27.3,47,5,ENE,9,1019.9
,2024-04-17,18.0,27.3,0,4.4,2.5,E,22,15:22,22.3,79,7,SW,4,1022.8,25.7,60,7,ENE,11,1019.5
,2024-04-18,19.2,26.3,0,4.0,5.4,ENE,15,15:52,22.1,86,7,SSE,2,1018.9,24.7,72,7,ENE,6,1014.5
,2024-04-19,18.3,28.3,0,3.0,10.8,ENE,22,14:56,23.1,72,1,SW,6,1015.4,26.2,50,1,E,11,1013.1
,2024-04-20,17.1,25.7,0,5.6,4.1,SE,22,10:44,22.6,63,1,S,4,1018.5,22.0,65,7,WSW,6,1016.0
,2024-04-21,17.2,21.9,16.6,2.2,0.7,SE,28,11:58,19.7,87,7,SW,6,1019.7,19.9,89,7,S,7,1018.3
,2024-04-22,16.6,25.9,23.8,0.6,8.7,ESE,37,13:55,21.5,80,3,S,6,1023.2,24.3,58,7,ESE,19,1021.1
,2024-04-23,17.2,26.3,1.6,5.4,9.1,ESE,26,12:12,20.9,83,6,SSW,6,1023.8,24.1,62,6,E,13,1020.5
,2024-04-24,17.1,27.7,1.2,4.6,9.3,ENE,17,16:58,21.3,74,2,SW,7,1020.6,27.3,43,7,WSW,4,1016.5
,2024-04-25,16.1,28.6,0,3.4,7.7,S,20,12:31,20.1,83,6,SSW,6,1017.7,25.8,53,7,E,7,1014.4
,2024-04-26,18.6,24.3,0,4.6,2.2,E,26,12:07,21.4,70,7,SSW,6,1020.0,22.6,61,7,ESE,9,1018.5
,2024-04-27,16.0,25.5,0,3.8,10.0,E,22,16:01,20.9,67,1,SW,7,1023.9,23.4,60,1,ESE,9,1022.0
,2024-04-28,16.3,26.1,0,4.8,7.2,E,28,16:09,20.9,77,6,SW,4,1026.2,23.7,64,7,ESE,9,1022.8
,2024-04-29,16.4,26.0,0.4,4.2,10.2,E,22,12:58,21.7,74,1,WSW,4,1025.1,25.2,55,1,ESE,9,1021.6
,2024-04-30,16.1,26.4,0,6.2,9.9,E,20,14:11,20.8,73,2,SW,6,1022.7,24.1,67,3,ENE,7,1019.9
