"Daily Weather Observations for Brisbane, Queensland for August 2024"
"Prepared at 13:01 UTC on Tuesday 12 August 2025   IDCJDW4019.202408"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,8.0,21.9,0,4.4,10.2,SW,26,13:21,14.6,51,0,SW,7,1029.5,21.3,30,1,S,7,1024.9
,2024-08-2,7.1,22.4,0,4.0,10.2,SW,20,09:30,14.6,55,0,SW,7,1027.8,21.8,33,1,S,7,1023.6
,2024-08-3,9.2,23.3,0,4.2,10.2,E,19,15:41,14.9,64,0,SW,9,1028.8,21.4,48,2,E,9,1025.0
,2024-08-4,9.1,22.7,0,4.4,9.8,NE,20,13:38,14.9,72,1,SW,7,1028.7,20.9,44,7,NE,7,1025.0
,2024-08-5,12.7,21.9,0,3.6,2.8,E,19,14:26,16.4,67,7,WSW,6,1026.6,21.1,55,7,NNE,6,1022.9
,2024-08-6,13.7,23.0,0.8,2.6,5.3,W,30,12:07,16.0,86,7,SW,4,1023.0,22.8,52,2,W,9,1019.3
,2024-08-7,11.3,22.7,0,3.4,5.7,ENE,26,15:50,16.7,68,7,WSW,9,1025.4,20.5,56,7,ESE,9,1023.0
,2024-08-8,11.3,20.4,0,3.2,4.2,SE,28,14:50,14.9,76,7,SSW,4,1027.8,19.7,58,7,SE,13,1024.5
,2024-08-9,13.0,22.5,1.2,3.0,5.3,ENE,24,15:45,15.7,72,8,SSW,4,1027.1,21.7,52,5,E,13,1023.6
,2024-08-10,11.2,23.9,0.2,3.0,5.2,E,24,14:07,17.2,75,1,SSW,6,1026.3,21.5,57,7,ESE,9,1023.9
,2024-08-11,14.1,23.6,0,3.0,7.2,SE,31,12:14,18.8,66,1,SSW,6,1026.5,22.1,58,7,SSE,11,1023.5
,2024-08-12,15.2,21.2,6.6,3.0,1.2,NE,43,12:16,18.3,88,8,WSW,7,1025.8,19.6,89,8,ENE,6,1023.8
,2024-08-13,17.3,20.9,9.0,1.8,0.0,ENE,31,11:58,18.8,90,8,E,7,1025.4,19.7,83,8,E,9,1021.7
,2024-08-14,17.4,20.2,39.4,2.2,0.0,NE,26,00:54,17.8,96,8,NE,7,1019.5,19.8,85,8,NE,7,1016.0
,2024-08-15,17.6,25.6,12.8,1.2,5.6,SE,17,13:40,19.4,95,8,WSW,4,1016.6,23.6,75,5,SE,6,1012.7
,2024-08-16,18.3,27.6,0,1.8,9.8,WNW,22,15:03,21.4,79,5,W,7,1014.5,27.4,43,6,WNW,9,1010.5
,2024-08-17,12.2,29.5,0,2.6,10.7,W,44,15:51,20.5,70,0, ,Calm,1013.0,28.4,26,1,W,24,1007.0
,2024-08-18,10.2,25.1,0,8.6,10.9,W,33,12:45,18.9,45,0,W,7,1015.7,24.5,26,0,WSW,11,1012.7
,2024-08-19,11.4,24.0,0,7.6,10.2,E,22,15:19,18.3,62,1,S,7,1023.1,21.6,59,1,ENE,11,1021.4
,2024-08-20,14.0,23.2,1.2,4.2,8.3,NE,20,14:31,17.8,82,3,S,6,1026.6,22.0,65,6,NE,9,1022.6
,2024-08-21,13.7,24.9,0,2.8,10.1,NNE,26,15:22,17.9,88,1,SSW,2,1024.2,23.3,64,7,NNE,11,1019.8
,2024-08-22,14.2,25.9,0,4.0,10.3,NE,24,15:33,21.0,75,0, ,Calm,1022.0,24.8,64,1,NNE,7,1017.8
,2024-08-23,17.0,25.6,0,4.4,9.1,ESE,33,14:07,21.7,77,5,SSW,4,1023.4,23.3,50,2,E,13,1022.0
,2024-08-24,13.2,26.4,0,4.8,10.4,ENE,20,15:16,19.4,76,1,WSW,6,1024.4,24.1,55,1,ENE,9,1020.6
,2024-08-25,14.5,27.0,0,4.0,10.6,ENE,17,14:41,20.3,76,0,SSW,4,1020.2,25.6,62,0,ENE,11,1016.7
,2024-08-26,16.0,28.3,0,3.8,8.5,ENE,19,13:04,20.0,90,4, ,Calm,1019.3,25.4,66,2,NNE,7,1015.4
,2024-08-27,18.1,27.7,0,4.0,7.4,ENE,19,14:32,22.5,82,7,NE,2,1022.7,26.4,66,7,NNE,7,1018.4
,2024-08-28,19.3,29.5,0,3.6,9.9,NNE,26,15:42,24.1,68,1,NE,4,1020.6,27.3,61,0,NNE,9,1014.0
,2024-08-29,16.8,31.5,0,4.2,10.8,ENE,22,14:10,24.7,61,0, ,Calm,1015.8,27.7,58,0,NE,11,1010.9
,2024-08-30,13.0,29.8,0,5.6,11.0,NE,19,16:12,21.4,52,0,WSW,4,1014.3,28.2,61,0,NE,9,1008.5
,2024-08-31,16.0,32.9,0,4.4,11.0,ENE,19,13:23,27.0,53,0,ENE,2,1013.1,31.0,47,0,NE,9,1009.4
