"Daily Weather Observations for Brisbane, Queensland for October 2024"
"Prepared at 13:01 UTC on Thursday 14 November 2024   IDCJDW4019.202410"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-10-1,15.9,26.1,1.6,6.8,10.1,ENE,41,14:36,22.5,59,1,SW,7,1021.2,23.0,58,4,E,15,1018.4
,2024-10-2,15.2,24.6,0,7.0,8.9,E,39,14:46,22.5,52,7,SSE,11,1025.8,23.0,51,2,ESE,15,1023.6
,2024-10-3,14.1,24.1,0.2,6.0,7.9,E,35,14:18,20.4,53,7,SE,15,1027.4,22.7,45,3,ESE,13,1024.1
,2024-10-4,12.0,24.3,0.2,8.4,11.6,NE,22,14:12,20.2,53,1,SW,6,1022.9,23.4,43,1,NE,9,1016.8
,2024-10-5,13.2,28.7,0,7.8,11.0,NNE,28,16:24,23.5,54,1,N,7,1015.6,26.9,56,1,NE,11,1010.1
,2024-10-6,16.4,32.5,0,8.0,11.4,W,24,10:38,26.4,51,1,NE,2,1016.7,29.3,50,1,NNE,7,1013.5
,2024-10-7,17.8,32.0,0,6.0,10.1,NE,24,16:50,26.6,60,0,SW,4,1020.3,29.2,40,5,ENE,11,1016.4
,2024-10-8,20.1,31.3,0,7.0,7.0,WSW,30,16:01,26.8,67,6, ,Calm,1018.5,28.2,51,7,SE,13,1014.0
,2024-10-9,19.5,25.6,21.0,6.4,4.3,S,44,16:46,22.3,73,7,SE,13,1020.0,22.1,78,6,SE,11,1015.7
,2024-10-10,16.3,23.6,25.0,6.0,3.8,ESE,30,13:59,17.9,94,8,S,6,1021.0,21.9,67,7,ESE,11,1019.6
,2024-10-11,16.7,25.1,24.6,4.6,11.2,ESE,24,12:37,22.2,62,3,ENE,7,1024.0,23.8,52,3,NE,9,1021.0
,2024-10-12,15.0,27.2,0,5.6,10.8,ENE,22,13:07,22.9,62,1,SSW,2,1022.3,25.7,54,5,NNE,9,1017.5
,2024-10-13,17.2,22.4,8.0,6.0,0.3,ESE,33,11:28,17.7,93,7,ENE,7,1024.8,21.3,57,7,ESE,13,1022.0
,2024-10-14,16.8,24.5,0,4.6,6.4,NE,26,12:46,22.3,58,7,ENE,9,1023.2,23.6,53,7,ENE,9,1020.1
,2024-10-15,16.5,27.1,0,5.6,9.2,ESE,33,16:49,24.3,60,7,NNE,6,1021.7,24.7,59,1,NNE,9,1017.4
,2024-10-16,16.2,24.9,8.6,5.8,6.8,E,30,12:16,21.6,66,7,SE,6,1020.9,22.5,69,7,E,13,1017.4
,2024-10-17,18.0,27.4,0.8,4.8,11.6,ENE,22,13:02,22.9,68,2,NW,4,1018.7,26.0,57,1,NNE,7,1015.0
,2024-10-18,20.1,27.6,0,7.4,9.0,NE,30,15:20,26.5,56,2,NNE,6,1017.2,25.3,65,2,NE,13,1012.8
,2024-10-19,18.8,30.1,0,8.0,11.4,E,26,12:58,27.5,57,3,NE,4,1011.0,29.2,65,3,NE,9,1005.4
,2024-10-20,19.6,26.9,0,8.0,9.0,SE,28,06:50,23.8,65,7,ESE,11,1016.5,25.5,57,4,E,13,1014.2
,2024-10-21,19.8,28.2,0,7.2,9.5,ENE,22,13:48,24.3,60,7,SSW,7,1017.3,25.8,53,3,E,11,1013.1
,2024-10-22,17.7,27.9,0,6.8,10.7,ENE,20,16:03,24.2,53,3,ENE,4,1015.2,26.0,49,1,NE,9,1011.3
,2024-10-23,18.1,28.3,0,6.8,10.3,NNE,26,18:06,24.6,64,4,NNW,6,1013.9,27.3,61,3,NE,9,1009.2
,2024-10-24,22.1,31.6,0,7.2,6.1,NNW,28,19:53,26.0,66,4,SW,7,1011.4,27.2,66,7,NNE,7,1006.1
,2024-10-25,20.9,29.8,0,6.6,12.1,ENE,30,15:45,26.2,36,1,SSW,9,1012.1,26.0,49,1,E,13,1010.4
,2024-10-26,17.2,25.6,0,9.2,11.5,E,28,15:50,23.2,55,6,NE,6,1019.6,23.2,60,1,ENE,13,1016.7
,2024-10-27,18.9,26.8,1.4,7.4,7.4,NNE,30,16:36,24.4,64,7,NNE,6,1020.9,25.3,63,7,NNE,11,1018.2
,2024-10-28,18.8,27.1,5.0,6.8,2.1,S,37,17:55,19.7,81,8,WNW,2,1020.5,25.9,54,7,NNE,2,1016.2
,2024-10-29,15.6,29.2,12.6,4.6,12.0,E,26,14:22,24.6,60,1,S,6,1021.4,27.5,55,1,E,11,1017.3
,2024-10-30,20.2,26.9,0,6.6,9.6,ENE,24,14:49,23.9,67,6,ESE,6,1020.0,25.8,62,2,ENE,11,1015.1
,2024-10-31,19.1,29.4,0,6.6,9.4,NNE,37,16:02,25.5,60,4,NW,9,1014.2,25.9,74,6,NE,11,1007.9
