"Daily Weather Observations for Brisbane, Queensland for May 2025"
"Prepared at 13:01 UTC on Sunday 17 August 2025   IDCJDW4019.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,15.8,25.6,0,5.6,9.3,SW,22,11:12,21.0,59,1,SW,6,1021.6,24.6,47,2,SSE,6,1019.9
,2025-05-2,15.0,23.9,0,3.4,3.4,SSE,35,13:29,20.5,63,3,S,7,1026.4,22.6,52,7,SE,13,1024.6
,2025-05-3,15.3,24.9,0,3.6,9.1,ESE,37,15:26,20.5,68,1,SSW,7,1029.1,23.5,56,7,ESE,11,1026.9
,2025-05-4,15.7,25.0,15.8,4.8,9.1,SE,31,16:17,19.8,75,7,SSE,6,1029.6,23.7,54,4,E,15,1026.3
,2025-05-5,16.1,25.2,2.2,3.4,6.1,E,28,13:23,18.5,89,8,W,7,1026.8,23.9,61,3,E,11,1023.3
,2025-05-6,15.9,25.8,0.2,3.2,8.0,ESE,22,15:02,21.7,75,1,SW,6,1024.4,24.9,54,7,ESE,9,1020.5
,2025-05-7,15.4,26.0,0,5.0,10.1,ENE,20,11:33,20.4,73,1,SW,6,1021.4,24.7,49,2,SE,7,1018.0
,2025-05-8,15.0,27.8,0,4.0,9.7,ESE,26,14:34,20.7,71,1,SW,6,1021.3,26.2,39,6,SE,9,1018.6
,2025-05-9,17.4,24.2,2.0,4.4,6.7,SE,39,12:20,21.2,73,7,S,7,1026.1,22.5,56,6,SE,13,1024.2
,2025-05-10,15.7,22.2,2.0,4.8,3.6,S,33,11:00,18.6,75,7,SSE,6,1026.4,21.4,67,3,ESE,13,1023.0
,2025-05-11,15.6,22.2,7.0,1.8,3.2,SSE,24,09:51,18.6,91,7,SSW,4,1023.9,21.8,76,7,SE,9,1021.2
,2025-05-12,16.2,24.0,3.8,2.4,7.2,SE,24,12:40,19.9,86,6,SSW,6,1022.9,21.0,84,7,SSE,9,1020.3
,2025-05-13,16.7,25.5,2.2,2.6,5.4,ESE,24,15:43,20.7,77,7,SSW,7,1022.5,23.8,67,7,E,9,1019.5
,2025-05-14,18.2,24.1,3.4,4.0,0.0,SE,31,12:01,21.3,79,7,SSW,4,1020.1,22.5,66,8,ESE,6,1017.2
,2025-05-15,17.0,24.5,7.6,3.2,4.8,SW,17,13:47,18.5,84,8,WSW,6,1017.4,24.0,67,4,SW,7,1014.9
,2025-05-16,15.6,25.1,0.2,2.0,2.6,ENE,17,15:01,17.9,88,8,SW,6,1018.2,23.9,74,7,ENE,9,1013.8
,2025-05-17,17.8,26.3,3.8,1.4,5.4,WNW,17,13:08,18.7,92,7,N,4,1014.4,24.4,63,4,WSW,4,1012.0
,2025-05-18,15.6,26.0,0,1.8,9.6,SW,17,09:47,21.0,74,1,SSW,6,1017.0,23.0,66,3,ESE,7,1015.1
,2025-05-19,16.3,23.3,0,4.0,5.3,WSW,22,05:49,17.8,69,7,SW,7,1019.5,22.4,49,7,S,6,1017.8
,2025-05-20,14.8,25.0,0,3.4,7.4,SW,20,08:30,18.5,66,7,SW,7,1021.0,24.8,55,5,WSW,7,1017.9
,2025-05-21,15.0,26.6,0,4.0,10.0,W,17,09:45,20.5,73,1,SW,7,1019.5,25.9,52,1,WNW,6,1015.4
,2025-05-22,15.0,25.9,0,2.4,9.9,WSW,28,13:42,20.3,70,1,SW,4,1015.1,25.1,38,2,WNW,15,1010.7
,2025-05-23,11.6,25.6,0,6.0,10.0,W,24,13:27,20.3,59,1,SW,7,1015.3,25.2,39,1,W,7,1012.1
,2025-05-24,14.3,26.9,0,4.0,9.5,WNW,19,13:26,17.5,75,7,SW,4,1019.6,26.6,43,1,WNW,6,1016.2
,2025-05-25,15.2,27.6,0,2.8,9.4,SW,15,08:00,19.5,76,2,SSE,4,1020.5,26.3,55,5,NE,4,1017.8
,2025-05-26,17.0,27.4,0,2.8,9.4,N,17,21:39,21.2,79,7,WSW,4,1020.6,26.2,50,2,NE,7,1017.2
,2025-05-27,17.5,28.8,0,3.2,6.5,WSW,43,17:18,22.2,77,6,NW,6,1015.2,28.4,53,5,W,13,1010.0
,2025-05-28,14.4,22.8,0,7.0,9.6,W,28,04:24,17.5,42,7,WSW,9,1018.1,22.5,35,2,WNW,9,1014.1
,2025-05-29,15.0,22.4,0,5.8,1.8,WSW,17,11:47,17.0,61,7,SSW,7,1018.6,21.1,54,7,NE,2,1016.9
,2025-05-30,16.2,18.9,0.2,2.4,0.1,WSW,15,07:46,17.9,74,7,SW,6,1021.2,17.2,94,8,SW,2,1019.6
,2025-05-31,16.2,20.2,5.2,0.8,0.1,SE,26,11:23,17.7,90,7,SSW,4,1023.4,17.8,93,8,SE,6,1021.6
