"Daily Weather Observations for Cairns, Queensland for October 2023"
"Prepared at 13:01 UTC on Wednesday 13 November 2024   IDCJDW4024.202310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cairns Aero {station 031011}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-10-1,20.4,29.4,0.2,,,E,39,12:47,26.3,63,1,SE,19,1018.3,26.6,56,8,ESE,22,1015.2
,2023-10-2,19.9,30.2,0,,,ESE,31,13:51,25.5,67,4,SSE,13,1018.8,28.3,53,1,ESE,19,1015.2
,2023-10-3,21.4,30.5,0.2,,,E,33,14:39,26.3,65,3,SSE,15,1018.7,28.9,56,,E,24,1014.8
,2023-10-4,21.0,29.9,1.2,,,NE,31,14:05,26.2,74,,SSE,13,1018.0,29.1,60,7,ENE,20,1014.2
,2023-10-5,20.5,31.7,0,,,ENE,35,13:12,27.0,65,,SSE,13,1018.3,30.0,54,2,E,22,1014.0
,2023-10-6,20.5,,0,,,,,,27.9,61,,SSE,17,1017.6,30.3,57,,ESE,24,1013.8
,2023-10-7,23.0,30.8,,,,SE,41,14:27,27.4,66,2,SSE,20,1017.7,29.3,54,6,SE,22,1015.8
,2023-10-8,21.5,29.6,5.0,,,SE,56,11:11,27.2,59,8,SE,33,1020.0,27.7,54,8,ESE,33,1017.0
,2023-10-9,19.7,28.0,11.8,,,SE,52,14:25,20.8,87,8,SSE,15,1020.3,23.4,81,8,SE,22,1016.7
,2023-10-10,19.8,29.6,2.6,,,ESE,39,12:15,25.6,65,1,SSE,17,1019.0,27.9,51,,SE,26,1014.8
,2023-10-11,20.7,30.2,0,,,SE,48,10:01,26.3,63,5,SSE,20,1018.7,28.8,54,,ESE,26,1015.4
,2023-10-12,22.2,30.2,0,,,SE,56,15:33,27.5,60,1,SE,30,1019.7,28.4,48,,SE,31,1016.7
,2023-10-13,19.3,32.1,0,,,ENE,35,11:29,26.2,59,,SSE,15,1019.0,31.4,26,,SE,17,1014.5
,2023-10-14,17.7,31.3,0,,,ENE,28,12:58,26.0,57,,SE,6,1016.9,30.4,47,,NE,19,1013.1
,2023-10-15,19.0,31.4,0,,,SE,28,16:53,26.4,62,,SSE,11,1017.8,30.7,31,,ESE,15,1014.2
,2023-10-16,18.9,29.3,0,,,NE,35,13:19,26.1,60,,S,9,1016.6,28.3,55,,N,13,1013.8
,2023-10-17,17.0,28.8,0,,,SE,33,18:06,26.3,62,,E,6,1015.8,28.0,66,,NNE,9,1013.2
,2023-10-18,19.5,31.3,0,,,SE,48,14:11,26.9,61,,SSE,20,1018.3,29.8,53,,SE,31,1016.2
,2023-10-19,22.6,30.5,0,,,SE,43,14:17,27.2,57,8,ESE,24,1018.6,28.1,52,8,ESE,28,1014.5
,2023-10-20,19.4,30.7,0,,,ESE,35,13:36,26.8,55,,SSE,17,1017.0,29.9,44,,ESE,17,1013.5
,2023-10-21,19.6,30.8,0,,,E,35,13:24,27.0,59,1,SSE,13,1017.2,28.8,53,,E,22,1013.9
,2023-10-22,18.6,30.8,0,,,NE,35,14:07,27.2,53,1,SE,13,1017.5,29.4,47,,ENE,20,1012.9
,2023-10-23,18.5,29.2,0,,,NE,22,10:37,26.9,59,,ESE,4,1015.9,27.9,59,,NE,13,1012.2
,2023-10-24,19.5,29.4,0,,,ENE,24,11:42,27.5,60,,ENE,6,1016.0,27.6,62,,NNE,13,1012.4
,2023-10-25,20.0,30.5,0,,,ESE,43,10:45,27.2,62,1,SSE,9,1016.0,28.8,60,,NE,17,1012.3
,2023-10-26,20.5,31.7,0,,,ENE,41,11:40,26.3,59,5,WNW,4,1015.5,28.2,58,,NNE,15,1012.0
,2023-10-27,20.4,32.6,0,,,NE,37,13:23,27.6,55,,S,9,1016.5,31.1,49,,ENE,20,1012.6
,2023-10-28,23.1,31.8,0,,,SE,44,13:59,27.6,74,8,SE,17,1017.7,27.0,62,8,SE,31,1015.4
,2023-10-29,22.8,29.8,0,,,ESE,37,12:55,25.2,67,8,S,13,1017.7,27.2,52,8,SE,24,1015.1
,2023-10-30,22.3,30.9,0,,,SE,43,16:11,27.9,49,,SE,24,1017.4,29.3,43,,ESE,28,1013.4
,2023-10-31,18.9,31.2,0,,,E,35,13:48,27.3,51,,SSE,17,1017.9,29.4,47,,ENE,24,1013.7
