"Daily Weather Observations for Cairns, Queensland for June 2024"
"Prepared at 13:01 UTC on Tuesday  5 November 2024   IDCJDW4024.202406"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cairns Aero {station 031011}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-06-1,21.8,28.6,0.8,,,SSE,37,09:42,23.8,84,8,SSE,20,1018.8,27.9,69,1,E,20,1015.4
,2024-06-2,19.5,27.8,0,,,SSW,33,07:57,22.8,82,8,S,13,1016.9,26.4,69,,ENE,17,1012.6
,2024-06-3,19.2,26.4,0,,,S,33,08:00,23.6,68,,SSE,22,1015.4,25.6,58,,ESE,20,1012.0
,2024-06-4,18.5,27.7,0,,,SE,26,02:09,24.6,72,,ESE,13,1016.5,26.3,69,,ENE,17,1014.0
,2024-06-5,19.2,27.4,0,,,ENE,26,15:59,25.4,77,, ,Calm,1017.3,25.8,76,,NNE,15,1013.4
,2024-06-6,18.6,26.4,0,,,SE,35,10:37,22.9,66,,SSE,17,1017.6,25.8,53,,SE,15,1013.9
,2024-06-7,15.7,26.4,0,,,,,,21.0,62,,S,19,1016.8,24.5,58,,SE,13,1013.0
,2024-06-8,14.9,26.0,0,,,SE,33,12:07,21.8,56,,SSE,17,1017.4,25.0,53,,SE,22,1015.1
,2024-06-9,14.1,25.8,0,,,SSE,35,12:00,21.5,58,,S,11,1019.9,24.7,52,,ESE,26,1016.8
,2024-06-10,14.5,26.2,0,,,SE,37,12:44,20.4,65,,SE,20,1020.5,25.6,52,,SE,24,1016.8
,2024-06-11,14.9,27.1,0,,,SE,37,12:01,22.7,66,1,SSE,17,1019.8,26.5,53,,ESE,22,1016.6
,2024-06-12,14.9,27.7,0,,,SSE,30,11:20,21.2,67,,SE,15,1018.4,27.1,55,,ESE,13,1014.2
,2024-06-13,14.2,29.1,0,,,SE,33,16:27,21.2,73,,ENE,2,1016.2,27.8,36,,SE,19,1012.7
,2024-06-14,16.7,27.1,0,,,ESE,33,14:53,22.6,73,,S,17,1017.5,26.3,52,,E,19,1014.1
,2024-06-15,14.5,25.5,0,,,SE,26,03:36,20.5,77,,N,7,1017.0,24.2,68,,NNE,13,1013.1
,2024-06-16,14.7,28.3,0,,,ENE,26,13:14,21.6,71,,SW,6,1015.4,27.3,41,,ENE,15,1013.3
,2024-06-17,12.8,27.3,0,,,NE,26,13:35,21.3,66,,ENE,4,1016.7,26.5,38,,E,13,1013.4
,2024-06-18,12.0,27.3,0,,,E,31,15:04,21.0,56,,SE,15,1017.8,25.1,57,7,E,20,1014.6
,2024-06-19,14.7,26.8,0,,,E,30,12:37,22.0,73,,SE,7,1018.0,25.6,52,,SE,22,1015.0
,2024-06-20,16.3,27.6,0,,,SE,31,15:26,22.6,64,,S,19,1017.6,26.5,54,3,SE,19,1015.2
,2024-06-21,19.3,28.2,0,,,S,39,03:26,23.1,74,7,S,19,1018.1,27.4,55,,ESE,20,1015.4
,2024-06-22,21.6,27.9,0,,,SE,35,11:47,23.8,72,8,SSE,17,1018.0,25.1,66,8,SE,20,1014.9
,2024-06-23,20.2,28.5,0,,,SE,39,13:50,23.8,70,3,SSE,19,1016.7,27.2,61,,SE,30,1013.7
,2024-06-24,18.2,27.5,0,,,SE,41,14:06,23.7,70,,SSE,19,1015.8,24.9,66,8,SE,30,1013.7
,2024-06-25,20.5,26.6,0,,,SE,37,09:24,24.0,64,8,SE,24,1015.8,25.7,70,8,SE,22,1013.4
,2024-06-26,21.7,26.9,1.6,,,SSE,39,02:32,23.7,89,8,SSE,17,1017.3,24.2,95,8,SSE,13,1014.2
,2024-06-27,22.9,28.6,6.4,,,SE,28,15:36,25.1,93,8,SSE,7,1016.7,28.3,76,8,ESE,11,1014.0
,2024-06-28,23.0,27.9,4.6,,,SE,28,13:02,24.6,87,8,SSE,13,1017.9,26.4,75,8,ESE,17,1015.7
,2024-06-29,21.9,28.6,0.4,,,ESE,39,12:51,24.2,84,7,S,17,1019.3,27.5,66,6,ESE,19,1016.7
,2024-06-30,21.6,27.4,1.0,,,SE,35,10:54,25.1,76,,S,19,1018.7,25.7,75,8,S,13,1014.7
