"Daily Weather Observations for Cairns, Queensland for December 2024"
"Prepared at 13:01 UTC on Friday  8 August 2025   IDCJDW4024.202412"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cairns Aero {station 031011}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-12-1,25.1,32.3,1.4,,,SE,22,04:56,30.3,75,,SE,7,1009.6,28.7,80,4,ENE,9,1006.5
,2024-12-2,25.1,31.9,11.6,,,S,35,19:43,28.4,84,8,NNW,6,1008.5,29.5,75,6,NE,13,1005.0
,2024-12-3,24.1,31.3,45.8,,,NNE,26,11:25,29.0,73,7,NE,2,1009.5,29.8,68,,NNE,13,1005.8
,2024-12-4,24.0,31.0,41.2,,,SE,41,14:40,25.4,91,8,S,15,1010.2,24.3,95,,ESE,19,1008.4
,2024-12-5,23.1,29.6,87.2,,,ESE,39,17:42,26.7,84,7,SSE,19,1012.4,28.8,72,8,SE,22,1010.0
,2024-12-6,24.3,31.5,0.6,,,ESE,54,13:44,28.2,82,8,SSE,17,1012.0,29.0,82,8,SSE,17,1009.7
,2024-12-7,24.5,31.6,31.4,,,E,35,12:15,27.5,91,8,SSE,13,1011.7,31.1,69,3,SE,17,1008.8
,2024-12-8,24.7,32.3,13.4,,,E,30,13:56,28.2,88,8,S,15,1011.2,31.1,67,1,E,22,1007.8
,2024-12-9,,31.6,,,,,,,29.6,68,,SSE,13,1010.8,30.4,72,,NNE,20,1007.6
,2024-12-10,22.2,31.8,0,,,NE,39,12:25,28.7,67,,SSE,13,1010.2,31.5,51,,NE,20,1007.0
,2024-12-11,21.5,31.0,0,,,NNE,28,12:14,29.8,67,,N,7,1007.9,30.1,72,1,NNE,15,1003.9
,2024-12-12,23.5,31.5,144.6,,,,,,28.7,81,8,SE,9,1005.1,30.8,76,5,NNE,11,1001.6
,2024-12-13,23.4,31.5,,,,W,28,00:11,28.2,83,5,ESE,7,1006.1,30.3,74,6,NE,7,1002.6
,2024-12-14,23.7,31.6,13.2,,,W,28,20:58,28.0,74,6,SE,9,1007.2,30.3,78,1,NE,13,1003.6
,2024-12-15,24.5,33.1,0.6,,,NE,28,11:32,30.8,71,6,SE,13,1006.5,30.5,78,,NE,13,1003.6
,2024-12-16,25.2,32.4,0,,,NNE,26,11:49,31.2,72,,ESE,6,1006.2,31.7,78,1,NNE,15,1002.6
,2024-12-17,25.8,,,,,,,,31.1,74,,NNE,11,1004.8,30.2,80,3,N,17,1001.5
,2024-12-18,25.3,31.9,,,,,,,30.3,63,1,NNE,9,1004.1,29.9,77,7,NNE,15,1001.4
,2024-12-19,25.3,30.9,4.4,,,N,26,12:59,29.2,79,5,SSE,6,1005.1,27.1,88,8,N,13,1003.3
,2024-12-20,24.3,31.1,173.0,,,NNE,33,15:05,27.9,85,8,NNW,11,1003.8,30.1,79,1,N,22,1000.0
,2024-12-21,25.4,31.1,1.2,,,S,43,19:41,30.1,80,1,SSE,7,1003.6,29.0,85,8,ENE,15,1000.9
,2024-12-22,25.1,31.5,,,,,,,29.3,78,8,SE,15,1004.9,27.0,89,8,S,20,1001.6
,2024-12-23,24.4,31.8,21.8,,,SSE,30,02:49,29.5,76,,SSE,15,1005.2,30.3,76,1,NE,13,1003.2
,2024-12-24,23.9,32.0,3.6,,,W,30,23:00,30.0,78,,NNE,7,1007.0,30.0,79,8,N,15,1004.9
,2024-12-25,23.3,33.7,0,,,E,39,13:51,30.4,68,,SSE,13,1010.6,32.7,67,1,E,24,1009.5
,2024-12-26,23.9,31.2,0,,,SE,31,12:09,28.5,76,8,SSE,13,1013.6,29.8,75,8,NE,13,1010.7
,2024-12-27,24.0,31.1,0,,,NE,31,12:58,29.9,71,,SE,11,1012.2,29.4,70,8,NE,15,1008.9
,2024-12-28,24.3,31.2,0,,,NE,30,12:42,28.8,71,7, ,Calm,1011.2,30.6,68,2,NE,15,1008.1
,2024-12-29,23.1,32.0,0,,,N,26,14:17,28.9,70,,SE,11,1011.4,31.6,65,,NNE,15,1008.6
,2024-12-30,25.5,31.8,0,,,NNE,26,12:36,30.2,75,8,SE,9,1012.4,30.2,71,6,NE,13,1010.0
,2024-12-31,25.2,31.8,0,,,ENE,31,11:44,29.6,73,8,SE,11,1011.3,29.7,69,8,NNE,15,1007.7
