"Daily Weather Observations for Cairns, Queensland for March 2025"
"Prepared at 13:01 UTC on Tuesday 19 August 2025   IDCJDW4024.202503"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cairns Aero {station 031011}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-03-1,20.6,30.6,0,,,ENE,28,13:05,27.7,68,,NE,6,1011.2,29.7,67,,NE,15,1008.0
,2025-03-2,20.7,32.8,0,,,NE,26,12:29,27.3,73,,ESE,9,1010.7,30.8,59,,NNE,15,1006.9
,2025-03-3,21.4,31.4,0,,,N,28,11:38,28.5,67,,SE,11,1010.3,30.4,66,,NNE,13,1007.6
,2025-03-4,21.5,31.8,0,,,ENE,31,17:08,28.9,71,,SE,11,1011.6,30.9,72,,NE,13,1008.7
,2025-03-5,23.1,31.0,0,,,NE,26,10:38,28.9,71,,S,13,1011.7,30.0,66,,NNE,13,1009.0
,2025-03-6,21.8,31.2,0,,,NNE,28,11:37,28.8,70,,S,4,1010.2,30.0,70,,NNE,13,1006.8
,2025-03-7,23.0,32.3,0,,,NNE,24,14:59,29.7,70,,SSE,9,1010.0,31.5,66,,NNE,17,1007.6
,2025-03-8,24.7,31.9,6.0,,,ENE,26,12:15,29.1,82,1,SE,9,1011.3,31.1,74,,ENE,15,1008.5
,2025-03-9,25.6,32.3,4.4,,,NNE,28,14:57,29.9,79,,SE,11,1013.0,31.4,75,2,NE,15,1009.8
,2025-03-10,25.4,32.3,0.6,,,S,31,22:21,29.9,75,,S,11,1012.9,31.0,70,3,NE,13,1010.0
,2025-03-11,24.5,32.3,6.6,,,S,37,23:52,27.8,87,,SSE,17,1012.0,30.8,72,8,E,20,1009.0
,2025-03-12,23.6,32.3,6.4,,,SSE,39,15:44,27.1,80,7,S,17,1012.2,29.3,77,8,S,20,1009.5
,2025-03-13,24.1,32.4,6.4,,,E,33,15:00,28.2,73,1,S,13,1012.2,31.8,58,,E,24,1009.3
,2025-03-14,24.0,27.9,0.2,,,S,44,18:09,27.1,80,8,S,24,1012.4,24.5,97,8,S,15,1010.8
,2025-03-15,23.2,26.0,106.0,,,S,52,07:58,23.7,95,8,S,11,1014.2,25.1,90,8,S,20,1011.2
,2025-03-16,22.5,27.7,90.2,,,ESE,39,04:08,25.8,86,8,S,20,1012.0,25.2,90,8,S,17,1008.7
,2025-03-17,23.1,25.0,63.4,,,S,37,17:19,24.3,92,8,S,15,1010.9,24.3,93,8,S,19,1008.0
,2025-03-18,23.6,27.2,51.8,,,S,35,05:40,24.2,95,8,S,17,1011.1,24.9,94,8,S,17,1009.3
,2025-03-19,23.6,31.4,40.6,,,SE,31,15:38,27.1,83,8,S,4,1013.0,30.6,74,7,E,15,1010.0
,2025-03-20,24.2,30.9,18.4,,,ESE,35,13:11,26.6,87,8,S,20,1014.3,27.4,84,7,ESE,22,1012.2
,2025-03-21,24.6,32.3,0.2,,,SE,39,15:31,28.8,75,4,S,17,1013.5,32.0,67,3,SE,24,1009.9
,2025-03-22,24.5,32.3,1.2,,,E,35,14:38,28.3,78,1,S,11,1012.5,31.8,61,1,ESE,19,1007.6
,2025-03-23,23.5,32.8,0,,,S,31,10:22,28.6,75,5,S,11,1011.0,29.4,78,8,S,6,1007.3
,2025-03-24,24.1,29.8,49.6,,,S,28,06:30,25.1,94,8,SSE,11,1009.8,29.5,80,8,ENE,9,1005.9
,2025-03-25,24.0,30.1,11.2,,,NNE,26,11:48,26.8,88,2,SSE,7,1008.5,29.1,79,,NE,11,1005.1
,2025-03-26,24.8,29.6,7.4,,,ESE,24,08:29,27.0,93,8,SSW,11,1008.3,28.8,85,8,S,6,1005.6
,2025-03-27,24.7,29.4,24.0,,,S,28,09:27,25.9,93,8,S,15,1008.5,29.1,80,7,ENE,9,1005.9
,2025-03-28,23.4,30.0,55.8,,,,,,26.3,91,8,SSE,9,1008.9,29.5,81,5,ENE,17,1007.2
,2025-03-29,24.3,31.1,0,,,NNE,20,12:51,28.9,81,7,SE,9,1010.4,29.9,77,1,NE,13,1006.6
,2025-03-30,24.9,31.3,2.0,,,N,26,13:48,28.7,79,7,W,7,1009.5,30.8,74,8,N,20,1005.5
,2025-03-31,24.8,32.0,0,,,N,26,11:17,29.5,80,1,WSW,7,1008.0,29.3,80,4,NNW,9,1004.8
