"Daily Weather Observations for Gold Coast, Queensland for January 2024"
"Prepared at 13:01 UTC on Sunday 10 November 2024   IDCJDW4050.202401"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the Gold Coast Seaway, at the northern end of Southport Spit."
"The Gold Coast Seaway site is an Automatic Weather Station (AWS) at the northern end of Southport Spit. If you are interested in the southern end of the Gold Coast, see the observations from Coolangatta."
"Observations were drawn from Gold Coast Seaway {station 040764}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-01-1,22.1,25.1,26.0,,,SE,56,16:39,24.0,90,,SE,37,1019.2,24.3,88,,ESE,28,1017.5
,2024-01-2,21.4,27.9,31.8,,,SE,57,05:46,24.9,82,,SE,43,1017.1,25.0,80,,SE,33,1015.2
,2024-01-3,22.5,29.7,0.6,,,SE,50,15:58,27.5,66,,SSE,20,1014.7,26.3,81,,SE,30,1012.6
,2024-01-4,22.4,28.3,0,,,ESE,30,12:53,28.1,74,,SSE,17,1014.3,27.4,80,,ESE,20,1012.3
,2024-01-5,22.7,29.5,0,,,SSE,56,22:02,27.1,73,,S,19,1015.5,27.5,75,,SE,19,1014.5
,2024-01-6,22.1,25.8,1.8,,,SE,52,17:12,23.8,80,,SSE,31,1018.1,24.3,79,,SSE,24,1017.3
,2024-01-7,22.2,27.4,0,,,SE,43,10:54,25.0,70,,SSE,20,1018.7,23.5,90,,SSE,20,1016.8
,2024-01-8,21.4,27.4,29.0,,,NE,33,13:03,25.6,88,,SSW,7,1015.8,26.6,85,,NE,22,1013.6
,2024-01-9,23.2,28.9,16.8,,,NE,28,15:35,25.3,88,,WNW,9,1014.6,28.8,78,,NE,22,1011.1
,2024-01-10,22.7,29.0,15.6,,,ENE,44,03:11,27.0,85,,E,6,1013.9,27.0,82,,E,19,1012.6
,2024-01-11,22.5,28.5,0,,,SE,46,21:43,26.3,81,,SSE,26,1016.1,27.4,74,,SE,28,1015.8
,2024-01-12,22.9,28.3,0.6,,,SE,56,19:48,23.1,93,,S,24,1016.6,26.7,79,,SSE,35,1014.7
,2024-01-13,22.8,28.6,4.4,,,SE,50,16:20,26.6,80,,SSE,31,1014.1,27.1,72,,SE,39,1011.9
,2024-01-14,22.8,30.6,0.2,,,SSE,63,15:16,28.4,63,,SSE,20,1012.8,27.9,76,,SE,43,1010.7
,2024-01-15,23.9,29.8,1.4,,,ESE,48,19:38,27.0,85,,SSE,19,1012.7,25.4,87,,ESE,31,1011.4
,2024-01-16,22.2,27.4,54.8,,,SE,54,13:55,26.2,82,,ESE,31,1012.1,23.7,91,,SE,35,1010.9
,2024-01-17,22.5,29.1,17.8,,,SE,24,00:01,27.1,84,,SSE,13,1010.6,28.4,79,,ENE,17,1007.4
,2024-01-18,25.0,30.1,0.4,,,WNW,30,20:26,27.6,79,,NNW,13,1007.0,29.2,79,,NNE,19,1003.6
,2024-01-19,23.1,33.1,7.0,,,NE,33,12:05,28.5,79,,NE,13,1006.6,30.9,77,,NE,22,1004.6
,2024-01-20,24.1,30.6,1.0,,,SE,43,11:44,28.5,78,,SSE,24,1010.1,27.4,86,,SE,28,1008.7
,2024-01-21,23.7,32.0,0.8,,,NNE,35,14:29,28.4,83,,ENE,11,1009.9,31.1,66,,NNE,24,1007.0
,2024-01-22,25.8,34.5,0,,,SE,54,14:18,31.1,69,,NNW,13,1007.1,27.6,82,,SSE,39,1007.1
,2024-01-23,23.2,27.0,0,,,S,52,03:32,26.0,73,,SSE,24,1012.6,26.0,71,,SSE,24,1012.0
,2024-01-24,22.8,28.2,0,,,SE,37,09:27,26.6,67,,SE,28,1015.2,26.8,64,,ESE,20,1013.3
,2024-01-25,21.0,31.3,0,,,NNE,37,15:43,28.2,68,,NE,11,1014.3,29.0,68,,NE,28,1011.3
,2024-01-26,22.8,31.2,0,,,NNE,31,14:13,28.9,68,,NNW,13,1010.2,28.1,84,,NNE,19,1006.3
,2024-01-27,26.8,33.1,0.2,,,SSE,37,23:22,30.1,74,,NW,15,1005.6,29.1,81,,NNE,19,1002.7
,2024-01-28,24.5,28.4,18.8,,,SSE,39,01:52,25.4,95,,WSW,7,1007.2,26.8,91,,SE,19,1006.5
,2024-01-29,25.3,28.8,7.2,,,ESE,33,21:19,28.4,92,,SE,11,1011.1,27.1,89,,ESE,20,1008.5
,2024-01-30,25.5,28.5,9.6,,,SE,43,18:18,27.6,88,,SE,26,1010.2,28.3,79,,SE,30,1009.1
,2024-01-31,24.6,28.7,0,,,SE,52,13:14,27.0,68,,SSE,33,1010.2,27.9,70,,SE,37,1009.0
