"Daily Weather Observations for Gold Coast, Queensland for April 2024"
"Prepared at 16:01 UTC on Thursday  7 November 2024   IDCJDW4050.202404"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the Gold Coast Seaway, at the northern end of Southport Spit."
"The Gold Coast Seaway site is an Automatic Weather Station (AWS) at the northern end of Southport Spit. If you are interested in the southern end of the Gold Coast, see the observations from Coolangatta."
"Observations were drawn from Gold Coast Seaway {station 040764}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-04-1,21.6,26.3,0,,,SE,41,14:19,22.5,81,,SSE,19,1020.6,23.0,80,,SE,28,1018.0
,2024-04-2,20.3,29.0,2.0,,,NNE,31,16:14,25.2,73,,NNW,2,1018.7,28.1,67,,NNE,22,1014.3
,2024-04-3,20.5,30.1,0,,,NE,31,13:52,26.4,71,,NW,13,1016.9,27.1,77,,NE,24,1014.5
,2024-04-4,21.7,27.8,9.0,,,SSE,39,19:58,24.8,84,,SSE,13,1018.6,23.6,89,,SE,6,1016.5
,2024-04-5,20.4,26.4,31.0,,,S,28,01:25,21.3,96,,S,17,1017.9,23.2,93,,WNW,7,1014.4
,2024-04-6,21.2,27.5,7.8,,,E,30,19:32,25.8,79,,E,6,1016.6,26.8,80,,E,19,1013.4
,2024-04-7,21.8,28.8,24.8,,,NNE,41,04:43,22.7,95,,NW,11,1012.7,26.9,76,,NNE,13,1008.2
,2024-04-8,21.8,27.8,0.2,,,E,24,14:32,25.5,72,,SSE,7,1011.4,26.5,62,,E,19,1008.4
,2024-04-9,21.3,26.5,0.2,,,SE,28,12:07,24.8,68,,SW,4,1008.1,26.0,73,,SE,17,1004.7
,2024-04-10,17.5,26.9,0,,,W,37,02:32,21.6,41,,W,11,1010.1,26.3,43,,S,19,1009.6
,2024-04-11,15.7,25.9,0,,,SE,39,15:03,23.7,54,,SSE,15,1017.3,24.8,66,,SE,31,1015.4
,2024-04-12,18.5,26.3,0,,,SE,41,15:21,23.6,64,,SSE,22,1019.8,24.4,66,,SE,31,1017.3
,2024-04-13,17.1,25.3,0,,,E,24,14:07,23.7,72,,SSE,9,1021.8,23.5,74,,E,17,1019.4
,2024-04-14,19.6,26.0,0,,,ENE,20,12:57,24.5,62,,WNW,6,1023.4,24.9,63,,ENE,15,1021.2
,2024-04-15,18.3,26.6,0,,,ENE,22,14:28,24.2,65,,WSW,7,1024.4,25.2,70,,ENE,19,1021.9
,2024-04-16,18.8,27.5,0,,,NE,28,14:46,24.8,60,,NW,7,1023.9,25.3,69,,NE,22,1020.2
,2024-04-17,19.0,27.1,0,,,SE,30,12:49,25.2,68,,SSE,11,1022.7,25.5,74,,SE,22,1019.7
,2024-04-18,19.4,26.3,1.6,,,W,24,22:21,24.3,85,,NE,17,1018.7,24.8,77,,NNE,13,1014.5
,2024-04-19,16.9,24.7,6.8,,,ESE,31,12:39,22.0,84,,SE,4,1015.5,24.1,65,,ESE,20,1013.8
,2024-04-20,16.9,24.7,0,,,SSE,39,11:00,23.1,62,,S,17,1018.3,21.5,64,,SSW,19,1016.2
,2024-04-21,17.2,23.8,27.8,,,SE,72,12:28,20.8,84,,S,19,1019.7,23.1,72,,SE,43,1018.4
,2024-04-22,18.8,24.6,20.0,,,SE,69,13:25,23.8,66,,SE,43,1023.1,23.7,67,,SE,39,1021.3
,2024-04-23,18.4,25.3,9.8,,,ESE,50,14:50,21.4,86,,S,15,1023.6,22.4,77,,ESE,37,1021.0
,2024-04-24,16.7,25.1,4.0,,,E,24,13:10,23.0,70,,WSW,7,1020.0,23.8,69,,SE,15,1016.9
,2024-04-25,15.1,26.4,0,,,SE,43,14:54,22.1,64,,W,6,1016.8,23.2,71,,SE,31,1014.5
,2024-04-26,18.7,23.6,0,,,SSE,46,09:37,21.2,73,,SSE,20,1020.1,22.4,63,,SSE,22,1018.7
,2024-04-27,17.0,24.4,0,,,SE,43,12:25,21.3,67,,S,20,1023.9,22.4,71,,SSE,24,1022.6
,2024-04-28,18.3,24.8,0,,,SE,48,11:20,22.7,71,,S,19,1025.8,23.4,70,,SE,26,1023.1
,2024-04-29,16.8,25.0,0.8,,,SE,31,06:13,22.5,72,,SSE,15,1024.9,23.3,66,,SE,24,1021.7
,2024-04-30,17.0,24.7,0,,,ESE,22,13:29,22.8,67,,SSE,11,1022.5,23.7,65,,ESE,17,1020.0
