"Daily Weather Observations for Gold Coast, Queensland for May 2025"
"Prepared at 13:01 UTC on Sunday 17 August 2025   IDCJDW4050.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the Gold Coast Seaway, at the northern end of Southport Spit."
"The Gold Coast Seaway site is an Automatic Weather Station (AWS) at the northern end of Southport Spit. If you are interested in the southern end of the Gold Coast, see the observations from Coolangatta."
"Observations were drawn from Gold Coast Seaway {station 040764}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,17.0,23.1,2.2,,,SSW,43,09:14,20.5,60,,S,24,1021.3,22.4,53,,S,17,1020.3
,2025-05-2,16.2,23.0,1.6,,,SE,48,14:48,17.3,84,,S,17,1026.2,22.1,66,,SSE,35,1024.6
,2025-05-3,16.7,23.9,0,,,SE,65,13:38,21.3,67,,S,19,1028.9,21.5,76,,SSE,33,1027.3
,2025-05-4,16.9,24.1,20.2,,,SE,56,13:22,20.9,73,,S,19,1029.5,22.8,63,,SE,33,1026.6
,2025-05-5,19.9,24.1,1.6,,,ESE,48,01:44,23.0,65,,ESE,33,1026.7,23.1,67,,ESE,30,1023.6
,2025-05-6,18.0,24.5,0.8,,,SE,33,12:01,22.3,78,,SSE,20,1024.3,23.5,67,,SE,26,1021.0
,2025-05-7,16.4,24.8,1.0,,,SE,35,13:08,22.0,72,,SSE,19,1021.1,23.3,67,,SE,26,1018.3
,2025-05-8,15.5,25.5,0,,,SSE,46,15:49,21.4,60,,WNW,4,1021.0,25.0,55,,SSE,26,1018.9
,2025-05-9,17.4,22.7,16.2,,,ESE,69,01:41,18.3,85,,S,22,1026.4,20.7,79,,S,20,1024.2
,2025-05-10,16.4,22.3,11.8,,,SE,65,19:16,18.9,80,,S,28,1026.3,20.4,79,,SSE,35,1023.1
,2025-05-11,17.4,22.9,15.6,,,ESE,59,04:05,21.8,70,,SE,35,1023.7,21.4,76,,ESE,44,1021.3
,2025-05-12,17.2,22.9,9.6,,,SE,52,10:37,19.3,93,,SSE,19,1023.0,20.3,93,,SSW,6,1020.1
,2025-05-13,17.2,24.7,8.2,,,SE,44,18:48,21.8,77,,S,17,1022.2,22.5,77,,SE,24,1019.7
,2025-05-14,19.5,24.0,6.4,,,SSE,43,15:05,21.5,78,,SSE,20,1020.2,22.2,71,,SSE,28,1017.1
,2025-05-15,17.4,24.8,7.8,,,SSW,37,00:54,20.5,76,,S,20,1016.7,23.7,63,,SW,7,1014.5
,2025-05-16,16.0,24.0,0,,,SE,31,23:49,19.6,84,,SW,6,1017.7,22.3,79,,E,11,1014.2
,2025-05-17,17.9,23.4,33.4,,,SSE,28,00:03,18.9,91,, ,Calm,1014.0,21.7,80,,E,15,1012.0
,2025-05-18,15.2,24.0,0.6,,,SSE,43,17:44,21.2,75,,SSW,11,1016.7,23.2,64,,SSE,15,1015.3
,2025-05-19,16.7,21.2,0,,,S,33,02:43,19.5,58,,S,15,1019.2,20.7,57,,S,15,1018.0
,2025-05-20,13.9,25.0,0,,,ESE,35,15:45,21.2,67,,SSW,11,1020.3,23.1,70,,SE,20,1017.9
,2025-05-21,15.1,24.4,0,,,SE,30,18:00,21.9,72,,SSW,9,1019.0,23.1,74,,ESE,19,1015.4
,2025-05-22,14.0,25.6,0,,,W,33,12:54,20.0,79,,NW,4,1014.4,25.4,38,,W,15,1010.0
,2025-05-23,15.6,25.4,0.2,,,WNW,24,02:27,19.9,59,,NW,13,1014.5,25.0,47,,WNW,9,1011.3
,2025-05-24,16.0,25.9,0,,,NW,22,00:25,18.4,73,,NW,2,1018.8,25.1,49,,NW,13,1015.7
,2025-05-25,14.1,28.1,0,,,NNE,24,14:32,21.9,67,,W,11,1020.3,24.9,69,,NNE,17,1017.5
,2025-05-26,16.7,24.2,0,,,ESE,17,12:08,21.1,85,,SSW,6,1020.5,23.7,82,,SE,13,1017.4
,2025-05-27,19.4,27.1,0,,,W,50,19:49,21.8,78,,NW,20,1014.8,26.2,62,,NW,19,1009.2
,2025-05-28,12.2,23.2,0,,,W,41,01:06,18.3,39,,WSW,9,1017.2,22.4,36,,NW,15,1013.3
,2025-05-29,14.8,22.4,0,,,SSE,30,12:02,18.3,64,,SSW,4,1018.5,20.7,55,,SSE,19,1016.0
,2025-05-30,15.5,19.6,0.4,,,S,35,10:34,17.5,82,,SSW,9,1021.4,17.1,92,,S,13,1019.6
,2025-05-31,16.4,20.8,31.6,,,SE,63,13:47,18.3,95,,SSE,22,1023.5,18.1,89,,SSE,35,1022.0
