"Daily Weather Observations for Gold Coast, Queensland for August 2025"
"Prepared at 13:01 UTC on Monday  1 September 2025   IDCJDW4050.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the Gold Coast Seaway, at the northern end of Southport Spit."
"The Gold Coast Seaway site is an Automatic Weather Station (AWS) at the northern end of Southport Spit. If you are interested in the southern end of the Gold Coast, see the observations from Coolangatta."
"Observations were drawn from Gold Coast Seaway {station 040764}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,14.2,20.6,0,,,SE,44,16:25,16.2,68,,SSW,15,1019.1,19.9,63,,SSE,24,1015.1
,2025-08-2,12.9,18.9,3.0,,,WNW,54,17:11,15.7,66,,NW,15,1013.2,17.3,38,,WNW,26,1009.2
,2025-08-3,9.0,21.4,0,,,SW,52,15:13,13.1,63,,W,13,1009.2,20.9,57,,SW,26,1007.4
,2025-08-4,13.1,23.1,0,,,S,41,12:33,20.4,66,,S,13,1017.3,21.4,59,,S,15,1015.7
,2025-08-5,10.8,22.1,0,,,E,24,15:13,18.5,70,,W,4,1018.5,21.1,67,,E,19,1015.4
,2025-08-6,13.3,22.7,0,,,SE,33,16:30,19.1,64,,SW,7,1019.8,21.5,53,,SE,20,1017.2
,2025-08-7,14.3,21.8,0,,,SE,44,11:57,19.8,62,,S,20,1023.1,19.8,60,,SE,31,1022.2
,2025-08-8,16.8,20.1,0,,,SE,57,10:35,19.2,68,,SE,39,1026.8,18.9,60,,SE,39,1024.5
,2025-08-9,14.9,20.2,3.2,,,SE,63,14:58,16.9,82,,SSE,26,1025.2,18.2,73,,SE,48,1021.7
,2025-08-10,13.8,20.6,6.0,,,SE,48,14:10,17.0,78,,S,17,1022.8,17.6,82,,SSE,30,1020.8
,2025-08-11,13.1,21.1,7.0,,,SSE,41,14:48,17.9,65,,S,17,1023.9,19.3,60,,SSE,26,1021.7
,2025-08-12,11.9,21.1,0,,,SE,35,14:48,18.0,65,,S,11,1024.8,19.1,67,,SE,30,1022.0
,2025-08-13,12.3,21.0,0,,,W,48,19:41,18.6,74,,SSE,15,1025.1,18.2,72,,E,20,1021.9
,2025-08-14,11.4,20.1,6.4,,,SE,39,12:24,16.9,63,,SSW,11,1022.3,18.3,56,,S,19,1019.4
,2025-08-15,11.8,21.8,0,,,SE,39,14:52,17.8,62,,SSW,17,1019.6,18.9,68,,SE,31,1016.2
,2025-08-16,11.1,23.5,0,,,W,30,11:01,17.6,70,,NW,17,1016.9,23.1,37,,WNW,17,1012.6
,2025-08-17,8.8,20.9,0,,,ESE,30,17:37,18.5,47,,SSW,11,1017.7,19.9,55,,ENE,15,1015.2
,2025-08-18,11.4,20.7,0,,,SE,43,19:23,17.5,56,,S,20,1022.1,18.6,59,,SE,30,1021.4
,2025-08-19,13.2,17.0,0,,,SE,48,19:15,15.4,65,,S,17,1027.4,16.6,67,,SSE,20,1025.3
,2025-08-20,13.4,19.5,11.4,,,NE,39,00:00,14.6,91,,WNW,6,1027.0,16.5,89,,S,11,1023.3
,2025-08-21,14.6,19.1,28.0,,,ENE,48,00:22,16.1,94,,WSW,2,1025.2,17.7,90,,W,2,1021.6
,2025-08-22,13.4,21.1,41.2,,,ENE,20,13:55,17.4,89,,WSW,4,1022.1,20.5,81,,ENE,13,1017.6
,2025-08-23,11.5,21.9,0.2,,,SSE,35,17:43,18.1,67,,SE,7,1018.6,20.7,60,,SE,20,1015.2
,2025-08-24,15.1,23.0,0.2,,,SE,41,13:57,20.5,60,,S,15,1019.5,20.4,71,,SE,33,1015.9
,2025-08-25,11.3,23.9,0,,,S,41,16:05,19.4,51,,SW,11,1016.9,23.0,48,,SSE,20,1013.9
,2025-08-26,16.5,23.0,0,,,S,30,03:09,21.1,70,,SSE,13,1018.6,21.6,59,,ESE,17,1015.1
,2025-08-27,13.0,24.8,0,,,NW,37,09:26,19.5,68,,NW,19,1013.2,24.0,60,,N,15,1007.0
,2025-08-28,15.6,26.5,0,,,W,43,13:51,22.8,40,,WSW,13,1011.1,26.0,23,,W,20,1008.1
,2025-08-29,12.4,24.7,0,,,W,35,10:04,19.7,38,,NW,9,1015.0,21.7,46,,NE,28,1010.1
,2025-08-30,9.5,21.0,0,,,W,54,15:19,18.1,33,,W,20,1014.4,20.5,20,,W,24,1014.3
,2025-08-31,9.6,21.9,0,,,SE,37,13:47,18.2,44,,SSW,11,1025.1,19.6,59,,SE,31,1022.5
