"Daily Weather Observations for Richmond Airport, Queensland for October 2023"
"Prepared at 13:02 UTC on Wednesday 13 November 2024   IDCJDW4100.202310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Richmod Airport, but cloud and evaporation data from Richmond Post Office."
"Temperature, humidity, wind, pressure and rainfall observations are from Richmond Airport {station 030161}"
"Cloud and evaporation observations are from Richmond Post Office {station 030045}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-10-1,17.4,35.6,0,,,SE,39,13:09,27.5,35,,NE,19,1016.8,33.8,16,,SSE,15,1011.8
,2023-10-2,13.9,35.9,0,30.4,,E,41,12:46,27.0,40,,ENE,13,1018.0,34.1,19,,E,20,1012.0
,2023-10-3,16.2,35.9,0,9.8,,WNW,30,14:14,26.9,47,,NNE,13,1016.5,35.0,20,,WNW,13,1011.0
,2023-10-4,19.1,35.4,0,8.0,,W,44,16:19,28.1,46,,W,20,1016.9,34.9,30,,WSW,24,1011.6
,2023-10-5,13.9,33.1,0,11.4,,SE,44,08:17,22.7,18,,SE,31,1020.4,32.0,12,,SSE,13,1015.1
,2023-10-6,12.8,35.1,0,10.2,,S,31,12:20,23.2,19,,SE,19,1019.4,34.2,10,,SSE,24,1013.6
,2023-10-7,13.6,37.2,0,,,ESE,33,22:50,26.6,30,,NE,13,1016.8,36.1,17,,NW,11,1012.1
,2023-10-8,23.3,35.0,0,,,E,43,12:53,27.3,43,,NE,22,1019.2,33.9,24,,E,20,1014.6
,2023-10-9,18.2,34.1,0,30.6,,E,41,13:38,25.2,45,,NE,13,1020.9,32.7,20,,E,13,1014.2
,2023-10-10,17.0,35.0,0,10.2,,S,28,16:56,26.8,43,,NNE,13,1017.7,33.1,22,,E,11,1012.7
,2023-10-11,16.9,36.8,0,8.6,,E,43,13:26,28.5,37,,E,17,1017.7,35.5,16,,ENE,13,1013.5
,2023-10-12,18.2,36.2,0,12.0,,E,48,10:19,30.7,21,,ENE,22,1019.2,35.1,15,,SE,24,1014.4
,2023-10-13,19.0,38.1,0,14.2,,SSW,39,15:57,30.3,25,,NNE,11,1017.5,37.3,13,,SSW,20,1013.2
,2023-10-14,13.6,37.2,0,,,SSW,30,15:27,26.4,15,,SE,17,1016.7,36.8,10,,SSW,13,1011.4
,2023-10-15,13.1,38.9,0,,,NW,35,10:36,29.9,19,,N,17,1015.5,36.2,11,,N,9,1010.7
,2023-10-16,14.9,38.4,0,30.0,,SSW,48,14:37,29.6,10,,WNW,19,1015.4,36.9,8,,SSW,17,1011.7
,2023-10-17,15.0,38.7,0,11.6,,SE,48,08:37,29.6,16,,SE,30,1016.2,37.3,9,,SSW,6,1012.0
,2023-10-18,17.0,39.0,0,13.4,,N,31,09:27,31.0,15,,NNE,17,1016.8,37.3,14,,N,6,1012.5
,2023-10-19,21.5,37.5,0,12.8,,SE,44,18:56,28.9,41,,NNE,9,1016.7,35.1,22,,NNE,9,1011.6
,2023-10-20,21.1,38.8,0,13.2,,NE,52,12:42,31.3,33,,N,19,1014.7,36.4,19,,ENE,17,1009.5
,2023-10-21,24.1,38.8,0,,,SW,44,18:12,31.6,32,,N,28,1014.2,37.9,19,,WSW,2,1009.4
,2023-10-22,21.3,39.5,0,,,ESE,50,16:03,32.3,31,,NNW,28,1015.4,36.8,21,,NW,22,1010.0
,2023-10-23,16.1,39.6,0,33.0,,SSW,44,15:32,31.7,16,,SSE,19,1015.0,38.2,8,,S,7,1009.9
,2023-10-24,17.3,40.5,0,12.6,,WSW,33,14:10,33.0,13,,ENE,11,1013.2,39.5,8,,SW,22,1008.7
,2023-10-25,17.0,41.8,0,12.0,,NNW,41,08:48,33.5,26,,N,28,1013.3,41.0,10,,ESE,9,1008.4
,2023-10-26,17.2,38.1,0,11.4,,S,50,15:51,28.2,19,,SE,26,1015.7,36.5,11,,S,24,1011.0
,2023-10-27,17.7,34.2,0,9.8,,SE,56,08:29,23.4,14,,ESE,39,1019.0,33.4,9,,SSE,28,1013.3
,2023-10-28,16.0,37.5,0,,,ESE,39,21:50,27.9,31,,E,20,1016.4,37.0,18,,W,15,1012.0
,2023-10-29,17.8,37.1,0,,,E,33,22:50,27.2,44,,NE,11,1016.4,36.2,15,,WNW,7,1010.5
,2023-10-30,22.1,38.0,0,35.4,,NNE,33,07:26,28.6,38,,NE,15,1015.4,36.8,18,,SE,9,1009.9
,2023-10-31,19.1,39.9,0,12.8,,SSE,35,16:09,29.2,32,,NNE,15,1016.2,38.6,11,,S,15,1010.0
