"Daily Weather Observations for Richmond Airport, Queensland for November 2023"
"Prepared at 13:02 UTC on Tuesday 12 November 2024   IDCJDW4100.202311"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Richmod Airport, but cloud and evaporation data from Richmond Post Office."
"Temperature, humidity, wind, pressure and rainfall observations are from Richmond Airport {station 030161}"
"Cloud and evaporation observations are from Richmond Post Office {station 030045}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-11-1,18.2,41.1,0,13.0,,S,28,14:27,32.3,20,,N,13,1013.6,40.6,10,,S,17,1008.5
,2023-11-2,21.1,41.7,0,12.0,,SW,35,14:58,34.4,12,,NNW,20,1012.2,41.2,10,,SW,24,1007.2
,2023-11-3,20.9,41.4,0,12.6,,SSW,35,15:02,29.8,25,,NNE,11,1012.1,41.3,12,,S,19,1006.4
,2023-11-4,21.6,40.8,0,,,SE,31,22:15,31.5,38,,NNE,17,1011.9,40.0,18,,WSW,17,1007.1
,2023-11-5,24.7,39.5,0,,,SW,43,16:17,32.2,40,,NW,24,1012.8,38.6,14,,WNW,15,1008.3
,2023-11-6,18.9,39.7,0,32.0,,NW,37,13:55,29.8,45,,NNE,17,1012.0,38.3,14,,N,17,1006.5
,2023-11-7,24.3,39.2,0,10.4,,ESE,48,21:04,28.8,45,,NE,19,1013.0,37.4,16,,N,9,1006.7
,2023-11-8,24.2,37.8,0,14.6,,SE,57,17:01,30.3,41,,NNE,15,1013.0,36.6,27,,ESE,7,1006.5
,2023-11-9,24.1,39.0,0,11.4,,SSE,37,15:03,30.3,45,,NE,19,1013.9,37.1,22,,ENE,9,1007.6
,2023-11-10,24.2,37.4,0,11.6,,S,37,02:06,30.8,43,,N,22,1013.7,35.5,24,,SE,13,1009.7
,2023-11-11,26.1,40.1,0,,,ESE,46,15:53,32.0,33,,NNE,19,1015.3,38.3,15,,E,22,1010.5
,2023-11-12,22.4,39.8,0,,,ESE,50,16:12,31.4,33,,ENE,9,1015.8,37.4,20,,ESE,24,1010.2
,2023-11-13,21.2,39.1,0,36.2,,SE,61,16:14,30.5,37,,NNE,15,1014.3,38.5,14,,E,20,1008.4
,2023-11-14,17.7,41.1,0,13.4,,E,44,15:06,32.4,27,,N,17,1012.7,39.5,11,,E,17,1007.7
,2023-11-15,19.3,41.6,0,14.2,,,,,32.2,24,,N,20,1012.5,40.3,13,,SE,11,1007.2
,2023-11-16,25.4,42.0,,13.2,,,,,34.4,38,,NW,26,1011.3,39.1,21,,NW,19,1007.1
,2023-11-17,26.6,42.2,,12.0,,SSW,59,19:28,36.1,22,,E,17,1010.0,41.6,17,,SSW,20,1006.4
,2023-11-18,24.2,42.6,0,,,S,37,14:18,34.5,25,,E,20,1010.9,41.8,15,,W,17,1006.0
,2023-11-19,26.9,38.9,0,,,SSW,59,15:25,34.8,27,,NW,28,1012.3,35.2,31,,SSW,35,1010.4
,2023-11-20,21.5,34.6,0.6,39.0,,E,39,02:25,29.7,51,,ENE,20,1014.4,33.6,29,,SSE,13,1011.2
,2023-11-21,24.6,37.5,0,8.4,,NE,50,19:37,29.0,52,,NNE,15,1013.6,36.8,25,,SW,13,1009.7
,2023-11-22,21.9,39.2,0,8.0,,SSW,65,15:15,31.4,44,,N,13,1013.5,38.3,26,,S,19,1007.1
,2023-11-23,21.3,35.8,16.2,8.4,,SSE,39,00:25,26.2,66,,ENE,13,1012.7,34.3,37,,S,13,1007.9
,2023-11-24,24.0,30.9,0,8.8,,SSE,41,14:25,29.3,57,,NNE,9,1010.7,25.1,78,,SSE,20,1010.2
,2023-11-25,20.9,35.3,0.6,,,W,31,13:41,26.9,63,,NNE,11,1010.6,33.7,37,,WSW,15,1006.5
,2023-11-26,23.7,37.0,0,,,NE,41,13:40,29.7,61,,N,11,1009.5,28.5,76,,NW,6,1005.8
,2023-11-27,21.8,30.8,23.6,17.2,,W,54,19:33,22.3,97,,ESE,9,1010.2,29.0,68,,NNE,11,1005.9
,2023-11-28,20.8,36.3,21.0,5.6,,NNW,31,08:15,28.3,71,,N,17,1010.3,35.0,40,,NW,9,1006.2
,2023-11-29,22.0,39.8,0,11.6,,NNW,33,11:03,32.5,56,,NW,17,1009.4,38.1,28,,N,13,1005.5
,2023-11-30,24.2,38.5,0,12.8,,S,56,14:47,33.3,46,,N,9,1008.8,26.4,73,,SSW,35,1005.6
